"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"kcroundnet","The Cool Kids","Pool","Saucy Sets","Middlesticks","Anil Patel","David Aschenbrenner","Josh Kucera","Shivum Dang",21,12
"kcroundnet","The Cool Kids","Pool","Bobby Spike Jr. Worshippers","dropstop","Jamisen Wrinkle","Chris Schall","Sophia Zhao","Benjamin Reddaway",21,15
"kcroundnet","The Cool Kids","Pool","Elijah & Andrew","Performative Players","Elijah Gastineau","Andrew Gasaway","Connor Mahony","Adam He",21,19
"kcroundnet","The Cool Kids","Pool","Saucy Sets","dropstop","Anil Patel","David Aschenbrenner","Sophia Zhao","Benjamin Reddaway",21,10
"kcroundnet","The Cool Kids","Pool","Bobby Spike Jr. Worshippers","Mac N' Cheese","Jamisen Wrinkle","Chris Schall","Austin Lauser","Sadie Lauser",21,15
"kcroundnet","The Cool Kids","Pool","Performative Players","Middlesticks","Connor Mahony","Adam He","Josh Kucera","Shivum Dang",17,21
"kcroundnet","The Cool Kids","Pool","Saucy Sets","Performative Players","Anil Patel","David Aschenbrenner","Connor Mahony","Adam He",21,13
"kcroundnet","The Cool Kids","Pool","Bobby Spike Jr. Worshippers","Elijah & Andrew","Jamisen Wrinkle","Chris Schall","Elijah Gastineau","Andrew Gasaway",21,18
"kcroundnet","The Cool Kids","Pool","Mac N' Cheese","dropstop","Austin Lauser","Sadie Lauser","Sophia Zhao","Benjamin Reddaway",21,11
"kcroundnet","The Cool Kids","Pool","Saucy Sets","Mac N' Cheese","Anil Patel","David Aschenbrenner","Austin Lauser","Sadie Lauser",19,21
"kcroundnet","The Cool Kids","Pool","Bobby Spike Jr. Worshippers","Middlesticks","Jamisen Wrinkle","Chris Schall","Josh Kucera","Shivum Dang",21,8
"kcroundnet","The Cool Kids","Pool","Elijah & Andrew","dropstop","Elijah Gastineau","Andrew Gasaway","Sophia Zhao","Benjamin Reddaway",21,18
"kcroundnet","The Cool Kids","Pool","Bobby Spike Jr. Worshippers","Performative Players","Jamisen Wrinkle","Chris Schall","Connor Mahony","Adam He",21,14
"kcroundnet","The Cool Kids","Pool","Elijah & Andrew","Mac N' Cheese","Elijah Gastineau","Andrew Gasaway","Austin Lauser","Sadie Lauser",21,17
"kcroundnet","The Cool Kids","Pool","dropstop","Middlesticks","Sophia Zhao","Benjamin Reddaway","Josh Kucera","Shivum Dang",12,21
"kcroundnet","The Cool Kids","Pool","Saucy Sets","Elijah & Andrew","Anil Patel","David Aschenbrenner","Elijah Gastineau","Andrew Gasaway",21,18
"kcroundnet","The Cool Kids","Pool","Mac N' Cheese","Middlesticks","Austin Lauser","Sadie Lauser","Josh Kucera","Shivum Dang",21,17
"kcroundnet","The Cool Kids","Pool","Performative Players","dropstop","Connor Mahony","Adam He","Sophia Zhao","Benjamin Reddaway",21,6
"kcroundnet","The Cool Kids","Pool","Saucy Sets","Bobby Spike Jr. Worshippers","Anil Patel","David Aschenbrenner","Jamisen Wrinkle","Chris Schall",22,24
"kcroundnet","The Cool Kids","Pool","Elijah & Andrew","Middlesticks","Elijah Gastineau","Andrew Gasaway","Josh Kucera","Shivum Dang",21,17
"kcroundnet","The Cool Kids","Pool","Mac N' Cheese","Performative Players","Austin Lauser","Sadie Lauser","Connor Mahony","Adam He",19,21
