"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"lansing2026","4.0-5.0 Premier/Contender","Pool","Jack’s brother and Aleks","67 Hotel","Aleks Essen","Reed Drouare","Ethan Ferland","Gaurav Capila",21,17
"lansing2026","4.0-5.0 Premier/Contender","Pool","Lahar Drift","Drew Times 2","Jack Drouare","Korbin Thompson","Drew Davis","Drew Banziger",21,11
"lansing2026","4.0-5.0 Premier/Contender","Pool","Ball Slappers","Israel","Gio DeBlasi","Jessie Panchaud","Nick Sherrow","Emily Lubahn",23,21
"lansing2026","4.0-5.0 Premier/Contender","Pool","Mystery Inc.","The Mangos","Natalie Hansen","Katie Hansen","Nolan Bretzke","Carter Nemmers",21,16
"lansing2026","4.0-5.0 Premier/Contender","Pool","What are your Doing!!","Smash or Pass","Garrett Loiselle","Logan Pallo","Jorden Proper","Cooper Dillman",21,11
"lansing2026","4.0-5.0 Premier/Contender","Pool","Business Casual","Team Hoekstra","Jacob Purser","Nathan Warner","David Robertson","Jeremy Matzinger",21,10
"lansing2026","4.0-5.0 Premier/Contender","Pool","Jack’s brother and Aleks","Drew Times 2","Aleks Essen","Reed Drouare","Drew Davis","Drew Banziger",21,9
"lansing2026","4.0-5.0 Premier/Contender","Pool","HBD Gail","67 Hotel","Jackson Wood","Charlie Cavallaro","Ethan Ferland","Gaurav Capila",21,13
"lansing2026","4.0-5.0 Premier/Contender","Pool","Ball Slappers","The Mangos","Gio DeBlasi","Jessie Panchaud","Nolan Bretzke","Carter Nemmers",19,21
"lansing2026","4.0-5.0 Premier/Contender","Pool","Shut up MOM!","Israel","Yanaq Quispe","Parker Schuller","Nick Sherrow","Emily Lubahn",21,17
"lansing2026","4.0-5.0 Premier/Contender","Pool","What are your Doing!!","Team Hoekstra","Garrett Loiselle","Logan Pallo","David Robertson","Jeremy Matzinger",19,21
"lansing2026","4.0-5.0 Premier/Contender","Pool","To The Windowww","Smash or Pass","Caleb Rellis","Noah Miller","Jorden Proper","Cooper Dillman",21,6
"lansing2026","4.0-5.0 Premier/Contender","Pool","Jack’s brother and Aleks","HBD Gail","Aleks Essen","Reed Drouare","Jackson Wood","Charlie Cavallaro",21,19
"lansing2026","4.0-5.0 Premier/Contender","Pool","Lahar Drift","67 Hotel","Jack Drouare","Korbin Thompson","Ethan Ferland","Gaurav Capila",20,22
"lansing2026","4.0-5.0 Premier/Contender","Pool","Ball Slappers","Shut up MOM!","Gio DeBlasi","Jessie Panchaud","Yanaq Quispe","Parker Schuller",14,21
"lansing2026","4.0-5.0 Premier/Contender","Pool","Mystery Inc.","Israel","Natalie Hansen","Katie Hansen","Nick Sherrow","Emily Lubahn",21,17
"lansing2026","4.0-5.0 Premier/Contender","Pool","What are your Doing!!","To The Windowww","Garrett Loiselle","Logan Pallo","Caleb Rellis","Noah Miller",21,14
"lansing2026","4.0-5.0 Premier/Contender","Pool","Business Casual","Smash or Pass","Jacob Purser","Nathan Warner","Jorden Proper","Cooper Dillman",21,2
"lansing2026","4.0-5.0 Premier/Contender","Pool","Lahar Drift","HBD Gail","Jack Drouare","Korbin Thompson","Jackson Wood","Charlie Cavallaro",15,21
"lansing2026","4.0-5.0 Premier/Contender","Pool","Drew Times 2","67 Hotel","Drew Davis","Drew Banziger","Ethan Ferland","Gaurav Capila",14,21
"lansing2026","4.0-5.0 Premier/Contender","Pool","Mystery Inc.","Shut up MOM!","Natalie Hansen","Katie Hansen","Yanaq Quispe","Parker Schuller",14,21
"lansing2026","4.0-5.0 Premier/Contender","Pool","The Mangos","Israel","Nolan Bretzke","Carter Nemmers","Nick Sherrow","Emily Lubahn",21,13
