"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"livonia25","5.0 Premier/Bronze+","Pool","Rogue","Past and President","Thomas Hamilton","Ryan Marino","Micah Bouman","Weston Motloch",21,5
"livonia25","5.0 Premier/Bronze+","Pool","ORTHODOX","Margwa Munchers","Jack Bushart","Clifford Amadeo LeVeque","Izayah Gibson","Skyler Sebring",21,7
"livonia25","5.0 Premier/Bronze+","Pool","Cwazy","Halliday/Banziger","Emerson Dean","Kyle Fowler","AJ Halliday","Drew Banziger",21,8
"livonia25","5.0 Premier/Bronze+","Pool","Mystery Box","Lahar Drift","Kieran Rose","Aleks Essen","Jack Drouare","Korbin Thompson",21,6
"livonia25","5.0 Premier/Bronze+","Pool","Rogue","Margwa Munchers","Thomas Hamilton","Ryan Marino","Izayah Gibson","Skyler Sebring",21,8
"livonia25","5.0 Premier/Bronze+","Pool","Transfer portal","Past and President","Nick Evanko","Jackson Wood","Micah Bouman","Weston Motloch",21,17
"livonia25","5.0 Premier/Bronze+","Pool","Cwazy","Lahar Drift","Emerson Dean","Kyle Fowler","Jack Drouare","Korbin Thompson",21,8
"livonia25","5.0 Premier/Bronze+","Pool","RNG","Halliday/Banziger","Reed Drouare","Garrett Duncan","AJ Halliday","Drew Banziger",21,11
"livonia25","5.0 Premier/Bronze+","Pool","Rogue","Transfer portal","Thomas Hamilton","Ryan Marino","Nick Evanko","Jackson Wood",21,11
"livonia25","5.0 Premier/Bronze+","Pool","ORTHODOX","Past and President","Jack Bushart","Clifford Amadeo LeVeque","Micah Bouman","Weston Motloch",21,8
"livonia25","5.0 Premier/Bronze+","Pool","Cwazy","RNG","Emerson Dean","Kyle Fowler","Reed Drouare","Garrett Duncan",21,12
"livonia25","5.0 Premier/Bronze+","Pool","Mystery Box","Halliday/Banziger","Kieran Rose","Aleks Essen","AJ Halliday","Drew Banziger",21,13
"livonia25","5.0 Premier/Bronze+","Pool","ORTHODOX","Transfer portal","Jack Bushart","Clifford Amadeo LeVeque","Nick Evanko","Jackson Wood",21,19
"livonia25","5.0 Premier/Bronze+","Pool","Margwa Munchers","Past and President","Izayah Gibson","Skyler Sebring","Micah Bouman","Weston Motloch",9,21
"livonia25","5.0 Premier/Bronze+","Pool","Mystery Box","RNG","Kieran Rose","Aleks Essen","Reed Drouare","Garrett Duncan",21,9
"livonia25","5.0 Premier/Bronze+","Pool","Lahar Drift","Halliday/Banziger","Jack Drouare","Korbin Thompson","AJ Halliday","Drew Banziger",21,16
"livonia25","5.0 Premier/Bronze+","Pool","Rogue","ORTHODOX","Thomas Hamilton","Ryan Marino","Jack Bushart","Clifford Amadeo LeVeque",21,15
"livonia25","5.0 Premier/Bronze+","Pool","Transfer portal","Margwa Munchers","Nick Evanko","Jackson Wood","Izayah Gibson","Skyler Sebring",21,14
"livonia25","5.0 Premier/Bronze+","Pool","Cwazy","Mystery Box","Emerson Dean","Kyle Fowler","Kieran Rose","Aleks Essen",14,21
"livonia25","5.0 Premier/Bronze+","Pool","RNG","Lahar Drift","Reed Drouare","Garrett Duncan","Jack Drouare","Korbin Thompson",21,9
"livonia25","5.0 Premier/Bronze+","Round of 16","Past and President","Halliday/Banziger","Micah Bouman","Weston Motloch","AJ Halliday","Drew Banziger",21,14
"livonia25","5.0 Premier/Bronze+","Round of 16","Past and President","Halliday/Banziger","Micah Bouman","Weston Motloch","AJ Halliday","Drew Banziger",16,21
"livonia25","5.0 Premier/Bronze+","Round of 16","Past and President","Halliday/Banziger","Micah Bouman","Weston Motloch","AJ Halliday","Drew Banziger",21,9
"livonia25","5.0 Premier/Bronze+","Round of 16","Lahar Drift","Margwa Munchers","Jack Drouare","Korbin Thompson","Izayah Gibson","Skyler Sebring",21,10
"livonia25","5.0 Premier/Bronze+","Round of 16","Lahar Drift","Margwa Munchers","Jack Drouare","Korbin Thompson","Izayah Gibson","Skyler Sebring",21,19
"livonia25","5.0 Premier/Bronze+","Quarter-final","Rogue","Lahar Drift","Thomas Hamilton","Ryan Marino","Jack Drouare","Korbin Thompson",21,4
"livonia25","5.0 Premier/Bronze+","Quarter-final","Rogue","Lahar Drift","Thomas Hamilton","Ryan Marino","Jack Drouare","Korbin Thompson",21,8
"livonia25","5.0 Premier/Bronze+","Quarter-final","Mystery Box","Past and President","Kieran Rose","Aleks Essen","Micah Bouman","Weston Motloch",21,11
"livonia25","5.0 Premier/Bronze+","Quarter-final","Mystery Box","Past and President","Kieran Rose","Aleks Essen","Micah Bouman","Weston Motloch",21,9
"livonia25","5.0 Premier/Bronze+","Quarter-final","Cwazy","Transfer portal","Emerson Dean","Kyle Fowler","Nick Evanko","Jackson Wood",21,15
