"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"maple cup 2022","Elite","Pool","Père et Fils","16-35mm","Vincent Mathieu","Olivier Laurin","Adrian Garcea","Keaton Kirchner",21,15
"maple cup 2022","Elite","Pool","Sensure","Équipe Mrgence","Vincent Bastrash","Thomas Lemieux","Simon Toupin","Maxime Rome-Gosselin",21,16
"maple cup 2022","Elite","Pool","X-LARGE","Kokiri","Karl Pominville","Élie Pilon","Liam Read","Carlin Vicera",19,21
"maple cup 2022","Elite","Pool","Wesburn","NEM Aced by Vinny","Eddy Leung","Ivan Zeng","Justin Cho","Brock Leibold",21,15
"maple cup 2022","Elite","Pool","Sub-Zero","Great White Shark 🦈","Gabriel Monfette","Olivier Aglot","Etienne Cote","Shardul Ghuge",22,20
"maple cup 2022","Elite","Pool","Père et Fils","Équipe Mrgence","Vincent Mathieu","Olivier Laurin","Simon Toupin","Maxime Rome-Gosselin",21,11
"maple cup 2022","Elite","Pool","Sensure","X-LARGE","Vincent Bastrash","Thomas Lemieux","Karl Pominville","Élie Pilon",21,17
"maple cup 2022","Elite","Pool","Kokiri","16-35mm","Liam Read","Carlin Vicera","Adrian Garcea","Keaton Kirchner",16,21
"maple cup 2022","Elite","Pool","Wesburn","Great White Shark 🦈","Eddy Leung","Ivan Zeng","Etienne Cote","Shardul Ghuge",21,18
"maple cup 2022","Elite","Pool","Salt & Pepper","NEM Aced by Vinny","Philip Drouin","Scott Pasiechnyk","Justin Cho","Brock Leibold",21,14
"maple cup 2022","Elite","Pool","Père et Fils","Kokiri","Vincent Mathieu","Olivier Laurin","Liam Read","Carlin Vicera",21,5
"maple cup 2022","Elite","Pool","Sensure","16-35mm","Vincent Bastrash","Thomas Lemieux","Adrian Garcea","Keaton Kirchner",21,14
"maple cup 2022","Elite","Pool","X-LARGE","Équipe Mrgence","Karl Pominville","Élie Pilon","Simon Toupin","Maxime Rome-Gosselin",21,10
"maple cup 2022","Elite","Pool","Wesburn","Salt & Pepper","Eddy Leung","Ivan Zeng","Philip Drouin","Scott Pasiechnyk",21,18
"maple cup 2022","Elite","Pool","Sub-Zero","NEM Aced by Vinny","Gabriel Monfette","Olivier Aglot","Justin Cho","Brock Leibold",21,12
"maple cup 2022","Elite","Pool","Père et Fils","X-LARGE","Vincent Mathieu","Olivier Laurin","Karl Pominville","Élie Pilon",21,15
"maple cup 2022","Elite","Pool","Sensure","Kokiri","Vincent Bastrash","Thomas Lemieux","Liam Read","Carlin Vicera",21,15
"maple cup 2022","Elite","Pool","Équipe Mrgence","16-35mm","Simon Toupin","Maxime Rome-Gosselin","Adrian Garcea","Keaton Kirchner",19,21
"maple cup 2022","Elite","Pool","Sub-Zero","Salt & Pepper","Gabriel Monfette","Olivier Aglot","Philip Drouin","Scott Pasiechnyk",21,17
"maple cup 2022","Elite","Pool","Great White Shark 🦈","NEM Aced by Vinny","Etienne Cote","Shardul Ghuge","Justin Cho","Brock Leibold",21,10
"maple cup 2022","Elite","Pool","Père et Fils","Sensure","Vincent Mathieu","Olivier Laurin","Vincent Bastrash","Thomas Lemieux",21,19
"maple cup 2022","Elite","Pool","X-LARGE","16-35mm","Karl Pominville","Élie Pilon","Adrian Garcea","Keaton Kirchner",19,21
"maple cup 2022","Elite","Pool","Kokiri","Équipe Mrgence","Liam Read","Carlin Vicera","Simon Toupin","Maxime Rome-Gosselin",21,14
"maple cup 2022","Elite","Pool","Wesburn","Sub-Zero","Eddy Leung","Ivan Zeng","Gabriel Monfette","Olivier Aglot",22,24
"maple cup 2022","Elite","Pool","Salt & Pepper","Great White Shark 🦈","Philip Drouin","Scott Pasiechnyk","Etienne Cote","Shardul Ghuge",20,21
"maple cup 2022","Elite","Round of 16","16-35mm","Équipe Mrgence","Adrian Garcea","Keaton Kirchner","Simon Toupin","Maxime Rome-Gosselin",21,15
"maple cup 2022","Elite","Round of 16","16-35mm","Équipe Mrgence","Adrian Garcea","Keaton Kirchner","Simon Toupin","Maxime Rome-Gosselin",21,16
"maple cup 2022","Elite","Round of 16","Salt & Pepper","NEM Aced by Vinny","Philip Drouin","Scott Pasiechnyk","Justin Cho","Brock Leibold",21,17
"maple cup 2022","Elite","Round of 16","Salt & Pepper","NEM Aced by Vinny","Philip Drouin","Scott Pasiechnyk","Justin Cho","Brock Leibold",22,20
"maple cup 2022","Elite","Round of 16","Kokiri","X-LARGE","Liam Read","Carlin Vicera","Karl Pominville","Élie Pilon",13,21
"maple cup 2022","Elite","Round of 16","Kokiri","X-LARGE","Liam Read","Carlin Vicera","Karl Pominville","Élie Pilon",14,21
"maple cup 2022","Elite","Quarter-final","Père et Fils","X-LARGE","Vincent Mathieu","Olivier Laurin","Karl Pominville","Élie Pilon",21,14
"maple cup 2022","Elite","Quarter-final","Père et Fils","X-LARGE","Vincent Mathieu","Olivier Laurin","Karl Pominville","Élie Pilon",21,12
"maple cup 2022","Elite","Quarter-final","Sub-Zero","Salt & Pepper","Gabriel Monfette","Olivier Aglot","Philip Drouin","Scott Pasiechnyk",21,16
"maple cup 2022","Elite","Quarter-final","Sub-Zero","Salt & Pepper","Gabriel Monfette","Olivier Aglot","Philip Drouin","Scott Pasiechnyk",21,16
"maple cup 2022","Elite","Quarter-final","Sensure","16-35mm","Vincent Bastrash","Thomas Lemieux","Adrian Garcea","Keaton Kirchner",19,21
