"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"minneapolis-challenger-2024","Premier (5.0+)","Pool","Sayonara","Soft Serve Custard with Kulaid","Kieran Rose","Lucas Pruett","Joseph Coughlin","Jared Kula",21,14
"minneapolis-challenger-2024","Premier (5.0+)","Pool","Dizzy","This Ain't No Hobby","David Rowlands","Josh Hutko","Isaac Holbrook","Seth Holbrook",21,16
"minneapolis-challenger-2024","Premier (5.0+)","Pool","Suburban Wind Tunnel","The Diamond Dogs","Lindros Beard","Joey Reynolds","Bennett Anderson","Reid Pfutzenreuter",16,21
"minneapolis-challenger-2024","Premier (5.0+)","Pool","Cwazy","Revised Sleepy Heads","Kyle Fowler","Emerson Dean","Chase Bremner","Colin Hobart",21,9
"minneapolis-challenger-2024","Premier (5.0+)","Pool","ORTHODOX","Willson","Clifford Amadeo LeVeque","Jack Bushart","Grayson M  Wills","Nate Wilson",21,15
"minneapolis-challenger-2024","Premier (5.0+)","Pool","Sayonara","This Ain't No Hobby","Kieran Rose","Lucas Pruett","Isaac Holbrook","Seth Holbrook",23,21
"minneapolis-challenger-2024","Premier (5.0+)","Pool","Dizzy","Suburban Wind Tunnel","David Rowlands","Josh Hutko","Lindros Beard","Joey Reynolds",21,19
"minneapolis-challenger-2024","Premier (5.0+)","Pool","The Diamond Dogs","Soft Serve Custard with Kulaid","Bennett Anderson","Reid Pfutzenreuter","Joseph Coughlin","Jared Kula",21,15
"minneapolis-challenger-2024","Premier (5.0+)","Pool","Cwazy","Willson","Kyle Fowler","Emerson Dean","Grayson M  Wills","Nate Wilson",21,8
"minneapolis-challenger-2024","Premier (5.0+)","Pool","Enigma","Revised Sleepy Heads","Jack Bush","Josef Quispe","Chase Bremner","Colin Hobart",22,20
"minneapolis-challenger-2024","Premier (5.0+)","Pool","Sayonara","The Diamond Dogs","Kieran Rose","Lucas Pruett","Bennett Anderson","Reid Pfutzenreuter",21,17
"minneapolis-challenger-2024","Premier (5.0+)","Pool","Dizzy","Soft Serve Custard with Kulaid","David Rowlands","Josh Hutko","Joseph Coughlin","Jared Kula",21,16
"minneapolis-challenger-2024","Premier (5.0+)","Pool","Suburban Wind Tunnel","This Ain't No Hobby","Lindros Beard","Joey Reynolds","Isaac Holbrook","Seth Holbrook",25,24
"minneapolis-challenger-2024","Premier (5.0+)","Pool","Cwazy","Enigma","Kyle Fowler","Emerson Dean","Jack Bush","Josef Quispe",21,13
"minneapolis-challenger-2024","Premier (5.0+)","Pool","ORTHODOX","Revised Sleepy Heads","Clifford Amadeo LeVeque","Jack Bushart","Chase Bremner","Colin Hobart",21,19
"minneapolis-challenger-2024","Premier (5.0+)","Pool","Sayonara","Suburban Wind Tunnel","Kieran Rose","Lucas Pruett","Lindros Beard","Joey Reynolds",21,18
"minneapolis-challenger-2024","Premier (5.0+)","Pool","Dizzy","The Diamond Dogs","David Rowlands","Josh Hutko","Bennett Anderson","Reid Pfutzenreuter",23,21
"minneapolis-challenger-2024","Premier (5.0+)","Pool","This Ain't No Hobby","Soft Serve Custard with Kulaid","Isaac Holbrook","Seth Holbrook","Joseph Coughlin","Jared Kula",15,21
"minneapolis-challenger-2024","Premier (5.0+)","Pool","ORTHODOX","Enigma","Clifford Amadeo LeVeque","Jack Bushart","Jack Bush","Josef Quispe",22,20
"minneapolis-challenger-2024","Premier (5.0+)","Pool","Willson","Revised Sleepy Heads","Grayson M  Wills","Nate Wilson","Chase Bremner","Colin Hobart",24,22
"minneapolis-challenger-2024","Premier (5.0+)","Pool","Sayonara","Dizzy","Kieran Rose","Lucas Pruett","David Rowlands","Josh Hutko",21,17
"minneapolis-challenger-2024","Premier (5.0+)","Pool","Suburban Wind Tunnel","Soft Serve Custard with Kulaid","Lindros Beard","Joey Reynolds","Joseph Coughlin","Jared Kula",21,19
"minneapolis-challenger-2024","Premier (5.0+)","Pool","The Diamond Dogs","This Ain't No Hobby","Bennett Anderson","Reid Pfutzenreuter","Isaac Holbrook","Seth Holbrook",21,12
"minneapolis-challenger-2024","Premier (5.0+)","Pool","Cwazy","ORTHODOX","Kyle Fowler","Emerson Dean","Clifford Amadeo LeVeque","Jack Bushart",21,17
"minneapolis-challenger-2024","Premier (5.0+)","Pool","Enigma","Willson","Jack Bush","Josef Quispe","Grayson M  Wills","Nate Wilson",21,19
"minneapolis-challenger-2024","Premier (5.0+)","Round of 16","Enigma","This Ain't No Hobby","Jack Bush","Josef Quispe","Isaac Holbrook","Seth Holbrook",1,0
"minneapolis-challenger-2024","Premier (5.0+)","Round of 16","Enigma","This Ain't No Hobby","Jack Bush","Josef Quispe","Isaac Holbrook","Seth Holbrook",1,0
"minneapolis-challenger-2024","Premier (5.0+)","Round of 16","Suburban Wind Tunnel","Revised Sleepy Heads","Lindros Beard","Joey Reynolds","Chase Bremner","Colin Hobart",21,19
"minneapolis-challenger-2024","Premier (5.0+)","Round of 16","Suburban Wind Tunnel","Revised Sleepy Heads","Lindros Beard","Joey Reynolds","Chase Bremner","Colin Hobart",21,15
"minneapolis-challenger-2024","Premier (5.0+)","Round of 16","Willson","Soft Serve Custard with Kulaid","Grayson M  Wills","Nate Wilson","Joseph Coughlin","Jared Kula",27,25
"minneapolis-challenger-2024","Premier (5.0+)","Round of 16","Willson","Soft Serve Custard with Kulaid","Grayson M  Wills","Nate Wilson","Joseph Coughlin","Jared Kula",16,21
"minneapolis-challenger-2024","Premier (5.0+)","Round of 16","Willson","Soft Serve Custard with Kulaid","Grayson M  Wills","Nate Wilson","Joseph Coughlin","Jared Kula",21,15
"minneapolis-challenger-2024","Premier (5.0+)","Quarter-final","Cwazy","Willson","Kyle Fowler","Emerson Dean","Grayson M  Wills","Nate Wilson",21,16
"minneapolis-challenger-2024","Premier (5.0+)","Quarter-final","Cwazy","Willson","Kyle Fowler","Emerson Dean","Grayson M  Wills","Nate Wilson",21,16
"minneapolis-challenger-2024","Premier (5.0+)","Quarter-final","Sayonara","Suburban Wind Tunnel","Kieran Rose","Lucas Pruett","Lindros Beard","Joey Reynolds",21,14
"minneapolis-challenger-2024","Premier (5.0+)","Quarter-final","Sayonara","Suburban Wind Tunnel","Kieran Rose","Lucas Pruett","Lindros Beard","Joey Reynolds",21,17
"minneapolis-challenger-2024","Premier (5.0+)","Quarter-final","Dizzy","Enigma","David Rowlands","Josh Hutko","Jack Bush","Josef Quispe",17,21
"minneapolis-challenger-2024","Premier (5.0+)","Quarter-final","Dizzy","Enigma","David Rowlands","Josh Hutko","Jack Bush","Josef Quispe",22,24
"minneapolis-challenger-2024","Premier (5.0+)","Quarter-final","ORTHODOX","The Diamond Dogs","Clifford Amadeo LeVeque","Jack Bushart","Bennett Anderson","Reid Pfutzenreuter",20,22
"minneapolis-challenger-2024","Premier (5.0+)","Quarter-final","ORTHODOX","The Diamond Dogs","Clifford Amadeo LeVeque","Jack Bushart","Bennett Anderson","Reid Pfutzenreuter",19,21
"minneapolis-challenger-2024","Premier (5.0+)","Semi-final","Cwazy","The Diamond Dogs","Kyle Fowler","Emerson Dean","Bennett Anderson","Reid Pfutzenreuter",16,21
"minneapolis-challenger-2024","Premier (5.0+)","Semi-final","Cwazy","The Diamond Dogs","Kyle Fowler","Emerson Dean","Bennett Anderson","Reid Pfutzenreuter",21,23
"minneapolis-challenger-2024","Premier (5.0+)","Semi-final","Sayonara","Enigma","Kieran Rose","Lucas Pruett","Jack Bush","Josef Quispe",21,17
"minneapolis-challenger-2024","Premier (5.0+)","Semi-final","Sayonara","Enigma","Kieran Rose","Lucas Pruett","Jack Bush","Josef Quispe",21,18
"minneapolis-challenger-2024","Premier (5.0+)","P5: Semi-final","Dizzy","Suburban Wind Tunnel","David Rowlands","Josh Hutko","Lindros Beard","Joey Reynolds",0,1
"minneapolis-challenger-2024","Premier (5.0+)","P9: Semi-final","Revised Sleepy Heads","This Ain't No Hobby","Chase Bremner","Colin Hobart","Isaac Holbrook","Seth Holbrook",1,0
"minneapolis-challenger-2024","Premier (5.0+)","Final","The Diamond Dogs","Sayonara","Bennett Anderson","Reid Pfutzenreuter","Kieran Rose","Lucas Pruett",15,21
