"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"mississaugamajor","Premier","Pool","Maturity","spot on","Etienne Cote","Thomas Hamilton","Will Ries","Nick Wideman",21,9
"mississaugamajor","Premier","Pool","Gimme Boys","Extra","Maxime Prince","Guillaume Bilodeau","Jé Gagnon","Emerson Dean",21,16
"mississaugamajor","Premier","Pool","BDR Assets","Les Chapeliers","Justin Shaytar","Alex Newton","Léo Guérin-Morneau","Jasmin-Long Najim",21,11
"mississaugamajor","Premier","Pool","Lou Dezzin","Left 4 Dead","Adam Hassan","Chris Loubert","Dustin Grant","Charlie Freeman",21,12
"mississaugamajor","Premier","Pool","Old timers","Pigeons","Thomas Dery","Olivier Laurin","Nicolas Leroux","Xavier Lambert",21,13
"mississaugamajor","Premier","Pool","Omnikin Bleu","You are the youngest person EVER","William Garant","Simon Guillemette","Jordan Martin","Gavin De Moura",21,16
"mississaugamajor","Premier","Pool","Down to the Wire ","Smoke & Pepsi","Joshua Ang","Sabir Qureshi","Isaiah Bergsma","Trevor Fleming",21,17
"mississaugamajor","Premier","Pool","Donkeymite","Super Nannies","Auriel Wish","Anthony St-Martin","Simon Arseneau","Clement Lavice",21,7
"mississaugamajor","Premier","Pool","Dreamscape","Extra Virgin Olive Oil","Carlin Vicera","Eddy Leung","John Putney","Declan Brown",21,9
"mississaugamajor","Premier","Pool","What Did I Miss?","PB & J","Nathan Wong","Jared Ang","Bryan Fonseca","Peter Lam",21,16
"mississaugamajor","Premier","Pool","Maturity","Extra","Etienne Cote","Thomas Hamilton","Jé Gagnon","Emerson Dean",21,18
"mississaugamajor","Premier","Pool","White Men Can’t Jump","spot on","Blake Bosak","Chris Brown","Will Ries","Nick Wideman",21,7
"mississaugamajor","Premier","Pool","BDR Assets","Left 4 Dead","Justin Shaytar","Alex Newton","Dustin Grant","Charlie Freeman",21,7
"mississaugamajor","Premier","Pool","TERREBONNE OGs","Les Chapeliers","Théophane Frémond-Guilbault","Matou Pitchou","Léo Guérin-Morneau","Jasmin-Long Najim",21,10
"mississaugamajor","Premier","Pool","Old timers","You are the youngest person EVER","Thomas Dery","Olivier Laurin","Jordan Martin","Gavin De Moura",21,6
"mississaugamajor","Premier","Pool","Omnikin Bleu","Down to the Wire ","William Garant","Simon Guillemette","Joshua Ang","Sabir Qureshi",21,15
"mississaugamajor","Premier","Pool","Smoke & Pepsi","Pigeons","Isaiah Bergsma","Trevor Fleming","Nicolas Leroux","Xavier Lambert",17,21
"mississaugamajor","Premier","Pool","Donkeymite","Extra Virgin Olive Oil","Auriel Wish","Anthony St-Martin","John Putney","Declan Brown",21,12
"mississaugamajor","Premier","Pool","Dreamscape","What Did I Miss?","Carlin Vicera","Eddy Leung","Nathan Wong","Jared Ang",21,9
"mississaugamajor","Premier","Pool","PB & J","Super Nannies","Bryan Fonseca","Peter Lam","Simon Arseneau","Clement Lavice",19,21
"mississaugamajor","Premier","Pool","Maturity","White Men Can’t Jump","Etienne Cote","Thomas Hamilton","Blake Bosak","Chris Brown",21,18
"mississaugamajor","Premier","Pool","Gimme Boys","spot on","Maxime Prince","Guillaume Bilodeau","Will Ries","Nick Wideman",21,13
"mississaugamajor","Premier","Pool","BDR Assets","TERREBONNE OGs","Justin Shaytar","Alex Newton","Théophane Frémond-Guilbault","Matou Pitchou",21,16
"mississaugamajor","Premier","Pool","Lou Dezzin","Les Chapeliers","Adam Hassan","Chris Loubert","Léo Guérin-Morneau","Jasmin-Long Najim",21,13
"mississaugamajor","Premier","Pool","Old timers","Smoke & Pepsi","Thomas Dery","Olivier Laurin","Isaiah Bergsma","Trevor Fleming",21,11
"mississaugamajor","Premier","Pool","Omnikin Bleu","Pigeons","William Garant","Simon Guillemette","Nicolas Leroux","Xavier Lambert",21,16
"mississaugamajor","Premier","Pool","Down to the Wire ","You are the youngest person EVER","Joshua Ang","Sabir Qureshi","Jordan Martin","Gavin De Moura",21,17
"mississaugamajor","Premier","Pool","Donkeymite","PB & J","Auriel Wish","Anthony St-Martin","Bryan Fonseca","Peter Lam",21,8
"mississaugamajor","Premier","Pool","Dreamscape","Super Nannies","Carlin Vicera","Eddy Leung","Simon Arseneau","Clement Lavice",21,10
"mississaugamajor","Premier","Pool","What Did I Miss?","Extra Virgin Olive Oil","Nathan Wong","Jared Ang","John Putney","Declan Brown",21,19
"mississaugamajor","Premier","Pool","Gimme Boys","White Men Can’t Jump","Maxime Prince","Guillaume Bilodeau","Blake Bosak","Chris Brown",18,21
"mississaugamajor","Premier","Pool","Extra","spot on","Jé Gagnon","Emerson Dean","Will Ries","Nick Wideman",21,19
"mississaugamajor","Premier","Pool","Lou Dezzin","TERREBONNE OGs","Adam Hassan","Chris Loubert","Théophane Frémond-Guilbault","Matou Pitchou",17,21
"mississaugamajor","Premier","Pool","Left 4 Dead","Les Chapeliers","Dustin Grant","Charlie Freeman","Léo Guérin-Morneau","Jasmin-Long Najim",19,21
