"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"mnr-usar-2025","Open Contender/Premier (4.0-5.0)","Pool","The Diamond Dogs","what.the.flick?","Bennett Anderson","Reid Pfutzenreuter","Taaron Rudzitis","Joren Rudzitis",21,10
"mnr-usar-2025","Open Contender/Premier (4.0-5.0)","Pool","Deep Dive","Short Kings 👑","Hayden Carlson","Maciah Aldrich","Jon Moe","Brady Van Straten",21,16
"mnr-usar-2025","Open Contender/Premier (4.0-5.0)","Pool","Still Got It?","Some Cleats - all defeats","ISAAC GAVIN","Trey Newman","Andy Waller","Ben Shooooots",21,9
"mnr-usar-2025","Open Contender/Premier (4.0-5.0)","Pool","Forklift Certified","Ally and Jacob","Connor Hintz","Evan Burkstrand","Soren Peterson","Jacob Bochler",21,12
"mnr-usar-2025","Open Contender/Premier (4.0-5.0)","Pool","Tanner/Max","Net Ninjas","Tanner Hornung","Max Illetschko","Joshua Colville","Jace Isaacs",21,17
"mnr-usar-2025","Open Contender/Premier (4.0-5.0)","Pool","Maximum Effort","Franklinstein and the Monster","Max Hammes","Joseph Coughlin","Anthony Sneddon","Franklin  Wohnoutka",21,9
"mnr-usar-2025","Open Contender/Premier (4.0-5.0)","Pool","Jam Session","The Bakery","Aaron Appicelli","Alex Cotter","Nolan Henze","Brenden Brass",21,14
"mnr-usar-2025","Open Contender/Premier (4.0-5.0)","Pool","Wabbits","🤨⛄️😮🦆🤣🥔","Jack Barney","Kyle Maher","Joel Nielsen","Wally Scherer",21,19
"mnr-usar-2025","Open Contender/Premier (4.0-5.0)","Pool","The Diamond Dogs","Short Kings 👑","Bennett Anderson","Reid Pfutzenreuter","Jon Moe","Brady Van Straten",21,11
"mnr-usar-2025","Open Contender/Premier (4.0-5.0)","Pool","Kula/Wood","what.the.flick?","Jackson Wood","Jared Kula","Taaron Rudzitis","Joren Rudzitis",21,17
"mnr-usar-2025","Open Contender/Premier (4.0-5.0)","Pool","Still Got It?","Ally and Jacob","ISAAC GAVIN","Trey Newman","Soren Peterson","Jacob Bochler",21,10
"mnr-usar-2025","Open Contender/Premier (4.0-5.0)","Pool","Forklift Certified","Tanner/Max","Connor Hintz","Evan Burkstrand","Tanner Hornung","Max Illetschko",21,18
"mnr-usar-2025","Open Contender/Premier (4.0-5.0)","Pool","Net Ninjas","Some Cleats - all defeats","Joshua Colville","Jace Isaacs","Andy Waller","Ben Shooooots",21,13
"mnr-usar-2025","Open Contender/Premier (4.0-5.0)","Pool","Maximum Effort","The Bakery","Max Hammes","Joseph Coughlin","Nolan Henze","Brenden Brass",21,17
"mnr-usar-2025","Open Contender/Premier (4.0-5.0)","Pool","Jam Session","Wabbits","Aaron Appicelli","Alex Cotter","Jack Barney","Kyle Maher",21,8
"mnr-usar-2025","Open Contender/Premier (4.0-5.0)","Pool","🤨⛄️😮🦆🤣🥔","Franklinstein and the Monster","Joel Nielsen","Wally Scherer","Anthony Sneddon","Franklin  Wohnoutka",23,21
"mnr-usar-2025","Open Contender/Premier (4.0-5.0)","Pool","The Diamond Dogs","Kula/Wood","Bennett Anderson","Reid Pfutzenreuter","Jackson Wood","Jared Kula",18,21
"mnr-usar-2025","Open Contender/Premier (4.0-5.0)","Pool","Deep Dive","what.the.flick?","Hayden Carlson","Maciah Aldrich","Taaron Rudzitis","Joren Rudzitis",21,18
"mnr-usar-2025","Open Contender/Premier (4.0-5.0)","Pool","Still Got It?","Net Ninjas","ISAAC GAVIN","Trey Newman","Joshua Colville","Jace Isaacs",21,5
"mnr-usar-2025","Open Contender/Premier (4.0-5.0)","Pool","Forklift Certified","Some Cleats - all defeats","Connor Hintz","Evan Burkstrand","Andy Waller","Ben Shooooots",21,5
"mnr-usar-2025","Open Contender/Premier (4.0-5.0)","Pool","Tanner/Max","Ally and Jacob","Tanner Hornung","Max Illetschko","Soren Peterson","Jacob Bochler",19,20
"mnr-usar-2025","Open Contender/Premier (4.0-5.0)","Pool","Maximum Effort","🤨⛄️😮🦆🤣🥔","Max Hammes","Joseph Coughlin","Joel Nielsen","Wally Scherer",21,9
