"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"mrastcharles24","Expert(4.5)","Pool","Post-Op Deficiency","Having Fun?","Joey Reynolds","Neal Bergman","Ryan Sullivan","Daniel Gutierrez",21,16
"mrastcharles24","Expert(4.5)","Pool","Black, White, and Spiked All Over","Jolly Ranchers","Wyatt Semke","Kenny Velu","Shane Hosty","Jacob Tallian",21,11
"mrastcharles24","Expert(4.5)","Pool","House Divided","Torta Pounders","Korbin Thompson","Clifford Amadeo LeVeque","Darian Arteaga","Andres Munoz",21,1
"mrastcharles24","Expert(4.5)","Pool","Team Name","Bracket then Racket","Lindros Beard","Marty Merigold","Christina Nikas","Louie Simbajon",21,12
"mrastcharles24","Expert(4.5)","Pool","Sensory Overload","vg_ab","Colin Hobart","Chris Wilkins","Abdullah Bashir","Vishwesswaran Gopal",21,2
"mrastcharles24","Expert(4.5)","Pool","Cyberchasing Yoo","Mischief/Tomfoolery","Jacob Yoo","Chase Bremner","Jeremy Illut","Luke Nemec",21,11
"mrastcharles24","Expert(4.5)","Pool","Post-Op Deficiency","Jolly Ranchers","Joey Reynolds","Neal Bergman","Shane Hosty","Jacob Tallian",21,6
"mrastcharles24","Expert(4.5)","Pool","pickle juice enthusiasts","Having Fun?","Andrew Perez","Tahseen Robbani","Ryan Sullivan","Daniel Gutierrez",21,15
"mrastcharles24","Expert(4.5)","Pool","House Divided","Bracket then Racket","Korbin Thompson","Clifford Amadeo LeVeque","Christina Nikas","Louie Simbajon",21,4
"mrastcharles24","Expert(4.5)","Pool","brat summer","Torta Pounders","Adam Weiss","Nate von der Sitt","Darian Arteaga","Andres Munoz",21,11
"mrastcharles24","Expert(4.5)","Pool","Sensory Overload","Mischief/Tomfoolery","Colin Hobart","Chris Wilkins","Jeremy Illut","Luke Nemec",21,14
"mrastcharles24","Expert(4.5)","Pool","Jaeden/Tab","vg_ab","Tab Dayani","Jaeden Hannus","Abdullah Bashir","Vishwesswaran Gopal",21,2
"mrastcharles24","Expert(4.5)","Pool","Post-Op Deficiency","pickle juice enthusiasts","Joey Reynolds","Neal Bergman","Andrew Perez","Tahseen Robbani",21,13
"mrastcharles24","Expert(4.5)","Pool","Black, White, and Spiked All Over","Having Fun?","Wyatt Semke","Kenny Velu","Ryan Sullivan","Daniel Gutierrez",21,17
"mrastcharles24","Expert(4.5)","Pool","House Divided","brat summer","Korbin Thompson","Clifford Amadeo LeVeque","Adam Weiss","Nate von der Sitt",13,21
"mrastcharles24","Expert(4.5)","Pool","Team Name","Torta Pounders","Lindros Beard","Marty Merigold","Darian Arteaga","Andres Munoz",21,8
"mrastcharles24","Expert(4.5)","Pool","Sensory Overload","Jaeden/Tab","Colin Hobart","Chris Wilkins","Tab Dayani","Jaeden Hannus",21,15
"mrastcharles24","Expert(4.5)","Pool","Cyberchasing Yoo","vg_ab","Jacob Yoo","Chase Bremner","Abdullah Bashir","Vishwesswaran Gopal",21,2
"mrastcharles24","Expert(4.5)","Pool","Black, White, and Spiked All Over","pickle juice enthusiasts","Wyatt Semke","Kenny Velu","Andrew Perez","Tahseen Robbani",14,21
"mrastcharles24","Expert(4.5)","Pool","Jolly Ranchers","Having Fun?","Shane Hosty","Jacob Tallian","Ryan Sullivan","Daniel Gutierrez",20,22
"mrastcharles24","Expert(4.5)","Pool","Team Name","brat summer","Lindros Beard","Marty Merigold","Adam Weiss","Nate von der Sitt",18,21
"mrastcharles24","Expert(4.5)","Pool","Bracket then Racket","Torta Pounders","Christina Nikas","Louie Simbajon","Darian Arteaga","Andres Munoz",21,8
"mrastcharles24","Expert(4.5)","Pool","Cyberchasing Yoo","Jaeden/Tab","Jacob Yoo","Chase Bremner","Tab Dayani","Jaeden Hannus",21,10
"mrastcharles24","Expert(4.5)","Pool","Mischief/Tomfoolery","vg_ab","Jeremy Illut","Luke Nemec","Abdullah Bashir","Vishwesswaran Gopal",21,2
"mrastcharles24","Expert(4.5)","Pool","Post-Op Deficiency","Black, White, and Spiked All Over","Joey Reynolds","Neal Bergman","Wyatt Semke","Kenny Velu",21,17
"mrastcharles24","Expert(4.5)","Pool","pickle juice enthusiasts","Jolly Ranchers","Andrew Perez","Tahseen Robbani","Shane Hosty","Jacob Tallian",21,9
"mrastcharles24","Expert(4.5)","Pool","House Divided","Team Name","Korbin Thompson","Clifford Amadeo LeVeque","Lindros Beard","Marty Merigold",21,18
"mrastcharles24","Expert(4.5)","Pool","brat summer","Bracket then Racket","Adam Weiss","Nate von der Sitt","Christina Nikas","Louie Simbajon",21,13
"mrastcharles24","Expert(4.5)","Pool","Sensory Overload","Cyberchasing Yoo","Colin Hobart","Chris Wilkins","Jacob Yoo","Chase Bremner",21,17
"mrastcharles24","Expert(4.5)","Pool","Jaeden/Tab","Mischief/Tomfoolery","Tab Dayani","Jaeden Hannus","Jeremy Illut","Luke Nemec",21,15
"mrastcharles24","Expert(4.5)","Round of 16","Post-Op Deficiency","vg_ab","Joey Reynolds","Neal Bergman","Abdullah Bashir","Vishwesswaran Gopal",21,11
"mrastcharles24","Expert(4.5)","Round of 16","Post-Op Deficiency","vg_ab","Joey Reynolds","Neal Bergman","Abdullah Bashir","Vishwesswaran Gopal",21,7
"mrastcharles24","Expert(4.5)","Round of 16","brat summer","Torta Pounders","Adam Weiss","Nate von der Sitt","Darian Arteaga","Andres Munoz",21,11
"mrastcharles24","Expert(4.5)","Round of 16","brat summer","Torta Pounders","Adam Weiss","Nate von der Sitt","Darian Arteaga","Andres Munoz",21,13
"mrastcharles24","Expert(4.5)","Round of 16","Cyberchasing Yoo","Jolly Ranchers","Jacob Yoo","Chase Bremner","Shane Hosty","Jacob Tallian",21,11
"mrastcharles24","Expert(4.5)","Round of 16","Cyberchasing Yoo","Jolly Ranchers","Jacob Yoo","Chase Bremner","Shane Hosty","Jacob Tallian",21,12
"mrastcharles24","Expert(4.5)","Round of 16","House Divided","Bracket then Racket","Korbin Thompson","Clifford Amadeo LeVeque","Christina Nikas","Louie Simbajon",1,0
"mrastcharles24","Expert(4.5)","Round of 16","House Divided","Bracket then Racket","Korbin Thompson","Clifford Amadeo LeVeque","Christina Nikas","Louie Simbajon",1,0
"mrastcharles24","Expert(4.5)","Round of 16","pickle juice enthusiasts","Having Fun?","Andrew Perez","Tahseen Robbani","Ryan Sullivan","Daniel Gutierrez",21,18
"mrastcharles24","Expert(4.5)","Round of 16","pickle juice enthusiasts","Having Fun?","Andrew Perez","Tahseen Robbani","Ryan Sullivan","Daniel Gutierrez",18,21
