"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"mrsbloomington25","5.0 Premier/Bronze+","Pool","Who Asked","Get Milked: Simul Is Clean","Joey Reynolds","Ryan Marino","Drew Banziger","Charlie Cavallaro",21,12
"mrsbloomington25","5.0 Premier/Bronze+","Pool","Half nuzz","Magic Johnsons","Justin Barr","Izayah Gibson","Kenny Velu","Ethan Ferland",21,16
"mrsbloomington25","5.0 Premier/Bronze+","Pool","Half whites","Early Registration","Tim Lacagnina","Thomas Hamilton","Rohil Senapati","Noah Elconin",21,14
"mrsbloomington25","5.0 Premier/Bronze+","Pool","Biggie’s Step-Dads","are pools out yet?","Clifford Amadeo LeVeque","Nick Evanko","Chase Bremner","Colin Hobart",21,14
"mrsbloomington25","5.0 Premier/Bronze+","Pool","Who Asked","Magic Johnsons","Joey Reynolds","Ryan Marino","Kenny Velu","Ethan Ferland",21,10
"mrsbloomington25","5.0 Premier/Bronze+","Pool","Buff(ed)","Get Milked: Simul Is Clean","Daniel Patten","Jack Wood","Drew Banziger","Charlie Cavallaro",21,11
"mrsbloomington25","5.0 Premier/Bronze+","Pool","Half whites","are pools out yet?","Tim Lacagnina","Thomas Hamilton","Chase Bremner","Colin Hobart",21,8
"mrsbloomington25","5.0 Premier/Bronze+","Pool","Spinny","Early Registration","Jack Bush","Aleks Essen","Rohil Senapati","Noah Elconin",21,14
"mrsbloomington25","5.0 Premier/Bronze+","Pool","Who Asked","Buff(ed)","Joey Reynolds","Ryan Marino","Daniel Patten","Jack Wood",21,16
"mrsbloomington25","5.0 Premier/Bronze+","Pool","Half nuzz","Get Milked: Simul Is Clean","Justin Barr","Izayah Gibson","Drew Banziger","Charlie Cavallaro",21,15
"mrsbloomington25","5.0 Premier/Bronze+","Pool","Half whites","Spinny","Tim Lacagnina","Thomas Hamilton","Jack Bush","Aleks Essen",17,21
"mrsbloomington25","5.0 Premier/Bronze+","Pool","Biggie’s Step-Dads","Early Registration","Clifford Amadeo LeVeque","Nick Evanko","Rohil Senapati","Noah Elconin",21,13
"mrsbloomington25","5.0 Premier/Bronze+","Pool","Half nuzz","Buff(ed)","Justin Barr","Izayah Gibson","Daniel Patten","Jack Wood",19,21
"mrsbloomington25","5.0 Premier/Bronze+","Pool","Magic Johnsons","Get Milked: Simul Is Clean","Kenny Velu","Ethan Ferland","Drew Banziger","Charlie Cavallaro",19,21
"mrsbloomington25","5.0 Premier/Bronze+","Pool","Biggie’s Step-Dads","Spinny","Clifford Amadeo LeVeque","Nick Evanko","Jack Bush","Aleks Essen",21,23
"mrsbloomington25","5.0 Premier/Bronze+","Pool","are pools out yet?","Early Registration","Chase Bremner","Colin Hobart","Rohil Senapati","Noah Elconin",22,24
"mrsbloomington25","5.0 Premier/Bronze+","Pool","Who Asked","Half nuzz","Joey Reynolds","Ryan Marino","Justin Barr","Izayah Gibson",20,22
"mrsbloomington25","5.0 Premier/Bronze+","Pool","Buff(ed)","Magic Johnsons","Daniel Patten","Jack Wood","Kenny Velu","Ethan Ferland",18,21
"mrsbloomington25","5.0 Premier/Bronze+","Pool","Half whites","Biggie’s Step-Dads","Tim Lacagnina","Thomas Hamilton","Clifford Amadeo LeVeque","Nick Evanko",27,25
"mrsbloomington25","5.0 Premier/Bronze+","Pool","Spinny","are pools out yet?","Jack Bush","Aleks Essen","Chase Bremner","Colin Hobart",21,14
"mrsbloomington25","5.0 Premier/Bronze+","Round of 16","Magic Johnsons","are pools out yet?","Kenny Velu","Ethan Ferland","Chase Bremner","Colin Hobart",18,21
"mrsbloomington25","5.0 Premier/Bronze+","Round of 16","Magic Johnsons","are pools out yet?","Kenny Velu","Ethan Ferland","Chase Bremner","Colin Hobart",20,22
"mrsbloomington25","5.0 Premier/Bronze+","Round of 16","Early Registration","Get Milked: Simul Is Clean","Rohil Senapati","Noah Elconin","Drew Banziger","Charlie Cavallaro",32,30
"mrsbloomington25","5.0 Premier/Bronze+","Round of 16","Early Registration","Get Milked: Simul Is Clean","Rohil Senapati","Noah Elconin","Drew Banziger","Charlie Cavallaro",21,18
"mrsbloomington25","5.0 Premier/Bronze+","Quarter-final","Spinny","Early Registration","Jack Bush","Aleks Essen","Rohil Senapati","Noah Elconin",21,18
"mrsbloomington25","5.0 Premier/Bronze+","Quarter-final","Spinny","Early Registration","Jack Bush","Aleks Essen","Rohil Senapati","Noah Elconin",21,12
"mrsbloomington25","5.0 Premier/Bronze+","Quarter-final","Who Asked","are pools out yet?","Joey Reynolds","Ryan Marino","Chase Bremner","Colin Hobart",21,16
"mrsbloomington25","5.0 Premier/Bronze+","Quarter-final","Who Asked","are pools out yet?","Joey Reynolds","Ryan Marino","Chase Bremner","Colin Hobart",21,17
"mrsbloomington25","5.0 Premier/Bronze+","Quarter-final","Half whites","Buff(ed)","Tim Lacagnina","Thomas Hamilton","Daniel Patten","Jack Wood",21,17
"mrsbloomington25","5.0 Premier/Bronze+","Quarter-final","Half whites","Buff(ed)","Tim Lacagnina","Thomas Hamilton","Daniel Patten","Jack Wood",21,17
"mrsbloomington25","5.0 Premier/Bronze+","Quarter-final","Half nuzz","Biggie’s Step-Dads","Justin Barr","Izayah Gibson","Clifford Amadeo LeVeque","Nick Evanko",20,22
"mrsbloomington25","5.0 Premier/Bronze+","Quarter-final","Half nuzz","Biggie’s Step-Dads","Justin Barr","Izayah Gibson","Clifford Amadeo LeVeque","Nick Evanko",21,18
"mrsbloomington25","5.0 Premier/Bronze+","Quarter-final","Half nuzz","Biggie’s Step-Dads","Justin Barr","Izayah Gibson","Clifford Amadeo LeVeque","Nick Evanko",20,22
"mrsbloomington25","5.0 Premier/Bronze+","Semi-final","Spinny","Biggie’s Step-Dads","Jack Bush","Aleks Essen","Clifford Amadeo LeVeque","Nick Evanko",21,23
"mrsbloomington25","5.0 Premier/Bronze+","Semi-final","Spinny","Biggie’s Step-Dads","Jack Bush","Aleks Essen","Clifford Amadeo LeVeque","Nick Evanko",21,19
"mrsbloomington25","5.0 Premier/Bronze+","Semi-final","Spinny","Biggie’s Step-Dads","Jack Bush","Aleks Essen","Clifford Amadeo LeVeque","Nick Evanko",21,23
"mrsbloomington25","5.0 Premier/Bronze+","Semi-final","Who Asked","Half whites","Joey Reynolds","Ryan Marino","Tim Lacagnina","Thomas Hamilton",18,21
"mrsbloomington25","5.0 Premier/Bronze+","Semi-final","Who Asked","Half whites","Joey Reynolds","Ryan Marino","Tim Lacagnina","Thomas Hamilton",21,16
"mrsbloomington25","5.0 Premier/Bronze+","Semi-final","Who Asked","Half whites","Joey Reynolds","Ryan Marino","Tim Lacagnina","Thomas Hamilton",22,20
"mrsbloomington25","5.0 Premier/Bronze+","Final","Biggie’s Step-Dads","Who Asked","Clifford Amadeo LeVeque","Nick Evanko","Joey Reynolds","Ryan Marino",17,21
"mrsbloomington25","5.0 Premier/Bronze+","Final","Biggie’s Step-Dads","Who Asked","Clifford Amadeo LeVeque","Nick Evanko","Joey Reynolds","Ryan Marino",17,21
"mrsbloomington25","5.0 Premier/Bronze+","P3: Final","Half whites","Spinny","Tim Lacagnina","Thomas Hamilton","Jack Bush","Aleks Essen",21,16
"mrsbloomington25","5.0 Premier/Bronze+","P3: Final","Half whites","Spinny","Tim Lacagnina","Thomas Hamilton","Jack Bush","Aleks Essen",21,14
"mrsbloomington25","5.0 Premier/Bronze+","P9: Final","Get Milked: Simul Is Clean","Magic Johnsons","Drew Banziger","Charlie Cavallaro","Kenny Velu","Ethan Ferland",18,21
"mrsbloomington25","4.0 Contender","Pool","Tab? Tash? Tab? Tash? Tab? Tash? Tab? Ta","Windmills","Tab Dayani","Tahseen Robbani","Garrett Duncan","Reed Drouare",12,21
"mrsbloomington25","4.0 Contender","Pool","Go Frogs","Spike-o-paths","Brendan Reesor","Zach Carver","Laura Carver","Amber Fisher",21,5
"mrsbloomington25","4.0 Contender","Pool","Presidential","Figs","Kevin Farrell","Ryan Lechner","Fisher Figert","Easton Figert",21,9
"mrsbloomington25","4.0 Contender","Pool","Don't Bite","Jabe Waggs","Jenner Lim","Kyle Kneller","Jeremiah Wafford","Gabe Skaggs",21,18
"mrsbloomington25","4.0 Contender","Pool","The Beans","Carmody and Pascale","Salvatore Guagenti","Jackson Carpenter","Andrew Carmody","JohnPaul Pascale",21,19
"mrsbloomington25","4.0 Contender","Pool","The Ball Slappers","Caffeinated Cardinals","Reilly Paquette","Gio DeBlasi","Colin Prior","Rhett Pearson",21,5
"mrsbloomington25","4.0 Contender","Pool","New kids on the block","Massholes","Tommy Richard","Daniel Gutierrez","Liam Arnold","Patrick Galvin",21,11
"mrsbloomington25","4.0 Contender","Pool","JAUNDICE","Ballslappers In Training","Johnnie Teng","Jonathan Ong","William Fan","Nevino DeBlasi",20,22
"mrsbloomington25","4.0 Contender","Pool","GFD MUNCHERS","The Glazers ","Brad Yates","Arjun Dhankani","Jacob Arms","Mollie Pollock",21,5
"mrsbloomington25","4.0 Contender","Pool","Fine and Dandy","Bad boys of spikeball","Matthew Steers","Chris Kondas","Nate Walter","Adam Wilcox",21,4
"mrsbloomington25","4.0 Contender","Pool","(Pek)^2","Schrodinger's Spikers","Jason Inumerable","Jaeden Hannus","Zach Miles","Han Burgess",21,17
"mrsbloomington25","4.0 Contender","Pool","Slammoed","Comeback Cats","Nathan Warner","Lance Markowitz","Prathik Iyengar","Henry Cheung",21,18
"mrsbloomington25","4.0 Contender","Pool","Tab? Tash? Tab? Tash? Tab? Tash? Tab? Ta","Spike-o-paths","Tab Dayani","Tahseen Robbani","Laura Carver","Amber Fisher",21,6
"mrsbloomington25","4.0 Contender","Pool","Flashpoint","Windmills","Aman Khemka","Brendon Hanson","Garrett Duncan","Reed Drouare",15,21
"mrsbloomington25","4.0 Contender","Pool","Presidential","Jabe Waggs","Kevin Farrell","Ryan Lechner","Jeremiah Wafford","Gabe Skaggs",21,11
"mrsbloomington25","4.0 Contender","Pool","Boogie Woogie","Figs","Kai Zafren","Ryan Hornbeck","Fisher Figert","Easton Figert",21,19
"mrsbloomington25","4.0 Contender","Pool","The Beans","Caffeinated Cardinals","Salvatore Guagenti","Jackson Carpenter","Colin Prior","Rhett Pearson",21,6
"mrsbloomington25","4.0 Contender","Pool","Goblins","Carmody and Pascale","Weston Motloch","Jack Drouare","Andrew Carmody","JohnPaul Pascale",15,21
"mrsbloomington25","4.0 Contender","Pool","New kids on the block","Ballslappers In Training","Tommy Richard","Daniel Gutierrez","William Fan","Nevino DeBlasi",21,8
"mrsbloomington25","4.0 Contender","Pool","Bizz Buzz","Massholes","Shane Hosty","Luke Ziebarth","Liam Arnold","Patrick Galvin",21,18
"mrsbloomington25","4.0 Contender","Pool","GFD MUNCHERS","Bad boys of spikeball","Brad Yates","Arjun Dhankani","Nate Walter","Adam Wilcox",21,7
