"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"mrschampionship25","5.0 Premier/Bronze+","Pool","Limitless","Friendly Fire","Aleks Essen","Ryan Marino","Austin Niles","Sam Aven",21,12
"mrschampionship25","5.0 Premier/Bronze+","Pool","Lahar Drift",".......kidding, kidding, kidding","Korbin Thompson","Jack Drouare","Kai Zafren","Zach Carver",21,8
"mrschampionship25","5.0 Premier/Bronze+","Pool","Living Water","Boomstick McDoom","Julia Timan","Grant Klapwijk","Jackson Wood","Taaron Rudzitis",15,21
"mrschampionship25","5.0 Premier/Bronze+","Pool","FreeELO","Looks Maxed","Nick Evanko","Clifford Amadeo LeVeque","Samantha Barklow","Rob's Traveler",21,3
"mrschampionship25","5.0 Premier/Bronze+","Pool","Cumboblatted ","Jinx","Justin Barr","Tim Lacagnina","Noah Elconin","Charlie Cavallaro",21,18
"mrschampionship25","5.0 Premier/Bronze+","Pool","Limitless",".......kidding, kidding, kidding","Aleks Essen","Ryan Marino","Kai Zafren","Zach Carver",21,11
"mrschampionship25","5.0 Premier/Bronze+","Pool","Lahar Drift","Living Water","Korbin Thompson","Jack Drouare","Julia Timan","Grant Klapwijk",21,11
"mrschampionship25","5.0 Premier/Bronze+","Pool","Boomstick McDoom","Friendly Fire","Jackson Wood","Taaron Rudzitis","Austin Niles","Sam Aven",21,15
"mrschampionship25","5.0 Premier/Bronze+","Pool","FreeELO","Jinx","Nick Evanko","Clifford Amadeo LeVeque","Noah Elconin","Charlie Cavallaro",21,18
"mrschampionship25","5.0 Premier/Bronze+","Pool","#slay","Looks Maxed","Joanna Gould","Bradley Clark","Samantha Barklow","Rob's Traveler",21,10
"mrschampionship25","5.0 Premier/Bronze+","Pool","Limitless","Boomstick McDoom","Aleks Essen","Ryan Marino","Jackson Wood","Taaron Rudzitis",21,10
"mrschampionship25","5.0 Premier/Bronze+","Pool","Lahar Drift","Friendly Fire","Korbin Thompson","Jack Drouare","Austin Niles","Sam Aven",13,21
"mrschampionship25","5.0 Premier/Bronze+","Pool","Living Water",".......kidding, kidding, kidding","Julia Timan","Grant Klapwijk","Kai Zafren","Zach Carver",21,18
"mrschampionship25","5.0 Premier/Bronze+","Pool","FreeELO","#slay","Nick Evanko","Clifford Amadeo LeVeque","Joanna Gould","Bradley Clark",21,10
"mrschampionship25","5.0 Premier/Bronze+","Pool","Cumboblatted ","Looks Maxed","Justin Barr","Tim Lacagnina","Samantha Barklow","Rob's Traveler",21,11
"mrschampionship25","5.0 Premier/Bronze+","Pool","Limitless","Living Water","Aleks Essen","Ryan Marino","Julia Timan","Grant Klapwijk",21,11
"mrschampionship25","5.0 Premier/Bronze+","Pool","Lahar Drift","Boomstick McDoom","Korbin Thompson","Jack Drouare","Jackson Wood","Taaron Rudzitis",18,21
"mrschampionship25","5.0 Premier/Bronze+","Pool",".......kidding, kidding, kidding","Friendly Fire","Kai Zafren","Zach Carver","Austin Niles","Sam Aven",14,21
"mrschampionship25","5.0 Premier/Bronze+","Pool","Cumboblatted ","#slay","Justin Barr","Tim Lacagnina","Joanna Gould","Bradley Clark",21,15
"mrschampionship25","5.0 Premier/Bronze+","Pool","Jinx","Looks Maxed","Noah Elconin","Charlie Cavallaro","Samantha Barklow","Rob's Traveler",21,15
"mrschampionship25","5.0 Premier/Bronze+","Pool","Limitless","Lahar Drift","Aleks Essen","Ryan Marino","Korbin Thompson","Jack Drouare",21,14
"mrschampionship25","5.0 Premier/Bronze+","Pool","Living Water","Friendly Fire","Julia Timan","Grant Klapwijk","Austin Niles","Sam Aven",21,19
