"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"mrschicago25","5.0 Premier/Bronze+(12:10 bracket start)","Pool","Spin Lizards","K^2","Emerson Dean","Kieran Rose","Kenny Velu","Korbin Thompson",21,14
"mrschicago25","5.0 Premier/Bronze+(12:10 bracket start)","Pool","ClubSpike Big Slick","Pecan Pralines","Neal Bergman","Chris Wilkins","Aleks Essen","Jackson Wood",16,21
"mrschicago25","5.0 Premier/Bronze+(12:10 bracket start)","Pool","EMPIRE","clinic results","Thomas Hamilton","Clifford Amadeo LeVeque","Chase Bremner","Ethan Ferland",22,20
"mrschicago25","5.0 Premier/Bronze+(12:10 bracket start)","Pool","neal like dog 🥢🐶🍚","RNG","Thomas Hoffman","Joey Reynolds","Garrett Duncan","Reed Drouare",21,12
"mrschicago25","5.0 Premier/Bronze+(12:10 bracket start)","Pool","Spin Lizards","Pecan Pralines","Emerson Dean","Kieran Rose","Aleks Essen","Jackson Wood",21,17
"mrschicago25","5.0 Premier/Bronze+(12:10 bracket start)","Pool","O.o","K^2","Nick Evanko","Izayah Gibson","Kenny Velu","Korbin Thompson",21,19
"mrschicago25","5.0 Premier/Bronze+(12:10 bracket start)","Pool","EMPIRE","RNG","Thomas Hamilton","Clifford Amadeo LeVeque","Garrett Duncan","Reed Drouare",21,14
"mrschicago25","5.0 Premier/Bronze+(12:10 bracket start)","Pool","Secondary Touchers","clinic results","Mitch Kelley","Colin Hobart","Chase Bremner","Ethan Ferland",17,21
"mrschicago25","5.0 Premier/Bronze+(12:10 bracket start)","Pool","Spin Lizards","O.o","Emerson Dean","Kieran Rose","Nick Evanko","Izayah Gibson",21,11
"mrschicago25","5.0 Premier/Bronze+(12:10 bracket start)","Pool","ClubSpike Big Slick","K^2","Neal Bergman","Chris Wilkins","Kenny Velu","Korbin Thompson",21,10
"mrschicago25","5.0 Premier/Bronze+(12:10 bracket start)","Pool","EMPIRE","Secondary Touchers","Thomas Hamilton","Clifford Amadeo LeVeque","Mitch Kelley","Colin Hobart",21,5
"mrschicago25","5.0 Premier/Bronze+(12:10 bracket start)","Pool","neal like dog 🥢🐶🍚","clinic results","Thomas Hoffman","Joey Reynolds","Chase Bremner","Ethan Ferland",21,18
"mrschicago25","5.0 Premier/Bronze+(12:10 bracket start)","Pool","ClubSpike Big Slick","O.o","Neal Bergman","Chris Wilkins","Nick Evanko","Izayah Gibson",24,22
"mrschicago25","5.0 Premier/Bronze+(12:10 bracket start)","Pool","Pecan Pralines","K^2","Aleks Essen","Jackson Wood","Kenny Velu","Korbin Thompson",21,12
"mrschicago25","5.0 Premier/Bronze+(12:10 bracket start)","Pool","neal like dog 🥢🐶🍚","Secondary Touchers","Thomas Hoffman","Joey Reynolds","Mitch Kelley","Colin Hobart",21,13
"mrschicago25","5.0 Premier/Bronze+(12:10 bracket start)","Pool","RNG","clinic results","Garrett Duncan","Reed Drouare","Chase Bremner","Ethan Ferland",20,22
"mrschicago25","5.0 Premier/Bronze+(12:10 bracket start)","Pool","Spin Lizards","ClubSpike Big Slick","Emerson Dean","Kieran Rose","Neal Bergman","Chris Wilkins",21,13
"mrschicago25","5.0 Premier/Bronze+(12:10 bracket start)","Pool","O.o","Pecan Pralines","Nick Evanko","Izayah Gibson","Aleks Essen","Jackson Wood",21,17
"mrschicago25","5.0 Premier/Bronze+(12:10 bracket start)","Pool","EMPIRE","neal like dog 🥢🐶🍚","Thomas Hamilton","Clifford Amadeo LeVeque","Thomas Hoffman","Joey Reynolds",21,17
"mrschicago25","5.0 Premier/Bronze+(12:10 bracket start)","Pool","Secondary Touchers","RNG","Mitch Kelley","Colin Hobart","Garrett Duncan","Reed Drouare",24,25
"mrschicago25","5.0 Premier/Bronze+(12:10 bracket start)","Round of 16","O.o","Secondary Touchers","Nick Evanko","Izayah Gibson","Mitch Kelley","Colin Hobart",21,16
"mrschicago25","5.0 Premier/Bronze+(12:10 bracket start)","Round of 16","O.o","Secondary Touchers","Nick Evanko","Izayah Gibson","Mitch Kelley","Colin Hobart",21,18
"mrschicago25","5.0 Premier/Bronze+(12:10 bracket start)","Round of 16","RNG","K^2","Garrett Duncan","Reed Drouare","Kenny Velu","Korbin Thompson",21,16
"mrschicago25","5.0 Premier/Bronze+(12:10 bracket start)","Round of 16","RNG","K^2","Garrett Duncan","Reed Drouare","Kenny Velu","Korbin Thompson",21,19
"mrschicago25","5.0 Premier/Bronze+(12:10 bracket start)","Quarter-final","Spin Lizards","RNG","Emerson Dean","Kieran Rose","Garrett Duncan","Reed Drouare",21,10
"mrschicago25","5.0 Premier/Bronze+(12:10 bracket start)","Quarter-final","Spin Lizards","RNG","Emerson Dean","Kieran Rose","Garrett Duncan","Reed Drouare",21,14
"mrschicago25","5.0 Premier/Bronze+(12:10 bracket start)","Quarter-final","EMPIRE","O.o","Thomas Hamilton","Clifford Amadeo LeVeque","Nick Evanko","Izayah Gibson",24,22
"mrschicago25","5.0 Premier/Bronze+(12:10 bracket start)","Quarter-final","EMPIRE","O.o","Thomas Hamilton","Clifford Amadeo LeVeque","Nick Evanko","Izayah Gibson",21,18
"mrschicago25","5.0 Premier/Bronze+(12:10 bracket start)","Quarter-final","neal like dog 🥢🐶🍚","ClubSpike Big Slick","Thomas Hoffman","Joey Reynolds","Neal Bergman","Chris Wilkins",25,23
"mrschicago25","5.0 Premier/Bronze+(12:10 bracket start)","Quarter-final","neal like dog 🥢🐶🍚","ClubSpike Big Slick","Thomas Hoffman","Joey Reynolds","Neal Bergman","Chris Wilkins",21,18
"mrschicago25","5.0 Premier/Bronze+(12:10 bracket start)","Quarter-final","Pecan Pralines","clinic results","Aleks Essen","Jackson Wood","Chase Bremner","Ethan Ferland",21,10
"mrschicago25","5.0 Premier/Bronze+(12:10 bracket start)","Quarter-final","Pecan Pralines","clinic results","Aleks Essen","Jackson Wood","Chase Bremner","Ethan Ferland",21,16
"mrschicago25","5.0 Premier/Bronze+(12:10 bracket start)","Semi-final","Spin Lizards","Pecan Pralines","Emerson Dean","Kieran Rose","Aleks Essen","Jackson Wood",21,15
"mrschicago25","5.0 Premier/Bronze+(12:10 bracket start)","Semi-final","Spin Lizards","Pecan Pralines","Emerson Dean","Kieran Rose","Aleks Essen","Jackson Wood",21,19
"mrschicago25","5.0 Premier/Bronze+(12:10 bracket start)","Semi-final","EMPIRE","neal like dog 🥢🐶🍚","Thomas Hamilton","Clifford Amadeo LeVeque","Thomas Hoffman","Joey Reynolds",21,14
"mrschicago25","5.0 Premier/Bronze+(12:10 bracket start)","Semi-final","EMPIRE","neal like dog 🥢🐶🍚","Thomas Hamilton","Clifford Amadeo LeVeque","Thomas Hoffman","Joey Reynolds",21,18
"mrschicago25","5.0 Premier/Bronze+(12:10 bracket start)","P5: Semi-final","clinic results","RNG","Chase Bremner","Ethan Ferland","Garrett Duncan","Reed Drouare",21,15
"mrschicago25","5.0 Premier/Bronze+(12:10 bracket start)","P5: Semi-final","ClubSpike Big Slick","O.o","Neal Bergman","Chris Wilkins","Nick Evanko","Izayah Gibson",18,21
"mrschicago25","5.0 Premier/Bronze+(12:10 bracket start)","Final","Spin Lizards","EMPIRE","Emerson Dean","Kieran Rose","Thomas Hamilton","Clifford Amadeo LeVeque",11,21
"mrschicago25","5.0 Premier/Bronze+(12:10 bracket start)","Final","Spin Lizards","EMPIRE","Emerson Dean","Kieran Rose","Thomas Hamilton","Clifford Amadeo LeVeque",23,25
"mrschicago25","5.0 Premier/Bronze+(12:10 bracket start)","P3: Final","neal like dog 🥢🐶🍚","Pecan Pralines","Thomas Hoffman","Joey Reynolds","Aleks Essen","Jackson Wood",22,20
"mrschicago25","5.0 Premier/Bronze+(12:10 bracket start)","P3: Final","neal like dog 🥢🐶🍚","Pecan Pralines","Thomas Hoffman","Joey Reynolds","Aleks Essen","Jackson Wood",21,15
"mrschicago25","5.0 Premier/Bronze+(12:10 bracket start)","P5: Final","clinic results","O.o","Chase Bremner","Ethan Ferland","Nick Evanko","Izayah Gibson",18,21
"mrschicago25","5.0 Premier/Bronze+(12:10 bracket start)","P7: Final","ClubSpike Big Slick","RNG","Neal Bergman","Chris Wilkins","Garrett Duncan","Reed Drouare",-1,0
"mrschicago25","5.0 Premier/Bronze+(12:10 bracket start)","P9: Final","K^2","Secondary Touchers","Kenny Velu","Korbin Thompson","Mitch Kelley","Colin Hobart",17,21
"mrschicago25","4.0 Contender(12pm bracket start)","Pool","Goblins","I want it that way","Jack Drouare","Weston Motloch","Cece Carlson","Hui Ying Stradiot",21,11
"mrschicago25","4.0 Contender(12pm bracket start)","Pool","Not Very Demure","Poopy Diaper","Joanna Gould","Luke Nemec","Cameron Baker","Matthew Greathouse",25,24
"mrschicago25","4.0 Contender(12pm bracket start)","Pool","Dos Pinoys","Full Circuit","Andrew Perez","Louie Simbajon","Riley Chenard","William Fan",21,14
"mrschicago25","4.0 Contender(12pm bracket start)","Pool","Slama llamas","Those Ball Slappers","Christina Nikas","Nathan Warner","Gio DeBlasi","Rafael Silva",21,5
"mrschicago25","4.0 Contender(12pm bracket start)","Pool","New kids on the block","Next Level","Daniel Gutierrez","Tommy Richard","Katie Hansen","Natalie Hansen",21,6
"mrschicago25","4.0 Contender(12pm bracket start)","Pool","Rizznet","Hobee^2","Jaeden Hannus","Aidan Tack","Riley Hobart","Nicole Hobart",21,3
"mrschicago25","4.0 Contender(12pm bracket start)","Pool","Sensual spikers","Spotted Cows","Nate Walter","Shane Hosty","Drew Schwarz","Aidan Fisher",21,19
"mrschicago25","4.0 Contender(12pm bracket start)","Pool","Flashpoint","Zyn Bros","Aman Khemka","Brendon Hanson","Elliot Karp","Danny Huang",21,10
