"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"mrscolumbus","5.0 Premier/Bronze+","Pool","Turf Burn","Corporate America","Kieran Rose","Kyle Fowler","Drew Banziger","Brad Yates",21,5
"mrscolumbus","5.0 Premier/Bronze+","Pool","Yackers ","Jinx","Christian Bennett","Nick Evanko","Noah Elconin","Charlie Cavallaro",21,10
"mrscolumbus","5.0 Premier/Bronze+","Pool","Hollow Purple","GFD GLITCH","Aleks Essen","Justin Barr","Cody Dryer","Luke Nickel",21,15
"mrscolumbus","5.0 Premier/Bronze+","Pool","Cookies and Get Crémed ","KAB is this thing on?","Clifford Amadeo LeVeque","Izayah Gibson","Bradley Clark","Austin Niles",21,10
"mrscolumbus","5.0 Premier/Bronze+","Pool","999 bottles of baby oil on the wall","Chris/Aj","Tim Lacagnina","Andrew Sullivan","AJ Halliday","Chris Hartings",21,11
"mrscolumbus","5.0 Premier/Bronze+","Pool","DPJ","ion run it","Ryan Marino","Grayson M  Wills","Blake Van Den Top","Joe Duvic",21,12
"mrscolumbus","5.0 Premier/Bronze+","Pool","Turf Burn","Jinx","Kieran Rose","Kyle Fowler","Noah Elconin","Charlie Cavallaro",21,6
"mrscolumbus","5.0 Premier/Bronze+","Pool","Popsicle Boyz 2","Corporate America","Grant Klapwijk","David Gonzales","Drew Banziger","Brad Yates",15,21
"mrscolumbus","5.0 Premier/Bronze+","Pool","Hollow Purple","KAB is this thing on?","Aleks Essen","Justin Barr","Bradley Clark","Austin Niles",21,14
"mrscolumbus","5.0 Premier/Bronze+","Pool","FBD","GFD GLITCH","Garrett Duncan","Jack Drouare","Cody Dryer","Luke Nickel",21,15
"mrscolumbus","5.0 Premier/Bronze+","Pool","999 bottles of baby oil on the wall","ion run it","Tim Lacagnina","Andrew Sullivan","Blake Van Den Top","Joe Duvic",22,21
"mrscolumbus","5.0 Premier/Bronze+","Pool","RSG Any% 14:56","Chris/Aj","Reed Drouare","Korbin Thompson","AJ Halliday","Chris Hartings",21,16
"mrscolumbus","5.0 Premier/Bronze+","Pool","Turf Burn","Popsicle Boyz 2","Kieran Rose","Kyle Fowler","Grant Klapwijk","David Gonzales",21,11
"mrscolumbus","5.0 Premier/Bronze+","Pool","Yackers ","Corporate America","Christian Bennett","Nick Evanko","Drew Banziger","Brad Yates",21,13
"mrscolumbus","5.0 Premier/Bronze+","Pool","Hollow Purple","FBD","Aleks Essen","Justin Barr","Garrett Duncan","Jack Drouare",21,17
"mrscolumbus","5.0 Premier/Bronze+","Pool","Cookies and Get Crémed ","GFD GLITCH","Clifford Amadeo LeVeque","Izayah Gibson","Cody Dryer","Luke Nickel",21,15
"mrscolumbus","5.0 Premier/Bronze+","Pool","999 bottles of baby oil on the wall","RSG Any% 14:56","Tim Lacagnina","Andrew Sullivan","Reed Drouare","Korbin Thompson",21,13
"mrscolumbus","5.0 Premier/Bronze+","Pool","DPJ","Chris/Aj","Ryan Marino","Grayson M  Wills","AJ Halliday","Chris Hartings",21,8
"mrscolumbus","5.0 Premier/Bronze+","Pool","Yackers ","Popsicle Boyz 2","Christian Bennett","Nick Evanko","Grant Klapwijk","David Gonzales",21,9
"mrscolumbus","5.0 Premier/Bronze+","Pool","Jinx","Corporate America","Noah Elconin","Charlie Cavallaro","Drew Banziger","Brad Yates",21,18
"mrscolumbus","5.0 Premier/Bronze+","Pool","Cookies and Get Crémed ","FBD","Clifford Amadeo LeVeque","Izayah Gibson","Garrett Duncan","Jack Drouare",21,22
"mrscolumbus","5.0 Premier/Bronze+","Pool","KAB is this thing on?","GFD GLITCH","Bradley Clark","Austin Niles","Cody Dryer","Luke Nickel",21,8
"mrscolumbus","5.0 Premier/Bronze+","Pool","DPJ","RSG Any% 14:56","Ryan Marino","Grayson M  Wills","Reed Drouare","Korbin Thompson",21,18
"mrscolumbus","5.0 Premier/Bronze+","Pool","ion run it","Chris/Aj","Blake Van Den Top","Joe Duvic","AJ Halliday","Chris Hartings",21,8
"mrscolumbus","5.0 Premier/Bronze+","Pool","Turf Burn","Yackers ","Kieran Rose","Kyle Fowler","Christian Bennett","Nick Evanko",21,13
"mrscolumbus","5.0 Premier/Bronze+","Pool","Popsicle Boyz 2","Jinx","Grant Klapwijk","David Gonzales","Noah Elconin","Charlie Cavallaro",16,21
"mrscolumbus","5.0 Premier/Bronze+","Pool","Hollow Purple","Cookies and Get Crémed ","Aleks Essen","Justin Barr","Clifford Amadeo LeVeque","Izayah Gibson",21,18
"mrscolumbus","5.0 Premier/Bronze+","Pool","FBD","KAB is this thing on?","Garrett Duncan","Jack Drouare","Bradley Clark","Austin Niles",21,17
"mrscolumbus","5.0 Premier/Bronze+","Pool","999 bottles of baby oil on the wall","DPJ","Tim Lacagnina","Andrew Sullivan","Ryan Marino","Grayson M  Wills",19,21
"mrscolumbus","5.0 Premier/Bronze+","Pool","RSG Any% 14:56","ion run it","Reed Drouare","Korbin Thompson","Blake Van Den Top","Joe Duvic",21,12
"mrscolumbus","5.0 Premier/Bronze+","Round of 16","DPJ","Chris/Aj","Ryan Marino","Grayson M  Wills","AJ Halliday","Chris Hartings",21,8
"mrscolumbus","5.0 Premier/Bronze+","Round of 16","DPJ","Chris/Aj","Ryan Marino","Grayson M  Wills","AJ Halliday","Chris Hartings",21,10
"mrscolumbus","5.0 Premier/Bronze+","Round of 16","Hollow Purple","Popsicle Boyz 2","Aleks Essen","Justin Barr","Grant Klapwijk","David Gonzales",17,21
"mrscolumbus","5.0 Premier/Bronze+","Round of 16","Hollow Purple","Popsicle Boyz 2","Aleks Essen","Justin Barr","Grant Klapwijk","David Gonzales",21,18
"mrscolumbus","5.0 Premier/Bronze+","Round of 16","Hollow Purple","Popsicle Boyz 2","Aleks Essen","Justin Barr","Grant Klapwijk","David Gonzales",21,14
"mrscolumbus","5.0 Premier/Bronze+","Round of 16","Yackers ","GFD GLITCH","Christian Bennett","Nick Evanko","Cody Dryer","Luke Nickel",21,15
"mrscolumbus","5.0 Premier/Bronze+","Round of 16","Yackers ","GFD GLITCH","Christian Bennett","Nick Evanko","Cody Dryer","Luke Nickel",21,15
