"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"nationals 2021","Men's Elite / Élite (masculin)","Pool","Simply's Back","PB & J","Guillaume Jomphe","Olivier Laurin","Bryan Fonseca","Peter Lam",21,13
"nationals 2021","Men's Elite / Élite (masculin)","Pool","2nd choice","Équipe Mrgence","Chris Brown","Jordan Brandes","Maxime Rome-Gosselin","Simon Toupin",21,15
"nationals 2021","Men's Elite / Élite (masculin)","Pool","Kung/Lee","Les Cowboys","Matthew Lee","Evan Kung","Guillaume Arbour-Loyer","Félix Arbour-Loyer",11,21
"nationals 2021","Men's Elite / Élite (masculin)","Pool","Wonky Sauce","Rothesay Boys","Justin Plett","Blake Bosak","Thomas Van steeg","Ryan Reay",21,8
"nationals 2021","Men's Elite / Élite (masculin)","Pool","Wasabi","Space Jam","Marc Etienne McLaughlin","","Eric Reinke","Hudson Ford",21,20
"nationals 2021","Men's Elite / Élite (masculin)","Pool","Sub-Zero","Bingpot","Gabriel Monfette","Olivier Aglot","Spencer Longfellow","Walter Bonilla",21,13
"nationals 2021","Men's Elite / Élite (masculin)","Pool","Cactus Cuts","Brews Brothers","Keaton Kirchner","Austin Bueckert","Jean-Francois Chevalier","Philippe Delwaide",21,9
"nationals 2021","Men's Elite / Élite (masculin)","Pool","Let's Go!!!","Plouk","Vincent Bastrash","Thomas Déry","Pierre-Luc Laramée","Manouk Momo",20,21
"nationals 2021","Men's Elite / Élite (masculin)","Pool","French Cook","Serve N' D","Etienne Cote","Trevor Cook","Branden Domm","Cam Korvemaker",21,11
"nationals 2021","Men's Elite / Élite (masculin)","Pool","Odds Per Hype","miniclip.com","Reilly Paquette","Emerson Dean","Élie Pilon","Julien Paquette",20,21
"nationals 2021","Men's Elite / Élite (masculin)","Pool","The Prince","TT's","Samuel Prince","Maxime Prince","Eric Pierce","Max Zhang",20,21
"nationals 2021","Men's Elite / Élite (masculin)","Pool","Jake and Will (Went Up The Hill)","Mario & Luigi","Will Ries","Jake Lepp","Vincent Mailloux","Jean-Philippe Miller-Dussault",21,20
