"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"nationals2024","5.5 Open Bronze/Premier","Pool","J.A.R.V.I.S.","Picone/Rose","Connor Nelson","Josh Fragiacomo","Kieran Rose","Will Picone",12,15
"nationals2024","5.5 Open Bronze/Premier","Pool","Cole/Hamilton","Gnocchi","Thomas Hamilton","Matthew Cole","Sunny Gu","Gabriel Finocchi",15,13
"nationals2024","5.5 Open Bronze/Premier","Pool","Glizzy Gladiators","Extreme Point Diff","Jacob Summers","Polk Denmark","Brooks Weeks","Gabe Packevicz",15,4
"nationals2024","5.5 Open Bronze/Premier","Pool","Thrifty","Shockwave","Brendan Ferreira","Bradley Clark","Sam Bunze","John Buchanan",11,15
"nationals2024","5.5 Open Bronze/Premier","Pool","J.A.R.V.I.S.","Gnocchi","Connor Nelson","Josh Fragiacomo","Sunny Gu","Gabriel Finocchi",20,21
"nationals2024","5.5 Open Bronze/Premier","Pool","TRP Spotless","Picone/Rose","Ryan Gross","Joe Bondi","Kieran Rose","Will Picone",21,20
"nationals2024","5.5 Open Bronze/Premier","Pool","Glizzy Gladiators","Shockwave","Jacob Summers","Polk Denmark","Sam Bunze","John Buchanan",15,9
"nationals2024","5.5 Open Bronze/Premier","Pool","Eureka","Extreme Point Diff","Wyatt Semke","Nathan Montgomery","Brooks Weeks","Gabe Packevicz",12,15
"nationals2024","5.5 Open Bronze/Premier","Pool","J.A.R.V.I.S.","TRP Spotless","Connor Nelson","Josh Fragiacomo","Ryan Gross","Joe Bondi",12,15
"nationals2024","5.5 Open Bronze/Premier","Pool","Cole/Hamilton","Picone/Rose","Thomas Hamilton","Matthew Cole","Kieran Rose","Will Picone",14,16
"nationals2024","5.5 Open Bronze/Premier","Pool","Glizzy Gladiators","Eureka","Jacob Summers","Polk Denmark","Wyatt Semke","Nathan Montgomery",15,10
"nationals2024","5.5 Open Bronze/Premier","Pool","Thrifty","Extreme Point Diff","Brendan Ferreira","Bradley Clark","Brooks Weeks","Gabe Packevicz",15,6
"nationals2024","5.5 Open Bronze/Premier","Pool","Cole/Hamilton","TRP Spotless","Thomas Hamilton","Matthew Cole","Ryan Gross","Joe Bondi",15,13
"nationals2024","5.5 Open Bronze/Premier","Pool","Gnocchi","Picone/Rose","Sunny Gu","Gabriel Finocchi","Kieran Rose","Will Picone",13,15
"nationals2024","5.5 Open Bronze/Premier","Pool","Thrifty","Eureka","Brendan Ferreira","Bradley Clark","Wyatt Semke","Nathan Montgomery",15,13
