"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"natsboston26","5.0 Open Premier/Bronze+","Pool","Paradox","Avalanche Warning 🚨🗻","Paq Clifford","Kyle Fowler","Daniel Vogt","Samuel Panek",21,11
"natsboston26","5.0 Open Premier/Bronze+","Pool","Mitch²","Happy Birthday Mom!","Mitchell Whelan","Mitchell Carter","Gavin Gibson","Caedon Gibson",9,21
"natsboston26","5.0 Open Premier/Bronze+","Pool","Who’s Sammy? ","Rupee Red","Sunny Gu","Ryan Marino","Ethan Ferland","Rishab Jain",21,9
"natsboston26","5.0 Open Premier/Bronze+","Pool","Jammin'","Lodato/Vilela","Noah Lerner-Morelle","Matthew Rodriguez","Brock Lodato","Alex Vilela",21,11
"natsboston26","5.0 Open Premier/Bronze+","Pool","Drawing Dead","Jason/Eoin","Kieran Rose","Tyler Fernandez","Eoin O'Gara","Jason Mcgrath",21,5
"natsboston26","5.0 Open Premier/Bronze+","Pool","Savage/Wallach","Happy Heffalumps","Ben Savage","Matt Wallach","Matt Catuccio","Michael Catuccio",21,13
"natsboston26","5.0 Open Premier/Bronze+","Pool","Come & Go","Paradox Fever Rogue","Mike Garrett","Jake Mottershead","Jacob Lamontagne","Zach Patterson",21,8
"natsboston26","5.0 Open Premier/Bronze+","Pool","What do we think of Tottenham?","PBR I have some news","Charlie Camarena","Sasha Mariniuk","Michael Capobianco","Jacob Arzaga",21,15
"natsboston26","5.0 Open Premier/Bronze+","Pool","Omnomnomnomnom","Andres/Matt","Connor Nelson","Noah Saddik","Matt Garbecki","Andres Marquez",21,6
"natsboston26","5.0 Open Premier/Bronze+","Pool","Crave","Bacon Egg & Chinese","Sam Diani","Andrew Nee","Eric Guan","Michael Yung",21,16
"natsboston26","5.0 Open Premier/Bronze+","Pool","Biggs/ Pruett","Medical Intervention","Lucas Pruett","Jackson Biggs","John Muirhead","Riyan Farhat",21,13
"natsboston26","5.0 Open Premier/Bronze+","Pool","Fa(s)t 🧌","Oreo Coolatta","Clifford Amadeo LeVeque","Joey Reynolds","Scotty McCabe","Sreesai Katiki",21,10
"natsboston26","5.0 Open Premier/Bronze+","Pool","KAB weekend plans ","Double WHAT??","Bradley Clark","Austin Niles","Jacob Narayan","Drew Ryder",21,23
"natsboston26","5.0 Open Premier/Bronze+","Pool","Paradox","Happy Birthday Mom!","Paq Clifford","Kyle Fowler","Gavin Gibson","Caedon Gibson",21,10
"natsboston26","5.0 Open Premier/Bronze+","Pool","McLaughlin Men","Avalanche Warning 🚨🗻","Bryan Grullon","Joey Maichen","Daniel Vogt","Samuel Panek",17,21
"natsboston26","5.0 Open Premier/Bronze+","Pool","Who’s Sammy? ","Lodato/Vilela","Sunny Gu","Ryan Marino","Brock Lodato","Alex Vilela",21,12
"natsboston26","5.0 Open Premier/Bronze+","Pool","China Smash","Rupee Red","Jerry Hao","Ricky Santiago","Ethan Ferland","Rishab Jain",21,11
