"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"natscolumbus26","5.0 Open Premier/Bronze+","Pool","Marino / Nelson","Goobners","Connor Nelson","Ryan Marino","Brian Perlson","Henry Cheung",21,8
"natscolumbus26","5.0 Open Premier/Bronze+","Pool","Hydraulic","Toe Goblins 🧌","Josh Hutko","Riley Nassour","Grayson M  Wills","Zach M",21,14
"natscolumbus26","5.0 Open Premier/Bronze+","Pool","Temu Klap","Bridge 4","Zach Snover","Jake Woolley","Kai Zafren","Zach Carver",21,10
"natscolumbus26","5.0 Open Premier/Bronze+","Pool","GFD Fat Chuds","Common Cold","Justin Barr","Izayah Gibson","Nic Albornoz","Noah Elconin",21,14
"natscolumbus26","5.0 Open Premier/Bronze+","Pool","CHEATERS ROUNDNET","Crisp High Five","Jake Dooley","Jacob Summers","Andre Reynolds","Dylan Noker",21,12
"natscolumbus26","5.0 Open Premier/Bronze+","Pool","BTR","KAB Friendly Fire","Korbin Thompson","Jack Drouare","Austin Niles","Sam Aven",21,14
"natscolumbus26","5.0 Open Premier/Bronze+","Pool","Savage/Gonzalez","Pierogi Race","Ben Savage","Jaxon Gonzalez","Ryan Shantz","Kaden Gratton",21,7
"natscolumbus26","5.0 Open Premier/Bronze+","Pool","Tempo","GFD Fatter Chuds","Eli Canon","Sean Caufield","Charlie Cavallaro","Brock Lodato",21,14
"natscolumbus26","5.0 Open Premier/Bronze+","Pool","The Diamond Dogs","Bounty Hunters","Reid Pfutzenreuter","Bennett Anderson","Arjun Dhankani","Chase Bremner",21,9
"natscolumbus26","5.0 Open Premier/Bronze+","Pool","Renewal","Passion project","Aleks Essen","Caleb Shorter","Axel Helfand","Patrick Gillespie",21,5
"natscolumbus26","5.0 Open Premier/Bronze+","Pool","orangest crush","big sahurs","Brooks Weeks","Owen Wallace","Jose Knight","Noah Kopetic",21,18
"natscolumbus26","5.0 Open Premier/Bronze+","Pool","Gavin & Kyle","The Beans","Kyle Fowler","Gavin Hansen","Salvatore Guagenti","Jackson Carpenter",21,10
"natscolumbus26","5.0 Open Premier/Bronze+","Pool","Sweaty","Flick Around and Find Out","Justin Shaytar","Alex Newton","Kenny Velu","Lance Markowitz",21,11
"natscolumbus26","5.0 Open Premier/Bronze+","Pool","GFD TRP Double Gulp","#slay","Tim Lacagnina","Cody Dryer","Bradley Clark","Joanna Gould",19,21
"natscolumbus26","5.0 Open Premier/Bronze+","Pool","Marino / Nelson","Toe Goblins 🧌","Connor Nelson","Ryan Marino","Grayson M  Wills","Zach M",21,7
"natscolumbus26","5.0 Open Premier/Bronze+","Pool","Brian Perlson","Goobners","Kurt Lannetti","Jacob Arzaga","Brian Perlson","Henry Cheung",21,13
"natscolumbus26","5.0 Open Premier/Bronze+","Pool","Temu Klap","Common Cold","Zach Snover","Jake Woolley","Nic Albornoz","Noah Elconin",21,10
"natscolumbus26","5.0 Open Premier/Bronze+","Pool","GFD Zone 2","Bridge 4","Andrew Sullivan","Grant Klapwijk","Kai Zafren","Zach Carver",16,21
"natscolumbus26","5.0 Open Premier/Bronze+","Pool","CHEATERS ROUNDNET","KAB Friendly Fire","Jake Dooley","Jacob Summers","Austin Niles","Sam Aven",21,14
"natscolumbus26","5.0 Open Premier/Bronze+","Pool","Boomstick McDoom","Crisp High Five","Jackson Wood","Taaron Rudzitis","Andre Reynolds","Dylan Noker",21,13
"natscolumbus26","5.0 Open Premier/Bronze+","Pool","EMPIRE","Pierogi Race","Clifford Amadeo LeVeque","Thomas Hamilton","Ryan Shantz","Kaden Gratton",0,-1
"natscolumbus26","5.0 Open Premier/Bronze+","Pool","Savage/Gonzalez","Tempo","Ben Savage","Jaxon Gonzalez","Eli Canon","Sean Caufield",21,12
"natscolumbus26","5.0 Open Premier/Bronze+","Pool","The Diamond Dogs","Passion project","Reid Pfutzenreuter","Bennett Anderson","Axel Helfand","Patrick Gillespie",21,6
"natscolumbus26","5.0 Open Premier/Bronze+","Pool","Renewal","orangest crush","Aleks Essen","Caleb Shorter","Brooks Weeks","Owen Wallace",21,16
"natscolumbus26","5.0 Open Premier/Bronze+","Pool","big sahurs","Bounty Hunters","Jose Knight","Noah Kopetic","Arjun Dhankani","Chase Bremner",19,21
"natscolumbus26","5.0 Open Premier/Bronze+","Pool","Gavin & Kyle","Flick Around and Find Out","Kyle Fowler","Gavin Hansen","Kenny Velu","Lance Markowitz",21,5
"natscolumbus26","5.0 Open Premier/Bronze+","Pool","Sweaty","GFD TRP Double Gulp","Justin Shaytar","Alex Newton","Tim Lacagnina","Cody Dryer",21,11
"natscolumbus26","5.0 Open Premier/Bronze+","Pool","#slay","The Beans","Bradley Clark","Joanna Gould","Salvatore Guagenti","Jackson Carpenter",21,18
