"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"natsdallas26","5.0 Open Premier/Bronze+","Pool","Fever","Kyler / Charlie","Connor Nelson","Kieran Rose","Kyler Cote","Charlie Bratsman",21,12
"natsdallas26","5.0 Open Premier/Bronze+","Pool","TRP_Sweepers","Stout-U-Mah","Fredric Hinkle","Christian Bennett","Brady Van Straten","Jared Kula",21,14
"natsdallas26","5.0 Open Premier/Bronze+","Pool","Paradox","Moldovsky/Young","Paq Clifford","Kyle Fowler","Jake Young","Rafi Moldovsky",21,14
"natsdallas26","5.0 Open Premier/Bronze+","Pool","Robertt/Woolley","Kinetic","Nathan Robertt","Jake Woolley","Noah Kopetic","Polk Denmark",21,5
"natsdallas26","5.0 Open Premier/Bronze+","Pool","NEM Seazonal","what.the.flick?","Jacob Summers","Zach Snover","Taaron Rudzitis","Joren Rudzitis",21,12
"natsdallas26","5.0 Open Premier/Bronze+","Pool","The Diamond Dogs","No Preference","Bennett Anderson","Reid Pfutzenreuter","Juan Moscoso","Rohil Senapati",21,16
"natsdallas26","5.0 Open Premier/Bronze+","Pool","BLUUUEEYYY","Dax Wheres Our Jerseys?","Thomas Hamilton","Joey Reynolds","Ian Austin","Jared Almon",21,13
"natsdallas26","5.0 Open Premier/Bronze+","Pool","Oddball","Dumb n’ dumber","Nick Wideman","Lucas Pruett","Jose Knight","Sam Aven",21,16
"natsdallas26","5.0 Open Premier/Bronze+","Pool","Lap Dogs","BENana BReAD","Aniket Matharasi","Luke Mowry","Bradley Clark","Ben Savage",21,18
"natsdallas26","5.0 Open Premier/Bronze+","Pool","NEM Phantom","Cowboy Bebop","Tyler Fernandez","Caleb Cummings","Gibb Layton","Luis Orozco",21,7
"natsdallas26","5.0 Open Premier/Bronze+","Pool","99c Slice","Ying Yang","Clifford Amadeo LeVeque","Dawson Morgan","Andrew Christmas","Brandon Arledge",21,15
"natsdallas26","5.0 Open Premier/Bronze+","Pool","High Caliber","NEM Dominion","Matt Spolarich","John Buchanan","Andrew Greer","Jake Dooley",11,21
