"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"natslosangeles26","5.0 Open Premier/Bronze+","Pool","J.A.R.V.I.S.","Small Cappuccino","Connor Nelson","Josh Fragiacomo","Jason Small","Michael Capobianco",21,6
"natslosangeles26","5.0 Open Premier/Bronze+","Pool","Mariniuk/Saddik","Hunter / Caedon","Sasha Mariniuk","Noah Saddik","Hunter Koth","Caedon Gibson",10,21
"natslosangeles26","5.0 Open Premier/Bronze+","Pool","Paradox","Pairadawgs","Kyle Fowler","Paq Clifford","Austin Niles","Noah Elconin",21,7
"natslosangeles26","5.0 Open Premier/Bronze+","Pool","Algorithm","Joint Effort","Juan Moscoso","Solomon Berry","Conner Bradshaw","Jason Xu",21,13
"natslosangeles26","5.0 Open Premier/Bronze+","Pool","foolish","Snovermaxxing","Lucas Pruett","Sunny Gu","Gavin Gibson","Zach Patterson",21,5
"natslosangeles26","5.0 Open Premier/Bronze+","Pool","R/C","BLACKOUT","Josh Cain","Nathan Robertt","Joshua Balmforth","Kody Price",9,21
"natslosangeles26","5.0 Open Premier/Bronze+","Pool","Model/Rose","Martinez/Powell","Kieran Rose","Max Model","Liam Martinez","Archie Powell",21,10
"natslosangeles26","5.0 Open Premier/Bronze+","Pool","Illusion of Space","Firewall","Aleks Essen","Dawson Morgan","Zachary Abas","Josh Wozniak",21,10
"natslosangeles26","5.0 Open Premier/Bronze+","Pool","Tight Core","Lost in Thought","Kyler Cote","Chandler Hertzler","James Lamkin","Calvin Chang",21,17
"natslosangeles26","5.0 Open Premier/Bronze+","Pool","NEM Phantom","Cade / Laz","Tyler Fernandez","Caleb Cummings","Lazarus Shettell","Cade Cote",21,14
"natslosangeles26","5.0 Open Premier/Bronze+","Pool","Utinni!","RIPS Only","Reece Greer","Jake Woolley","Gunnar Mueller","Ahren Gwynn",21,11
"natslosangeles26","5.0 Open Premier/Bronze+","Pool","Moldovsky/Young","Lunar","Jake Young","Rafi Moldovsky","Luke Cook","Charlie Bratsman",21,13
"natslosangeles26","5.0 Open Premier/Bronze+","Pool","Area","SAMN Daniel","Nick Wideman","Eddy Leung","Daniel Chudin","Samuel Neeley",21,16
"natslosangeles26","5.0 Open Premier/Bronze+","Pool","Depression, Cheez-Its, and Cargo Shorts","Cal poly","Taylor Church","Garrett Carver","Eli Wortman","Gabriel Rouse",16,21
"natslosangeles26","5.0 Open Premier/Bronze+","Pool","Alec/devon","China Smash","Devon Lee","Alec Galbo","Ricky Santiago","Jerry Hao",20,22
"natslosangeles26","5.0 Open Premier/Bronze+","Pool","J.A.R.V.I.S.","Hunter / Caedon","Connor Nelson","Josh Fragiacomo","Hunter Koth","Caedon Gibson",21,12
"natslosangeles26","5.0 Open Premier/Bronze+","Pool","BENana BReAD","Small Cappuccino","Ben Savage","Bradley Clark","Jason Small","Michael Capobianco",21,14
"natslosangeles26","5.0 Open Premier/Bronze+","Pool","Paradox","Joint Effort","Kyle Fowler","Paq Clifford","Conner Bradshaw","Jason Xu",21,10
"natslosangeles26","5.0 Open Premier/Bronze+","Pool","PCV All-Stars","Pairadawgs","Luke Pennington","Nolan Wynkoop","Austin Niles","Noah Elconin",22,20
"natslosangeles26","5.0 Open Premier/Bronze+","Pool","foolish","BLACKOUT","Lucas Pruett","Sunny Gu","Joshua Balmforth","Kody Price",21,12
"natslosangeles26","5.0 Open Premier/Bronze+","Pool","Jammin'","Snovermaxxing","Noah Lerner-Morelle","Matthew Rodriguez","Gavin Gibson","Zach Patterson",21,11
"natslosangeles26","5.0 Open Premier/Bronze+","Pool","Model/Rose","Firewall","Kieran Rose","Max Model","Zachary Abas","Josh Wozniak",21,4
"natslosangeles26","5.0 Open Premier/Bronze+","Pool","Illusion of Space","Tight Core","Aleks Essen","Dawson Morgan","Kyler Cote","Chandler Hertzler",21,19
"natslosangeles26","5.0 Open Premier/Bronze+","Pool","Lost in Thought","Martinez/Powell","James Lamkin","Calvin Chang","Liam Martinez","Archie Powell",24,25
"natslosangeles26","5.0 Open Premier/Bronze+","Pool","NEM Phantom","RIPS Only","Tyler Fernandez","Caleb Cummings","Gunnar Mueller","Ahren Gwynn",21,11
"natslosangeles26","5.0 Open Premier/Bronze+","Pool","Utinni!","Moldovsky/Young","Reece Greer","Jake Woolley","Jake Young","Rafi Moldovsky",21,14
"natslosangeles26","5.0 Open Premier/Bronze+","Pool","Lunar","Cade / Laz","Luke Cook","Charlie Bratsman","Lazarus Shettell","Cade Cote",21,13
"natslosangeles26","5.0 Open Premier/Bronze+","Pool","Area","Cal poly","Nick Wideman","Eddy Leung","Eli Wortman","Gabriel Rouse",21,13
"natslosangeles26","5.0 Open Premier/Bronze+","Pool","Depression, Cheez-Its, and Cargo Shorts","Alec/devon","Taylor Church","Garrett Carver","Devon Lee","Alec Galbo",15,21
"natslosangeles26","5.0 Open Premier/Bronze+","Pool","China Smash","SAMN Daniel","Ricky Santiago","Jerry Hao","Daniel Chudin","Samuel Neeley",21,17
"natslosangeles26","5.0 Open Premier/Bronze+","Pool","J.A.R.V.I.S.","BENana BReAD","Connor Nelson","Josh Fragiacomo","Ben Savage","Bradley Clark",21,10
"natslosangeles26","5.0 Open Premier/Bronze+","Pool","Mariniuk/Saddik","Small Cappuccino","Sasha Mariniuk","Noah Saddik","Jason Small","Michael Capobianco",21,12
"natslosangeles26","5.0 Open Premier/Bronze+","Pool","Paradox","PCV All-Stars","Kyle Fowler","Paq Clifford","Luke Pennington","Nolan Wynkoop",21,8
"natslosangeles26","5.0 Open Premier/Bronze+","Pool","Algorithm","Pairadawgs","Juan Moscoso","Solomon Berry","Austin Niles","Noah Elconin",21,15
"natslosangeles26","5.0 Open Premier/Bronze+","Pool","foolish","Jammin'","Lucas Pruett","Sunny Gu","Noah Lerner-Morelle","Matthew Rodriguez",21,12
"natslosangeles26","5.0 Open Premier/Bronze+","Pool","R/C","Snovermaxxing","Josh Cain","Nathan Robertt","Gavin Gibson","Zach Patterson",21,12
"natslosangeles26","5.0 Open Premier/Bronze+","Pool","Model/Rose","Lost in Thought","Kieran Rose","Max Model","James Lamkin","Calvin Chang",21,16
"natslosangeles26","5.0 Open Premier/Bronze+","Pool","Illusion of Space","Martinez/Powell","Aleks Essen","Dawson Morgan","Liam Martinez","Archie Powell",21,12
"natslosangeles26","5.0 Open Premier/Bronze+","Pool","Tight Core","Firewall","Kyler Cote","Chandler Hertzler","Zachary Abas","Josh Wozniak",21,10
"natslosangeles26","5.0 Open Premier/Bronze+","Pool","NEM Phantom","Lunar","Tyler Fernandez","Caleb Cummings","Luke Cook","Charlie Bratsman",21,16
"natslosangeles26","5.0 Open Premier/Bronze+","Pool","Utinni!","Cade / Laz","Reece Greer","Jake Woolley","Lazarus Shettell","Cade Cote",21,5
"natslosangeles26","5.0 Open Premier/Bronze+","Pool","Moldovsky/Young","RIPS Only","Jake Young","Rafi Moldovsky","Gunnar Mueller","Ahren Gwynn",21,14
"natslosangeles26","5.0 Open Premier/Bronze+","Pool","Area","China Smash","Nick Wideman","Eddy Leung","Ricky Santiago","Jerry Hao",21,11
"natslosangeles26","5.0 Open Premier/Bronze+","Pool","Depression, Cheez-Its, and Cargo Shorts","SAMN Daniel","Taylor Church","Garrett Carver","Daniel Chudin","Samuel Neeley",22,20
"natslosangeles26","5.0 Open Premier/Bronze+","Pool","Alec/devon","Cal poly","Devon Lee","Alec Galbo","Eli Wortman","Gabriel Rouse",18,21
"natslosangeles26","5.0 Open Premier/Bronze+","Pool","Mariniuk/Saddik","BENana BReAD","Sasha Mariniuk","Noah Saddik","Ben Savage","Bradley Clark",22,20
"natslosangeles26","5.0 Open Premier/Bronze+","Pool","Hunter / Caedon","Small Cappuccino","Hunter Koth","Caedon Gibson","Jason Small","Michael Capobianco",21,13
"natslosangeles26","5.0 Open Premier/Bronze+","Pool","Algorithm","PCV All-Stars","Juan Moscoso","Solomon Berry","Luke Pennington","Nolan Wynkoop",21,14
"natslosangeles26","5.0 Open Premier/Bronze+","Pool","Joint Effort","Pairadawgs","Conner Bradshaw","Jason Xu","Austin Niles","Noah Elconin",21,18
"natslosangeles26","5.0 Open Premier/Bronze+","Pool","R/C","Jammin'","Josh Cain","Nathan Robertt","Noah Lerner-Morelle","Matthew Rodriguez",21,19
