"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","Kyle & Will","BERSERKERS","Will Picone","Kyle Fowler","Luc Vincent Guay","Olivier Mallette",21,10
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","Hutko/Savage","Blitz","Josh Hutko","Ben Savage","Thomas Langlois","Jean-Francois Chevalier",21,5
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","Gimme Boys","Flabazadalagalalright","Guillaume Bilodeau","Maxime Prince","Brendan Reesor","Jordan Martin",21,5
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","Locked","Los Weones","Matt Wallach","Andrew Nee","Luis Alvarez","Léo Guérin-Morneau",21,14
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","Jé/Dan","Short and Sweet","Jé Gagnon","Dan Abrams","Olivier Bernard","Pierre-Luc Robitaille",21,10
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","Sweaty","Super Nannies","Justin Shaytar","Alex Newton","Simon Arseneau","Clement Lavice",21,12
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","Flow State","Farmboys","Jake Woolley","Garrett Carver","Mathis Mensour","Noah Baccin",21,9
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","Dinomite","In-Tim-idating and Dan-gerous","Charlie Camarena","Auriel Wish","Daniel Vogt","Tim Matten",21,11
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","Clueless","Snowfall","Jasmin-Long Najim","Alexandre Vaillancourt","Samuel Panek","Jacob Lamontagne",18,21
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","The Biggest Sun","Good fun","Jackson Biggs","Sunny Gu","Mitchell Carter","Gabriel Monfette",21,13
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","TLMG","Sai-d Brock-et","Thomas Dery","Anthony St-Martin","Sreesai Katiki","Brock Lodato",21,10
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","Les trous","Let Them Cook","Manouk Momo","Élie Pilon","Olivier Laurin","Samuel Prince",17,21
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","Kyle & Will","Blitz","Will Picone","Kyle Fowler","Thomas Langlois","Jean-Francois Chevalier",21,11
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","Y tient debout, on lfait !","BERSERKERS","Simon Guillemette","Théophane Frémond-Guilbault","Luc Vincent Guay","Olivier Mallette",21,8
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","Gimme Boys","Los Weones","Guillaume Bilodeau","Maxime Prince","Luis Alvarez","Léo Guérin-Morneau",21,11
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","Net ninjas","Flabazadalagalalright","Chris Loubert","William Garant","Brendan Reesor","Jordan Martin",19,21
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","Jé/Dan","Super Nannies","Jé Gagnon","Dan Abrams","Simon Arseneau","Clement Lavice",21,12
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","BRUDAAAAA","Short and Sweet","Sabir Qureshi","Lou Paradis","Olivier Bernard","Pierre-Luc Robitaille",21,9
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","Flow State","In-Tim-idating and Dan-gerous","Jake Woolley","Garrett Carver","Daniel Vogt","Tim Matten",21,14
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","Dinomite","Clueless","Charlie Camarena","Auriel Wish","Jasmin-Long Najim","Alexandre Vaillancourt",21,6
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","Snowfall","Farmboys","Samuel Panek","Jacob Lamontagne","Mathis Mensour","Noah Baccin",21,9
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","The Biggest Sun","Sai-d Brock-et","Jackson Biggs","Sunny Gu","Sreesai Katiki","Brock Lodato",21,7
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","TLMG","Les trous","Thomas Dery","Anthony St-Martin","Manouk Momo","Élie Pilon",21,7
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","Let Them Cook","Good fun","Olivier Laurin","Samuel Prince","Mitchell Carter","Gabriel Monfette",21,19
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","Kyle & Will","Y tient debout, on lfait !","Will Picone","Kyle Fowler","Simon Guillemette","Théophane Frémond-Guilbault",21,14
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","Hutko/Savage","BERSERKERS","Josh Hutko","Ben Savage","Luc Vincent Guay","Olivier Mallette",21,8
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","Gimme Boys","Net ninjas","Guillaume Bilodeau","Maxime Prince","Chris Loubert","William Garant",21,10
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","Locked","Flabazadalagalalright","Matt Wallach","Andrew Nee","Brendan Reesor","Jordan Martin",21,6
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","Jé/Dan","BRUDAAAAA","Jé Gagnon","Dan Abrams","Sabir Qureshi","Lou Paradis",21,13
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","Sweaty","Short and Sweet","Justin Shaytar","Alex Newton","Olivier Bernard","Pierre-Luc Robitaille",21,13
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","Flow State","Snowfall","Jake Woolley","Garrett Carver","Samuel Panek","Jacob Lamontagne",21,8
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","Dinomite","Farmboys","Charlie Camarena","Auriel Wish","Mathis Mensour","Noah Baccin",21,5
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","Clueless","In-Tim-idating and Dan-gerous","Jasmin-Long Najim","Alexandre Vaillancourt","Daniel Vogt","Tim Matten",21,13
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","The Biggest Sun","Let Them Cook","Jackson Biggs","Sunny Gu","Olivier Laurin","Samuel Prince",21,12
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","TLMG","Good fun","Thomas Dery","Anthony St-Martin","Mitchell Carter","Gabriel Monfette",21,10
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","Les trous","Sai-d Brock-et","Manouk Momo","Élie Pilon","Sreesai Katiki","Brock Lodato",21,12
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","Hutko/Savage","Y tient debout, on lfait !","Josh Hutko","Ben Savage","Simon Guillemette","Théophane Frémond-Guilbault",21,19
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","Blitz","BERSERKERS","Thomas Langlois","Jean-Francois Chevalier","Luc Vincent Guay","Olivier Mallette",16,21
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","Locked","Net ninjas","Matt Wallach","Andrew Nee","Chris Loubert","William Garant",21,15
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","Los Weones","Flabazadalagalalright","Luis Alvarez","Léo Guérin-Morneau","Brendan Reesor","Jordan Martin",21,19
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","Sweaty","BRUDAAAAA","Justin Shaytar","Alex Newton","Sabir Qureshi","Lou Paradis",21,15
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","Super Nannies","Short and Sweet","Simon Arseneau","Clement Lavice","Olivier Bernard","Pierre-Luc Robitaille",25,24
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","Flow State","Clueless","Jake Woolley","Garrett Carver","Jasmin-Long Najim","Alexandre Vaillancourt",21,9
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","Dinomite","Snowfall","Charlie Camarena","Auriel Wish","Samuel Panek","Jacob Lamontagne",21,19
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","In-Tim-idating and Dan-gerous","Farmboys","Daniel Vogt","Tim Matten","Mathis Mensour","Noah Baccin",21,16
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","The Biggest Sun","Les trous","Jackson Biggs","Sunny Gu","Manouk Momo","Élie Pilon",21,5
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","TLMG","Let Them Cook","Thomas Dery","Anthony St-Martin","Olivier Laurin","Samuel Prince",21,14
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","Sai-d Brock-et","Good fun","Sreesai Katiki","Brock Lodato","Mitchell Carter","Gabriel Monfette",7,21
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","Kyle & Will","Hutko/Savage","Will Picone","Kyle Fowler","Josh Hutko","Ben Savage",21,9
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","Y tient debout, on lfait !","Blitz","Simon Guillemette","Théophane Frémond-Guilbault","Thomas Langlois","Jean-Francois Chevalier",21,11
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","Gimme Boys","Locked","Guillaume Bilodeau","Maxime Prince","Matt Wallach","Andrew Nee",21,7
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","Net ninjas","Los Weones","Chris Loubert","William Garant","Luis Alvarez","Léo Guérin-Morneau",18,21
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","Jé/Dan","Sweaty","Jé Gagnon","Dan Abrams","Justin Shaytar","Alex Newton",15,21
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","BRUDAAAAA","Super Nannies","Sabir Qureshi","Lou Paradis","Simon Arseneau","Clement Lavice",21,9
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","Flow State","Dinomite","Jake Woolley","Garrett Carver","Charlie Camarena","Auriel Wish",21,17
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","Clueless","Farmboys","Jasmin-Long Najim","Alexandre Vaillancourt","Mathis Mensour","Noah Baccin",21,13
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","Snowfall","In-Tim-idating and Dan-gerous","Samuel Panek","Jacob Lamontagne","Daniel Vogt","Tim Matten",21,18
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","The Biggest Sun","TLMG","Jackson Biggs","Sunny Gu","Thomas Dery","Anthony St-Martin",21,11
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","Les trous","Good fun","Manouk Momo","Élie Pilon","Mitchell Carter","Gabriel Monfette",9,21
"natsmontreal26","5.0 Open Premier/Bronze+","Pool","Let Them Cook","Sai-d Brock-et","Olivier Laurin","Samuel Prince","Sreesai Katiki","Brock Lodato",21,10
"natsmontreal26","5.0 Open Premier/Bronze+","Round of 16","Gimme Boys","Good fun","Guillaume Bilodeau","Maxime Prince","Mitchell Carter","Gabriel Monfette",21,9
"natsmontreal26","5.0 Open Premier/Bronze+","Round of 16","Gimme Boys","Good fun","Guillaume Bilodeau","Maxime Prince","Mitchell Carter","Gabriel Monfette",21,9
"natsmontreal26","5.0 Open Premier/Bronze+","Round of 16","The Biggest Sun","Los Weones","Jackson Biggs","Sunny Gu","Luis Alvarez","Léo Guérin-Morneau",21,9
"natsmontreal26","5.0 Open Premier/Bronze+","Round of 16","The Biggest Sun","Los Weones","Jackson Biggs","Sunny Gu","Luis Alvarez","Léo Guérin-Morneau",21,9
"natsmontreal26","5.0 Open Premier/Bronze+","Round of 16","Kyle & Will","Let Them Cook","Will Picone","Kyle Fowler","Olivier Laurin","Samuel Prince",21,12
"natsmontreal26","5.0 Open Premier/Bronze+","Round of 16","Kyle & Will","Let Them Cook","Will Picone","Kyle Fowler","Olivier Laurin","Samuel Prince",21,9
"natsmontreal26","5.0 Open Premier/Bronze+","Round of 16","Flow State","Snowfall","Jake Woolley","Garrett Carver","Samuel Panek","Jacob Lamontagne",21,11
"natsmontreal26","5.0 Open Premier/Bronze+","Round of 16","Flow State","Snowfall","Jake Woolley","Garrett Carver","Samuel Panek","Jacob Lamontagne",21,17
"natsmontreal26","5.0 Open Premier/Bronze+","Round of 16","Sweaty","BRUDAAAAA","Justin Shaytar","Alex Newton","Sabir Qureshi","Lou Paradis",22,20
"natsmontreal26","5.0 Open Premier/Bronze+","Round of 16","Sweaty","BRUDAAAAA","Justin Shaytar","Alex Newton","Sabir Qureshi","Lou Paradis",21,15
"natsmontreal26","5.0 Open Premier/Bronze+","Round of 16","Dinomite","Y tient debout, on lfait !","Charlie Camarena","Auriel Wish","Simon Guillemette","Théophane Frémond-Guilbault",21,10
"natsmontreal26","5.0 Open Premier/Bronze+","Round of 16","Dinomite","Y tient debout, on lfait !","Charlie Camarena","Auriel Wish","Simon Guillemette","Théophane Frémond-Guilbault",21,11
"natsmontreal26","5.0 Open Premier/Bronze+","Round of 16","TLMG","Locked","Thomas Dery","Anthony St-Martin","Matt Wallach","Andrew Nee",21,8
"natsmontreal26","5.0 Open Premier/Bronze+","Round of 16","TLMG","Locked","Thomas Dery","Anthony St-Martin","Matt Wallach","Andrew Nee",21,8
"natsmontreal26","5.0 Open Premier/Bronze+","Round of 16","Jé/Dan","Hutko/Savage","Jé Gagnon","Dan Abrams","Josh Hutko","Ben Savage",21,13
"natsmontreal26","5.0 Open Premier/Bronze+","Round of 16","Jé/Dan","Hutko/Savage","Jé Gagnon","Dan Abrams","Josh Hutko","Ben Savage",21,15
"natsmontreal26","5.0 Open Premier/Bronze+","Quarter-final","Gimme Boys","Jé/Dan","Guillaume Bilodeau","Maxime Prince","Jé Gagnon","Dan Abrams",12,21
"natsmontreal26","5.0 Open Premier/Bronze+","Quarter-final","Gimme Boys","Jé/Dan","Guillaume Bilodeau","Maxime Prince","Jé Gagnon","Dan Abrams",18,21
"natsmontreal26","5.0 Open Premier/Bronze+","Quarter-final","The Biggest Sun","TLMG","Jackson Biggs","Sunny Gu","Thomas Dery","Anthony St-Martin",21,14
"natsmontreal26","5.0 Open Premier/Bronze+","Quarter-final","The Biggest Sun","TLMG","Jackson Biggs","Sunny Gu","Thomas Dery","Anthony St-Martin",21,13
"natsmontreal26","5.0 Open Premier/Bronze+","Quarter-final","Kyle & Will","Dinomite","Will Picone","Kyle Fowler","Charlie Camarena","Auriel Wish",21,14
"natsmontreal26","5.0 Open Premier/Bronze+","Quarter-final","Kyle & Will","Dinomite","Will Picone","Kyle Fowler","Charlie Camarena","Auriel Wish",21,14
"natsmontreal26","5.0 Open Premier/Bronze+","Quarter-final","Flow State","Sweaty","Jake Woolley","Garrett Carver","Justin Shaytar","Alex Newton",21,17
"natsmontreal26","5.0 Open Premier/Bronze+","Quarter-final","Flow State","Sweaty","Jake Woolley","Garrett Carver","Justin Shaytar","Alex Newton",21,15
"natsmontreal26","5.0 Open Premier/Bronze+","P9: Quarter-final","Hutko/Savage","Good fun","Josh Hutko","Ben Savage","Mitchell Carter","Gabriel Monfette",21,12
"natsmontreal26","5.0 Open Premier/Bronze+","P9: Quarter-final","Locked","Los Weones","Matt Wallach","Andrew Nee","Luis Alvarez","Léo Guérin-Morneau",-1,0
"natsmontreal26","5.0 Open Premier/Bronze+","P9: Quarter-final","Y tient debout, on lfait !","Let Them Cook","Simon Guillemette","Théophane Frémond-Guilbault","Olivier Laurin","Samuel Prince",-1,0
"natsmontreal26","5.0 Open Premier/Bronze+","P9: Quarter-final","BRUDAAAAA","Snowfall","Sabir Qureshi","Lou Paradis","Samuel Panek","Jacob Lamontagne",21,14
"natsmontreal26","5.0 Open Premier/Bronze+","Semi-final","Jé/Dan","Flow State","Jé Gagnon","Dan Abrams","Jake Woolley","Garrett Carver",19,21
"natsmontreal26","5.0 Open Premier/Bronze+","Semi-final","Jé/Dan","Flow State","Jé Gagnon","Dan Abrams","Jake Woolley","Garrett Carver",16,21
"natsmontreal26","5.0 Open Premier/Bronze+","Semi-final","The Biggest Sun","Kyle & Will","Jackson Biggs","Sunny Gu","Will Picone","Kyle Fowler",14,21
"natsmontreal26","5.0 Open Premier/Bronze+","Semi-final","The Biggest Sun","Kyle & Will","Jackson Biggs","Sunny Gu","Will Picone","Kyle Fowler",14,21
"natsmontreal26","5.0 Open Premier/Bronze+","P5: Semi-final","Sweaty","Gimme Boys","Justin Shaytar","Alex Newton","Guillaume Bilodeau","Maxime Prince",18,21
"natsmontreal26","5.0 Open Premier/Bronze+","P5: Semi-final","Dinomite","TLMG","Charlie Camarena","Auriel Wish","Thomas Dery","Anthony St-Martin",19,21
"natsmontreal26","5.0 Open Premier/Bronze+","P9: Semi-final","Hutko/Savage","BRUDAAAAA","Josh Hutko","Ben Savage","Sabir Qureshi","Lou Paradis",21,12
"natsmontreal26","5.0 Open Premier/Bronze+","P9: Semi-final","Los Weones","Let Them Cook","Luis Alvarez","Léo Guérin-Morneau","Olivier Laurin","Samuel Prince",19,21
"natsmontreal26","5.0 Open Premier/Bronze+","P13: Semi-final","Snowfall","Good fun","Samuel Panek","Jacob Lamontagne","Mitchell Carter","Gabriel Monfette",21,13
"natsmontreal26","5.0 Open Premier/Bronze+","P13: Semi-final","Y tient debout, on lfait !","Locked","Simon Guillemette","Théophane Frémond-Guilbault","Matt Wallach","Andrew Nee",-1,0
"natsmontreal26","5.0 Open Premier/Bronze+","Final","Flow State","Kyle & Will","Jake Woolley","Garrett Carver","Will Picone","Kyle Fowler",15,21
"natsmontreal26","5.0 Open Premier/Bronze+","Final","Flow State","Kyle & Will","Jake Woolley","Garrett Carver","Will Picone","Kyle Fowler",17,21
"natsmontreal26","5.0 Open Premier/Bronze+","P3: Final","The Biggest Sun","Jé/Dan","Jackson Biggs","Sunny Gu","Jé Gagnon","Dan Abrams",14,21
