"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"natsnewyorkcity26","5.5 Open Gold+","Pool","Carnivorous Herbivores","Rafi/Rafi","Jake Woolley","Josh Fragiacomo","Rafi Moldovsky","Jake Young",21,15
"natsnewyorkcity26","5.5 Open Gold+","Pool","Dinomite","Spikeythaboi fan club","Auriel Wish","Charlie Camarena","Alec Galbo","Noah Saddik",21,16
"natsnewyorkcity26","5.5 Open Gold+","Pool","SnowCone🍦","High Caliber","Zach Snover","Will Picone","John Buchanan","Matt Spolarich",20,22
"natsnewyorkcity26","5.5 Open Gold+","Pool","TLMG","Better late then never","Anthony St-Martin","Thomas Dery","Noah Kopetic","Jackson Biggs",21,12
"natsnewyorkcity26","5.5 Open Gold+","Pool","Bangarang","Salut ","Kyle Fowler","Eddy Leung","William Garant","Alexandre Vaillancourt",21,11
"natsnewyorkcity26","5.5 Open Gold+","Pool","The Diamond Dogs","Jammin'","Bennett Anderson","Reid Pfutzenreuter","Noah Lerner-Morelle","Matthew Rodriguez",21,6
"natsnewyorkcity26","5.5 Open Gold+","Pool","foolish","Bruh Moment","Sunny Gu","Lucas Pruett","Garrett Blanchard","Jacob Arzaga",21,18
"natsnewyorkcity26","5.5 Open Gold+","Pool","LL MKUltra","Hydraulic","Mike Garrett","Gabriel Finocchi","Josh Hutko","Riley Nassour",18,21
"natsnewyorkcity26","5.5 Open Gold+","Pool","EMPIRE","ARG - Vale cuatro","Thomas Hamilton","Clifford Amadeo LeVeque","Tomas Oyhanart","Mio Live",21,10
"natsnewyorkcity26","5.5 Open Gold+","Pool","NEM Dominion","Manu/eli","Andrew Greer","Jake Dooley","Manuel Egea Rodenas","Eli Wortman",21,13
"natsnewyorkcity26","5.5 Open Gold+","Pool","Savage/Wallach","Hurst/Mottershead","Ben Savage","Matt Wallach","Jake Hurst","Jake Mottershead",10,21
"natsnewyorkcity26","5.5 Open Gold+","Pool","Carnivorous Herbivores","Spikeythaboi fan club","Jake Woolley","Josh Fragiacomo","Alec Galbo","Noah Saddik",21,18
"natsnewyorkcity26","5.5 Open Gold+","Pool","Sweaty","Rafi/Rafi","Justin Shaytar","Alex Newton","Rafi Moldovsky","Jake Young",21,11
"natsnewyorkcity26","5.5 Open Gold+","Pool","SnowCone🍦","Better late then never","Zach Snover","Will Picone","Noah Kopetic","Jackson Biggs",21,12
"natsnewyorkcity26","5.5 Open Gold+","Pool","Crave","High Caliber","Sam Diani","Andrew Nee","John Buchanan","Matt Spolarich",17,21
"natsnewyorkcity26","5.5 Open Gold+","Pool","Bangarang","Jammin'","Kyle Fowler","Eddy Leung","Noah Lerner-Morelle","Matthew Rodriguez",21,13
"natsnewyorkcity26","5.5 Open Gold+","Pool","Algorithm","Salut ","Solomon Berry","Juan Moscoso","William Garant","Alexandre Vaillancourt",21,12
"natsnewyorkcity26","5.5 Open Gold+","Pool","foolish","Hydraulic","Sunny Gu","Lucas Pruett","Josh Hutko","Riley Nassour",21,10
"natsnewyorkcity26","5.5 Open Gold+","Pool","Unforeseen Circumstances ","Bruh Moment","Reece Greer","Joey Reynolds","Garrett Blanchard","Jacob Arzaga",21,17
"natsnewyorkcity26","5.5 Open Gold+","Pool","EMPIRE","Manu/eli","Thomas Hamilton","Clifford Amadeo LeVeque","Manuel Egea Rodenas","Eli Wortman",21,14
"natsnewyorkcity26","5.5 Open Gold+","Pool","NEM Dominion","Savage/Wallach","Andrew Greer","Jake Dooley","Ben Savage","Matt Wallach",21,19
"natsnewyorkcity26","5.5 Open Gold+","Pool","Hurst/Mottershead","ARG - Vale cuatro","Jake Hurst","Jake Mottershead","Tomas Oyhanart","Mio Live",21,10
"natsnewyorkcity26","5.5 Open Gold+","Pool","Carnivorous Herbivores","Sweaty","Jake Woolley","Josh Fragiacomo","Justin Shaytar","Alex Newton",16,21
"natsnewyorkcity26","5.5 Open Gold+","Pool","Dinomite","Rafi/Rafi","Auriel Wish","Charlie Camarena","Rafi Moldovsky","Jake Young",20,22
"natsnewyorkcity26","5.5 Open Gold+","Pool","SnowCone🍦","Crave","Zach Snover","Will Picone","Sam Diani","Andrew Nee",23,25
"natsnewyorkcity26","5.5 Open Gold+","Pool","TLMG","High Caliber","Anthony St-Martin","Thomas Dery","John Buchanan","Matt Spolarich",19,21
"natsnewyorkcity26","5.5 Open Gold+","Pool","Bangarang","Algorithm","Kyle Fowler","Eddy Leung","Solomon Berry","Juan Moscoso",21,11
"natsnewyorkcity26","5.5 Open Gold+","Pool","The Diamond Dogs","Salut ","Bennett Anderson","Reid Pfutzenreuter","William Garant","Alexandre Vaillancourt",21,8
"natsnewyorkcity26","5.5 Open Gold+","Pool","foolish","Unforeseen Circumstances ","Sunny Gu","Lucas Pruett","Reece Greer","Joey Reynolds",21,18
"natsnewyorkcity26","5.5 Open Gold+","Pool","LL MKUltra","Bruh Moment","Mike Garrett","Gabriel Finocchi","Garrett Blanchard","Jacob Arzaga",17,21
"natsnewyorkcity26","5.5 Open Gold+","Pool","EMPIRE","Hurst/Mottershead","Thomas Hamilton","Clifford Amadeo LeVeque","Jake Hurst","Jake Mottershead",21,14
"natsnewyorkcity26","5.5 Open Gold+","Pool","NEM Dominion","ARG - Vale cuatro","Andrew Greer","Jake Dooley","Tomas Oyhanart","Mio Live",21,19
"natsnewyorkcity26","5.5 Open Gold+","Pool","Savage/Wallach","Manu/eli","Ben Savage","Matt Wallach","Manuel Egea Rodenas","Eli Wortman",21,14
"natsnewyorkcity26","5.5 Open Gold+","Pool","Dinomite","Sweaty","Auriel Wish","Charlie Camarena","Justin Shaytar","Alex Newton",21,18
"natsnewyorkcity26","5.5 Open Gold+","Pool","Spikeythaboi fan club","Rafi/Rafi","Alec Galbo","Noah Saddik","Rafi Moldovsky","Jake Young",21,14
"natsnewyorkcity26","5.5 Open Gold+","Pool","TLMG","Crave","Anthony St-Martin","Thomas Dery","Sam Diani","Andrew Nee",21,12
"natsnewyorkcity26","5.5 Open Gold+","Pool","Better late then never","High Caliber","Noah Kopetic","Jackson Biggs","John Buchanan","Matt Spolarich",21,17
"natsnewyorkcity26","5.5 Open Gold+","Pool","The Diamond Dogs","Algorithm","Bennett Anderson","Reid Pfutzenreuter","Solomon Berry","Juan Moscoso",21,13
"natsnewyorkcity26","5.5 Open Gold+","Pool","Jammin'","Salut ","Noah Lerner-Morelle","Matthew Rodriguez","William Garant","Alexandre Vaillancourt",24,22
"natsnewyorkcity26","5.5 Open Gold+","Pool","LL MKUltra","Unforeseen Circumstances ","Mike Garrett","Gabriel Finocchi","Reece Greer","Joey Reynolds",21,16
"natsnewyorkcity26","5.5 Open Gold+","Pool","Hydraulic","Bruh Moment","Josh Hutko","Riley Nassour","Garrett Blanchard","Jacob Arzaga",21,19
"natsnewyorkcity26","5.5 Open Gold+","Pool","EMPIRE","Savage/Wallach","Thomas Hamilton","Clifford Amadeo LeVeque","Ben Savage","Matt Wallach",21,10
"natsnewyorkcity26","5.5 Open Gold+","Pool","NEM Dominion","Hurst/Mottershead","Andrew Greer","Jake Dooley","Jake Hurst","Jake Mottershead",24,22
"natsnewyorkcity26","5.5 Open Gold+","Pool","Manu/eli","ARG - Vale cuatro","Manuel Egea Rodenas","Eli Wortman","Tomas Oyhanart","Mio Live",21,16
"natsnewyorkcity26","5.5 Open Gold+","Pool","Carnivorous Herbivores","Dinomite","Jake Woolley","Josh Fragiacomo","Auriel Wish","Charlie Camarena",21,16
"natsnewyorkcity26","5.5 Open Gold+","Pool","Sweaty","Spikeythaboi fan club","Justin Shaytar","Alex Newton","Alec Galbo","Noah Saddik",21,19
"natsnewyorkcity26","5.5 Open Gold+","Pool","SnowCone🍦","TLMG","Zach Snover","Will Picone","Anthony St-Martin","Thomas Dery",21,19
"natsnewyorkcity26","5.5 Open Gold+","Pool","Crave","Better late then never","Sam Diani","Andrew Nee","Noah Kopetic","Jackson Biggs",21,13
"natsnewyorkcity26","5.5 Open Gold+","Pool","Bangarang","The Diamond Dogs","Kyle Fowler","Eddy Leung","Bennett Anderson","Reid Pfutzenreuter",22,20
"natsnewyorkcity26","5.5 Open Gold+","Pool","Algorithm","Jammin'","Solomon Berry","Juan Moscoso","Noah Lerner-Morelle","Matthew Rodriguez",21,13
"natsnewyorkcity26","5.5 Open Gold+","Pool","foolish","LL MKUltra","Sunny Gu","Lucas Pruett","Mike Garrett","Gabriel Finocchi",21,16
"natsnewyorkcity26","5.5 Open Gold+","Pool","Unforeseen Circumstances ","Hydraulic","Reece Greer","Joey Reynolds","Josh Hutko","Riley Nassour",25,23
"natsnewyorkcity26","5.5 Open Gold+","Pool","EMPIRE","NEM Dominion","Thomas Hamilton","Clifford Amadeo LeVeque","Andrew Greer","Jake Dooley",21,12
"natsnewyorkcity26","5.5 Open Gold+","Pool","Savage/Wallach","ARG - Vale cuatro","Ben Savage","Matt Wallach","Tomas Oyhanart","Mio Live",21,13
"natsnewyorkcity26","5.5 Open Gold+","Pool","Hurst/Mottershead","Manu/eli","Jake Hurst","Jake Mottershead","Manuel Egea Rodenas","Eli Wortman",21,15
"natsnewyorkcity26","5.5 Open Gold+","Round of 32","Hurst/Mottershead","Manu/eli","Jake Hurst","Jake Mottershead","Manuel Egea Rodenas","Eli Wortman",21,16
"natsnewyorkcity26","5.5 Open Gold+","Round of 32","TLMG","Jammin'","Anthony St-Martin","Thomas Dery","Noah Lerner-Morelle","Matthew Rodriguez",21,15
"natsnewyorkcity26","5.5 Open Gold+","Round of 32","SnowCone🍦","Better late then never","Zach Snover","Will Picone","Noah Kopetic","Jackson Biggs",22,20
"natsnewyorkcity26","5.5 Open Gold+","Round of 32","Dinomite","Rafi/Rafi","Auriel Wish","Charlie Camarena","Rafi Moldovsky","Jake Young",21,11
"natsnewyorkcity26","5.5 Open Gold+","Round of 32","Algorithm","Savage/Wallach","Solomon Berry","Juan Moscoso","Ben Savage","Matt Wallach",21,15
"natsnewyorkcity26","5.5 Open Gold+","Round of 32","Unforeseen Circumstances ","LL MKUltra","Reece Greer","Joey Reynolds","Mike Garrett","Gabriel Finocchi",20,22
"natsnewyorkcity26","5.5 Open Gold+","Round of 32","Crave","Bruh Moment","Sam Diani","Andrew Nee","Garrett Blanchard","Jacob Arzaga",21,15
"natsnewyorkcity26","5.5 Open Gold+","Round of 32","Hydraulic","Spikeythaboi fan club","Josh Hutko","Riley Nassour","Alec Galbo","Noah Saddik",21,13
"natsnewyorkcity26","5.5 Open Gold+","Round of 16","EMPIRE","Hydraulic","Thomas Hamilton","Clifford Amadeo LeVeque","Josh Hutko","Riley Nassour",21,14
"natsnewyorkcity26","5.5 Open Gold+","Round of 16","EMPIRE","Hydraulic","Thomas Hamilton","Clifford Amadeo LeVeque","Josh Hutko","Riley Nassour",21,14
"natsnewyorkcity26","5.5 Open Gold+","Round of 16","Bangarang","Crave","Kyle Fowler","Eddy Leung","Sam Diani","Andrew Nee",21,17
"natsnewyorkcity26","5.5 Open Gold+","Round of 16","Bangarang","Crave","Kyle Fowler","Eddy Leung","Sam Diani","Andrew Nee",21,17
"natsnewyorkcity26","5.5 Open Gold+","Round of 16","foolish","LL MKUltra","Sunny Gu","Lucas Pruett","Mike Garrett","Gabriel Finocchi",17,21
"natsnewyorkcity26","5.5 Open Gold+","Round of 16","foolish","LL MKUltra","Sunny Gu","Lucas Pruett","Mike Garrett","Gabriel Finocchi",15,21
"natsnewyorkcity26","5.5 Open Gold+","Round of 16","The Diamond Dogs","Algorithm","Bennett Anderson","Reid Pfutzenreuter","Solomon Berry","Juan Moscoso",19,21
"natsnewyorkcity26","5.5 Open Gold+","Round of 16","The Diamond Dogs","Algorithm","Bennett Anderson","Reid Pfutzenreuter","Solomon Berry","Juan Moscoso",22,20
"natsnewyorkcity26","5.5 Open Gold+","Round of 16","The Diamond Dogs","Algorithm","Bennett Anderson","Reid Pfutzenreuter","Solomon Berry","Juan Moscoso",21,18
"natsnewyorkcity26","5.5 Open Gold+","Round of 16","Sweaty","Dinomite","Justin Shaytar","Alex Newton","Auriel Wish","Charlie Camarena",21,18
"natsnewyorkcity26","5.5 Open Gold+","Round of 16","Sweaty","Dinomite","Justin Shaytar","Alex Newton","Auriel Wish","Charlie Camarena",11,21
"natsnewyorkcity26","5.5 Open Gold+","Round of 16","Sweaty","Dinomite","Justin Shaytar","Alex Newton","Auriel Wish","Charlie Camarena",13,21
"natsnewyorkcity26","5.5 Open Gold+","Round of 16","Carnivorous Herbivores","SnowCone🍦","Jake Woolley","Josh Fragiacomo","Zach Snover","Will Picone",17,21
"natsnewyorkcity26","5.5 Open Gold+","Round of 16","Carnivorous Herbivores","SnowCone🍦","Jake Woolley","Josh Fragiacomo","Zach Snover","Will Picone",21,19
"natsnewyorkcity26","5.5 Open Gold+","Round of 16","Carnivorous Herbivores","SnowCone🍦","Jake Woolley","Josh Fragiacomo","Zach Snover","Will Picone",21,7
"natsnewyorkcity26","5.5 Open Gold+","Round of 16","NEM Dominion","TLMG","Andrew Greer","Jake Dooley","Anthony St-Martin","Thomas Dery",15,21
"natsnewyorkcity26","5.5 Open Gold+","Round of 16","NEM Dominion","TLMG","Andrew Greer","Jake Dooley","Anthony St-Martin","Thomas Dery",14,21
"natsnewyorkcity26","5.5 Open Gold+","Round of 16","High Caliber","Hurst/Mottershead","John Buchanan","Matt Spolarich","Jake Hurst","Jake Mottershead",14,21
"natsnewyorkcity26","5.5 Open Gold+","Round of 16","High Caliber","Hurst/Mottershead","John Buchanan","Matt Spolarich","Jake Hurst","Jake Mottershead",15,21
"natsnewyorkcity26","5.5 Open Gold+","Quarter-final","EMPIRE","Hurst/Mottershead","Thomas Hamilton","Clifford Amadeo LeVeque","Jake Hurst","Jake Mottershead",21,16
"natsnewyorkcity26","5.5 Open Gold+","Quarter-final","EMPIRE","Hurst/Mottershead","Thomas Hamilton","Clifford Amadeo LeVeque","Jake Hurst","Jake Mottershead",21,19
"natsnewyorkcity26","5.5 Open Gold+","Quarter-final","Bangarang","TLMG","Kyle Fowler","Eddy Leung","Anthony St-Martin","Thomas Dery",21,17
"natsnewyorkcity26","5.5 Open Gold+","Quarter-final","Bangarang","TLMG","Kyle Fowler","Eddy Leung","Anthony St-Martin","Thomas Dery",25,23
"natsnewyorkcity26","5.5 Open Gold+","Quarter-final","LL MKUltra","Carnivorous Herbivores","Mike Garrett","Gabriel Finocchi","Jake Woolley","Josh Fragiacomo",14,21
"natsnewyorkcity26","5.5 Open Gold+","Quarter-final","LL MKUltra","Carnivorous Herbivores","Mike Garrett","Gabriel Finocchi","Jake Woolley","Josh Fragiacomo",14,21
"natsnewyorkcity26","5.5 Open Gold+","Quarter-final","The Diamond Dogs","Dinomite","Bennett Anderson","Reid Pfutzenreuter","Auriel Wish","Charlie Camarena",19,21
"natsnewyorkcity26","5.5 Open Gold+","Quarter-final","The Diamond Dogs","Dinomite","Bennett Anderson","Reid Pfutzenreuter","Auriel Wish","Charlie Camarena",21,17
"natsnewyorkcity26","5.5 Open Gold+","Quarter-final","The Diamond Dogs","Dinomite","Bennett Anderson","Reid Pfutzenreuter","Auriel Wish","Charlie Camarena",21,16
"natsnewyorkcity26","5.5 Open Gold+","P9: Quarter-final","High Caliber","Hydraulic","John Buchanan","Matt Spolarich","Josh Hutko","Riley Nassour",11,21
"natsnewyorkcity26","5.5 Open Gold+","P9: Quarter-final","NEM Dominion","Crave","Andrew Greer","Jake Dooley","Sam Diani","Andrew Nee",18,21
"natsnewyorkcity26","5.5 Open Gold+","P9: Quarter-final","SnowCone🍦","foolish","Zach Snover","Will Picone","Sunny Gu","Lucas Pruett",-1,0
"natsnewyorkcity26","5.5 Open Gold+","P9: Quarter-final","Sweaty","Algorithm","Justin Shaytar","Alex Newton","Solomon Berry","Juan Moscoso",15,21
"natsnewyorkcity26","5.5 Open Gold+","P17: Quarter-final","Spikeythaboi fan club","Manu/eli","Alec Galbo","Noah Saddik","Manuel Egea Rodenas","Eli Wortman",21,18
