"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"natsseattle26","5.5 Open Gold+","Pool","Fever","Bring back same hand toss","Kieran Rose","Connor Nelson","Nolan Wynkoop","Alec Galbo",21,14
"natsseattle26","5.5 Open Gold+","Pool","Leung/Robertt","Charlie’s Angles","Nathan Robertt","Eddy Leung","Noah Saddik","Sasha Mariniuk",21,8
"natsseattle26","5.5 Open Gold+","Pool","Oddball","Will & Trey","Lucas Pruett","Nick Wideman","Trey Thompson","Will Ries",21,16
"natsseattle26","5.5 Open Gold+","Pool","Carnivorous Herbivores","Carlin / Kyler","Jake Woolley","Josh Fragiacomo","Carlin Vicera","Kyler Cote",21,18
"natsseattle26","5.5 Open Gold+","Pool","Generations","Algorithm","Sunny Gu","Andrew Nee","Juan Moscoso","Solomon Berry",21,13
"natsseattle26","5.5 Open Gold+","Pool","GIRLS!","ARRAKIS","Trevor Barbosa","Joseph Kaylor","Korbin Thompson","Clifford Amadeo LeVeque",21,19
"natsseattle26","5.5 Open Gold+","Pool","Abrams / Cote","Imposters","Dan Abrams","Etienne Cote","Reece Greer","James Lamkin",21,16
"natsseattle26","5.5 Open Gold+","Pool","Paradox","Moldovsky/Hansen","Kyle Fowler","Paq Clifford","Gavin Hansen","Rafi Moldovsky",21,15
"natsseattle26","5.5 Open Gold+","Pool","NEM Phantom","Dinomite","Tyler Fernandez","Caleb Cummings","Auriel Wish","Charlie Camarena",19,21
"natsseattle26","5.5 Open Gold+","Pool","Fever","Charlie’s Angles","Kieran Rose","Connor Nelson","Noah Saddik","Sasha Mariniuk",21,15
"natsseattle26","5.5 Open Gold+","Pool","Leung/Robertt","Oddball","Nathan Robertt","Eddy Leung","Lucas Pruett","Nick Wideman",21,13
"natsseattle26","5.5 Open Gold+","Pool","Will & Trey","Bring back same hand toss","Trey Thompson","Will Ries","Nolan Wynkoop","Alec Galbo",21,17
"natsseattle26","5.5 Open Gold+","Pool","Carnivorous Herbivores","Algorithm","Jake Woolley","Josh Fragiacomo","Juan Moscoso","Solomon Berry",21,8
"natsseattle26","5.5 Open Gold+","Pool","Generations","GIRLS!","Sunny Gu","Andrew Nee","Trevor Barbosa","Joseph Kaylor",19,21
"natsseattle26","5.5 Open Gold+","Pool","ARRAKIS","Carlin / Kyler","Korbin Thompson","Clifford Amadeo LeVeque","Carlin Vicera","Kyler Cote",21,14
"natsseattle26","5.5 Open Gold+","Pool","Abrams / Cote","Moldovsky/Hansen","Dan Abrams","Etienne Cote","Gavin Hansen","Rafi Moldovsky",21,16
"natsseattle26","5.5 Open Gold+","Pool","Paradox","NEM Phantom","Kyle Fowler","Paq Clifford","Tyler Fernandez","Caleb Cummings",21,19
"natsseattle26","5.5 Open Gold+","Pool","Dinomite","Imposters","Auriel Wish","Charlie Camarena","Reece Greer","James Lamkin",21,15
"natsseattle26","5.5 Open Gold+","Pool","Fever","Will & Trey","Kieran Rose","Connor Nelson","Trey Thompson","Will Ries",21,13
"natsseattle26","5.5 Open Gold+","Pool","Leung/Robertt","Bring back same hand toss","Nathan Robertt","Eddy Leung","Nolan Wynkoop","Alec Galbo",21,9
"natsseattle26","5.5 Open Gold+","Pool","Oddball","Charlie’s Angles","Lucas Pruett","Nick Wideman","Noah Saddik","Sasha Mariniuk",21,19
"natsseattle26","5.5 Open Gold+","Pool","Carnivorous Herbivores","ARRAKIS","Jake Woolley","Josh Fragiacomo","Korbin Thompson","Clifford Amadeo LeVeque",21,14
"natsseattle26","5.5 Open Gold+","Pool","Generations","Carlin / Kyler","Sunny Gu","Andrew Nee","Carlin Vicera","Kyler Cote",21,14
"natsseattle26","5.5 Open Gold+","Pool","GIRLS!","Algorithm","Trevor Barbosa","Joseph Kaylor","Juan Moscoso","Solomon Berry",9,21
"natsseattle26","5.5 Open Gold+","Pool","Abrams / Cote","Dinomite","Dan Abrams","Etienne Cote","Auriel Wish","Charlie Camarena",21,13
"natsseattle26","5.5 Open Gold+","Pool","Paradox","Imposters","Kyle Fowler","Paq Clifford","Reece Greer","James Lamkin",21,11
"natsseattle26","5.5 Open Gold+","Pool","NEM Phantom","Moldovsky/Hansen","Tyler Fernandez","Caleb Cummings","Gavin Hansen","Rafi Moldovsky",15,21
"natsseattle26","5.5 Open Gold+","Pool","Fever","Oddball","Kieran Rose","Connor Nelson","Lucas Pruett","Nick Wideman",21,13
"natsseattle26","5.5 Open Gold+","Pool","Leung/Robertt","Will & Trey","Nathan Robertt","Eddy Leung","Trey Thompson","Will Ries",21,12
"natsseattle26","5.5 Open Gold+","Pool","Charlie’s Angles","Bring back same hand toss","Noah Saddik","Sasha Mariniuk","Nolan Wynkoop","Alec Galbo",19,21
"natsseattle26","5.5 Open Gold+","Pool","Carnivorous Herbivores","GIRLS!","Jake Woolley","Josh Fragiacomo","Trevor Barbosa","Joseph Kaylor",21,11
"natsseattle26","5.5 Open Gold+","Pool","Generations","ARRAKIS","Sunny Gu","Andrew Nee","Korbin Thompson","Clifford Amadeo LeVeque",21,12
"natsseattle26","5.5 Open Gold+","Pool","Algorithm","Carlin / Kyler","Juan Moscoso","Solomon Berry","Carlin Vicera","Kyler Cote",21,18
"natsseattle26","5.5 Open Gold+","Pool","Abrams / Cote","NEM Phantom","Dan Abrams","Etienne Cote","Tyler Fernandez","Caleb Cummings",16,21
"natsseattle26","5.5 Open Gold+","Pool","Paradox","Dinomite","Kyle Fowler","Paq Clifford","Auriel Wish","Charlie Camarena",21,15
"natsseattle26","5.5 Open Gold+","Pool","Moldovsky/Hansen","Imposters","Gavin Hansen","Rafi Moldovsky","Reece Greer","James Lamkin",14,21
"natsseattle26","5.5 Open Gold+","Pool","Fever","Leung/Robertt","Kieran Rose","Connor Nelson","Nathan Robertt","Eddy Leung",21,18
"natsseattle26","5.5 Open Gold+","Pool","Oddball","Bring back same hand toss","Lucas Pruett","Nick Wideman","Nolan Wynkoop","Alec Galbo",21,11
"natsseattle26","5.5 Open Gold+","Pool","Will & Trey","Charlie’s Angles","Trey Thompson","Will Ries","Noah Saddik","Sasha Mariniuk",21,15
"natsseattle26","5.5 Open Gold+","Pool","Carnivorous Herbivores","Generations","Jake Woolley","Josh Fragiacomo","Sunny Gu","Andrew Nee",21,19
"natsseattle26","5.5 Open Gold+","Pool","GIRLS!","Carlin / Kyler","Trevor Barbosa","Joseph Kaylor","Carlin Vicera","Kyler Cote",21,11
"natsseattle26","5.5 Open Gold+","Pool","ARRAKIS","Algorithm","Korbin Thompson","Clifford Amadeo LeVeque","Juan Moscoso","Solomon Berry",20,22
"natsseattle26","5.5 Open Gold+","Pool","Abrams / Cote","Paradox","Dan Abrams","Etienne Cote","Kyle Fowler","Paq Clifford",16,21
"natsseattle26","5.5 Open Gold+","Pool","NEM Phantom","Imposters","Tyler Fernandez","Caleb Cummings","Reece Greer","James Lamkin",21,15
"natsseattle26","5.5 Open Gold+","Pool","Dinomite","Moldovsky/Hansen","Auriel Wish","Charlie Camarena","Gavin Hansen","Rafi Moldovsky",21,18
"natsseattle26","5.5 Open Gold+","Round of 32","Imposters","Carlin / Kyler","Reece Greer","James Lamkin","Carlin Vicera","Kyler Cote",21,19
"natsseattle26","5.5 Open Gold+","Round of 32","Bring back same hand toss","Charlie’s Angles","Nolan Wynkoop","Alec Galbo","Noah Saddik","Sasha Mariniuk",18,21
"natsseattle26","5.5 Open Gold+","Round of 16","Carnivorous Herbivores","Charlie’s Angles","Jake Woolley","Josh Fragiacomo","Noah Saddik","Sasha Mariniuk",21,18
"natsseattle26","5.5 Open Gold+","Round of 16","Carnivorous Herbivores","Charlie’s Angles","Jake Woolley","Josh Fragiacomo","Noah Saddik","Sasha Mariniuk",21,18
"natsseattle26","5.5 Open Gold+","Round of 16","Fever","Imposters","Kieran Rose","Connor Nelson","Reece Greer","James Lamkin",21,17
"natsseattle26","5.5 Open Gold+","Round of 16","Fever","Imposters","Kieran Rose","Connor Nelson","Reece Greer","James Lamkin",21,15
"natsseattle26","5.5 Open Gold+","Round of 16","Paradox","Moldovsky/Hansen","Kyle Fowler","Paq Clifford","Gavin Hansen","Rafi Moldovsky",21,15
"natsseattle26","5.5 Open Gold+","Round of 16","Paradox","Moldovsky/Hansen","Kyle Fowler","Paq Clifford","Gavin Hansen","Rafi Moldovsky",21,13
"natsseattle26","5.5 Open Gold+","Round of 16","Leung/Robertt","ARRAKIS","Nathan Robertt","Eddy Leung","Korbin Thompson","Clifford Amadeo LeVeque",21,14
"natsseattle26","5.5 Open Gold+","Round of 16","Leung/Robertt","ARRAKIS","Nathan Robertt","Eddy Leung","Korbin Thompson","Clifford Amadeo LeVeque",22,20
"natsseattle26","5.5 Open Gold+","Round of 16","Generations","Will & Trey","Sunny Gu","Andrew Nee","Trey Thompson","Will Ries",21,11
"natsseattle26","5.5 Open Gold+","Round of 16","Generations","Will & Trey","Sunny Gu","Andrew Nee","Trey Thompson","Will Ries",21,11
"natsseattle26","5.5 Open Gold+","Round of 16","Abrams / Cote","NEM Phantom","Dan Abrams","Etienne Cote","Tyler Fernandez","Caleb Cummings",21,17
"natsseattle26","5.5 Open Gold+","Round of 16","Abrams / Cote","NEM Phantom","Dan Abrams","Etienne Cote","Tyler Fernandez","Caleb Cummings",21,14
"natsseattle26","5.5 Open Gold+","Round of 16","Oddball","GIRLS!","Lucas Pruett","Nick Wideman","Trevor Barbosa","Joseph Kaylor",21,12
"natsseattle26","5.5 Open Gold+","Round of 16","Oddball","GIRLS!","Lucas Pruett","Nick Wideman","Trevor Barbosa","Joseph Kaylor",11,21
"natsseattle26","5.5 Open Gold+","Round of 16","Oddball","GIRLS!","Lucas Pruett","Nick Wideman","Trevor Barbosa","Joseph Kaylor",21,12
"natsseattle26","5.5 Open Gold+","Round of 16","Dinomite","Algorithm","Auriel Wish","Charlie Camarena","Juan Moscoso","Solomon Berry",16,21
"natsseattle26","5.5 Open Gold+","Round of 16","Dinomite","Algorithm","Auriel Wish","Charlie Camarena","Juan Moscoso","Solomon Berry",21,18
"natsseattle26","5.5 Open Gold+","Round of 16","Dinomite","Algorithm","Auriel Wish","Charlie Camarena","Juan Moscoso","Solomon Berry",22,20
