"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"natstoronto26","5.5 Open Gold+","Pool","Fever","Mr. Worldwide","Kieran Rose","Connor Nelson","John Buchanan","Polk Denmark",21,12
"natstoronto26","5.5 Open Gold+","Pool","TLMG","Grandmas Breakfast","Anthony St-Martin","Thomas Dery","Jack Drouare","Jackson Wood",21,10
"natstoronto26","5.5 Open Gold+","Pool","Rogue","Garant-ie Théo-rique","Thomas Hamilton","Ryan Marino","William Garant","Théophane Frémond-Guilbault",21,6
"natstoronto26","5.5 Open Gold+","Pool","Octane","ARRAKIS","Dawson Morgan","Nathan Robertt","Clifford Amadeo LeVeque","Korbin Thompson",19,21
"natstoronto26","5.5 Open Gold+","Pool","High Stakes Holdem","Claude --dangerously-drag-toes","Eddy Leung","Tyler Fernandez","Jake Young","Solomon Berry",21,9
"natstoronto26","5.5 Open Gold+","Pool","Paradox","Renewal","Kyle Fowler","Paq Clifford","Aleks Essen","Caleb Shorter",21,11
"natstoronto26","5.5 Open Gold+","Pool","Finocchi/Model","Laurin/Vicera","Max Model","Gabriel Finocchi","Carlin Vicera","Olivier Laurin",21,17
"natstoronto26","5.5 Open Gold+","Pool","Average Joe’s","The Diamond Dogs","Chris Brown","Ben Pernfuss","Bennett Anderson","Reid Pfutzenreuter",4,21
"natstoronto26","5.5 Open Gold+","Pool","Cote/Gagnon","FaZe Clan","Jé Gagnon","Etienne Cote","Jake Hurst","Jon Esposo",21,15
"natstoronto26","5.5 Open Gold+","Pool","Sharkeys","Hydraulic","Will Picone","Jaxon Gonzalez","Josh Hutko","Riley Nassour",21,9
"natstoronto26","5.5 Open Gold+","Pool","Sweaty","Bang bang lighty boys","Justin Shaytar","Alex Newton","Sam Diani","Jackson Biggs",22,20
"natstoronto26","5.5 Open Gold+","Pool","foolish","NEM Uprising","Lucas Pruett","Sunny Gu","Adam Hassan","Brock Leibold",21,12
"natstoronto26","5.5 Open Gold+","Pool","NEM Seazonal","North East South West","Jacob Summers","Zach Snover","Matt Wallach","Alec Galbo",21,18
"natstoronto26","5.5 Open Gold+","Pool","spot on","NEM Dominion","Will Ries","Nick Wideman","Jake Dooley","Andrew Greer",21,12
"natstoronto26","5.5 Open Gold+","Pool","Fever","Grandmas Breakfast","Kieran Rose","Connor Nelson","Jack Drouare","Jackson Wood",21,11
"natstoronto26","5.5 Open Gold+","Pool","Dinomite","Mr. Worldwide","Auriel Wish","Charlie Camarena","John Buchanan","Polk Denmark",21,19
"natstoronto26","5.5 Open Gold+","Pool","Rogue","ARRAKIS","Thomas Hamilton","Ryan Marino","Clifford Amadeo LeVeque","Korbin Thompson",21,11
"natstoronto26","5.5 Open Gold+","Pool","Octane","High Stakes Holdem","Dawson Morgan","Nathan Robertt","Eddy Leung","Tyler Fernandez",21,19
"natstoronto26","5.5 Open Gold+","Pool","Claude --dangerously-drag-toes","Garant-ie Théo-rique","Jake Young","Solomon Berry","William Garant","Théophane Frémond-Guilbault",19,21
"natstoronto26","5.5 Open Gold+","Pool","Paradox","Laurin/Vicera","Kyle Fowler","Paq Clifford","Carlin Vicera","Olivier Laurin",21,8
