"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"natsvancouver26","5.0 Open Premier/Bronze+","Pool","Woollie Nelson","Wes Coast","Jake Woolley","Connor Nelson","Joshua Grant","Wesley Joyce",21,4
"natsvancouver26","5.0 Open Premier/Bronze+","Pool","Groovy","OG Blinggo Boys","Carlin Vicera","Will Ries","Adam Randall","Alex Osler",21,17
"natsvancouver26","5.0 Open Premier/Bronze+","Pool","100 Giks","Kobra Cai","Tahseen Robbani","Joey Reynolds","Calvin Cai","Daniel Chudin",18,21
"natsvancouver26","5.0 Open Premier/Bronze+","Pool","Cote/Robertt","got milk?","Etienne Cote","Nathan Robertt","Kavan Dharia","Jason Small",21,13
"natsvancouver26","5.0 Open Premier/Bronze+","Pool","Charlie’s Angles","Zach and Max","Noah Saddik","Sasha Mariniuk","Zach Patterson","Max Nice",21,16
"natsvancouver26","5.0 Open Premier/Bronze+","Pool","10 Toes Down","Spin City","Ryan Slaughter","Spencer Smith","Chris Loubert","Sabir Qureshi",21,17
"natsvancouver26","5.0 Open Premier/Bronze+","Pool","Area","John/Jeff","Nick Wideman","Eddy Leung","Jeffrey Cheng","La John",21,2
"natsvancouver26","5.0 Open Premier/Bronze+","Pool","Algorithm","W 🫑","Solomon Berry","Juan Moscoso","Patrick McManus","Mo ElMoursi",21,8
"natsvancouver26","5.0 Open Premier/Bronze+","Pool","Clarke/Ostheimer","Tilbúinn","Erick Ostheimer","Sam Clarke","Marlon Fleming","Dallin James",21,8
"natsvancouver26","5.0 Open Premier/Bronze+","Pool","Woollie Nelson","OG Blinggo Boys","Jake Woolley","Connor Nelson","Adam Randall","Alex Osler",21,7
"natsvancouver26","5.0 Open Premier/Bronze+","Pool","Groovy","The Last Goodbye 👋","Carlin Vicera","Will Ries","Zachary Abas","Jason Xu",20,22
"natsvancouver26","5.0 Open Premier/Bronze+","Pool","Kobra Cai","Wes Coast","Calvin Cai","Daniel Chudin","Joshua Grant","Wesley Joyce",17,21
"natsvancouver26","5.0 Open Premier/Bronze+","Pool","Cote/Robertt","Zach and Max","Etienne Cote","Nathan Robertt","Zach Patterson","Max Nice",21,11
"natsvancouver26","5.0 Open Premier/Bronze+","Pool","Charlie’s Angles","10 Toes Down","Noah Saddik","Sasha Mariniuk","Ryan Slaughter","Spencer Smith",21,13
"natsvancouver26","5.0 Open Premier/Bronze+","Pool","Spin City","got milk?","Chris Loubert","Sabir Qureshi","Kavan Dharia","Jason Small",12,21
"natsvancouver26","5.0 Open Premier/Bronze+","Pool","Area","W 🫑","Nick Wideman","Eddy Leung","Patrick McManus","Mo ElMoursi",21,3
"natsvancouver26","5.0 Open Premier/Bronze+","Pool","Algorithm","Clarke/Ostheimer","Solomon Berry","Juan Moscoso","Erick Ostheimer","Sam Clarke",21,9
"natsvancouver26","5.0 Open Premier/Bronze+","Pool","Tilbúinn","John/Jeff","Marlon Fleming","Dallin James","Jeffrey Cheng","La John",13,21
"natsvancouver26","5.0 Open Premier/Bronze+","Pool","Woollie Nelson","Kobra Cai","Jake Woolley","Connor Nelson","Calvin Cai","Daniel Chudin",21,11
"natsvancouver26","5.0 Open Premier/Bronze+","Pool","Groovy","100 Giks","Carlin Vicera","Will Ries","Tahseen Robbani","Joey Reynolds",21,18
"natsvancouver26","5.0 Open Premier/Bronze+","Pool","The Last Goodbye 👋","OG Blinggo Boys","Zachary Abas","Jason Xu","Adam Randall","Alex Osler",21,16
"natsvancouver26","5.0 Open Premier/Bronze+","Pool","Cote/Robertt","Spin City","Etienne Cote","Nathan Robertt","Chris Loubert","Sabir Qureshi",21,10
"natsvancouver26","5.0 Open Premier/Bronze+","Pool","Charlie’s Angles","got milk?","Noah Saddik","Sasha Mariniuk","Kavan Dharia","Jason Small",21,16
"natsvancouver26","5.0 Open Premier/Bronze+","Pool","10 Toes Down","Zach and Max","Ryan Slaughter","Spencer Smith","Zach Patterson","Max Nice",21,15
"natsvancouver26","5.0 Open Premier/Bronze+","Pool","Area","Tilbúinn","Nick Wideman","Eddy Leung","Marlon Fleming","Dallin James",21,4
"natsvancouver26","5.0 Open Premier/Bronze+","Pool","Algorithm","John/Jeff","Solomon Berry","Juan Moscoso","Jeffrey Cheng","La John",21,9
"natsvancouver26","5.0 Open Premier/Bronze+","Pool","Clarke/Ostheimer","W 🫑","Erick Ostheimer","Sam Clarke","Patrick McManus","Mo ElMoursi",21,10
"natsvancouver26","5.0 Open Premier/Bronze+","Pool","Woollie Nelson","The Last Goodbye 👋","Jake Woolley","Connor Nelson","Zachary Abas","Jason Xu",21,9
"natsvancouver26","5.0 Open Premier/Bronze+","Pool","Groovy","Wes Coast","Carlin Vicera","Will Ries","Joshua Grant","Wesley Joyce",21,9
"natsvancouver26","5.0 Open Premier/Bronze+","Pool","100 Giks","OG Blinggo Boys","Tahseen Robbani","Joey Reynolds","Adam Randall","Alex Osler",21,16
"natsvancouver26","5.0 Open Premier/Bronze+","Pool","Cote/Robertt","10 Toes Down","Etienne Cote","Nathan Robertt","Ryan Slaughter","Spencer Smith",21,13
"natsvancouver26","5.0 Open Premier/Bronze+","Pool","Charlie’s Angles","Spin City","Noah Saddik","Sasha Mariniuk","Chris Loubert","Sabir Qureshi",21,13
"natsvancouver26","5.0 Open Premier/Bronze+","Pool","Zach and Max","got milk?","Zach Patterson","Max Nice","Kavan Dharia","Jason Small",20,22
"natsvancouver26","5.0 Open Premier/Bronze+","Pool","Area","Clarke/Ostheimer","Nick Wideman","Eddy Leung","Erick Ostheimer","Sam Clarke",21,9
"natsvancouver26","5.0 Open Premier/Bronze+","Pool","Algorithm","Tilbúinn","Solomon Berry","Juan Moscoso","Marlon Fleming","Dallin James",21,4
"natsvancouver26","5.0 Open Premier/Bronze+","Pool","W 🫑","John/Jeff","Patrick McManus","Mo ElMoursi","Jeffrey Cheng","La John",25,23
