"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"ncsu-unc-spring-2026-tournament","Expert","Pool","Franklin's Friends","Slap Happy","Cole Ciemniecki","James Brock","Dale Leibee","Camden Leibee",17,13
"ncsu-unc-spring-2026-tournament","Expert","Pool","Fountain Lovers","Grub Lords","Alex DuBois","Jonah Walker","Hugh Telke","Sophia Manning",19,17
"ncsu-unc-spring-2026-tournament","Expert","Pool","Mosley/Burnette","Lloyd & Mosley Penetration Services","Eli Mosley","James Burnette","Caleb Mosley","Grayson Lloyd",17,12
"ncsu-unc-spring-2026-tournament","Expert","Pool","Gooding /Simpson","Bevin","Aaron Simpson","Vaughn Gooding","Ben Celestino","Evan Grabarczyk",18,16
"ncsu-unc-spring-2026-tournament","Expert","Pool","Franklin's Friends","Grub Lords","Cole Ciemniecki","James Brock","Hugh Telke","Sophia Manning",21,19
"ncsu-unc-spring-2026-tournament","Expert","Pool","Fountain Lovers","Slap Happy","Alex DuBois","Jonah Walker","Dale Leibee","Camden Leibee",17,12
"ncsu-unc-spring-2026-tournament","Expert","Pool","Mosley/Burnette","Bevin","Eli Mosley","James Burnette","Ben Celestino","Evan Grabarczyk",18,16
"ncsu-unc-spring-2026-tournament","Expert","Pool","Gooding /Simpson","Lloyd & Mosley Penetration Services","Aaron Simpson","Vaughn Gooding","Caleb Mosley","Grayson Lloyd",17,5
"ncsu-unc-spring-2026-tournament","Expert","Pool","Franklin's Friends","Fountain Lovers","Cole Ciemniecki","James Brock","Alex DuBois","Jonah Walker",14,17
"ncsu-unc-spring-2026-tournament","Expert","Pool","Grub Lords","Slap Happy","Hugh Telke","Sophia Manning","Dale Leibee","Camden Leibee",17,15
"ncsu-unc-spring-2026-tournament","Expert","Pool","Mosley/Burnette","Gooding /Simpson","Eli Mosley","James Burnette","Aaron Simpson","Vaughn Gooding",17,13
"ncsu-unc-spring-2026-tournament","Expert","Pool","Bevin","Lloyd & Mosley Penetration Services","Ben Celestino","Evan Grabarczyk","Caleb Mosley","Grayson Lloyd",17,6
"ncsu-unc-spring-2026-tournament","Expert","Pool","Franklin's Friends","Slap Happy","Cole Ciemniecki","James Brock","Dale Leibee","Camden Leibee",17,11
"ncsu-unc-spring-2026-tournament","Expert","Pool","Fountain Lovers","Grub Lords","Alex DuBois","Jonah Walker","Hugh Telke","Sophia Manning",17,14
"ncsu-unc-spring-2026-tournament","Expert","Pool","Mosley/Burnette","Lloyd & Mosley Penetration Services","Eli Mosley","James Burnette","Caleb Mosley","Grayson Lloyd",17,12
"ncsu-unc-spring-2026-tournament","Expert","Pool","Gooding /Simpson","Bevin","Aaron Simpson","Vaughn Gooding","Ben Celestino","Evan Grabarczyk",17,14
"ncsu-unc-spring-2026-tournament","Expert","Pool","Franklin's Friends","Grub Lords","Cole Ciemniecki","James Brock","Hugh Telke","Sophia Manning",17,14
"ncsu-unc-spring-2026-tournament","Expert","Pool","Fountain Lovers","Slap Happy","Alex DuBois","Jonah Walker","Dale Leibee","Camden Leibee",17,11
"ncsu-unc-spring-2026-tournament","Expert","Pool","Mosley/Burnette","Bevin","Eli Mosley","James Burnette","Ben Celestino","Evan Grabarczyk",17,13
"ncsu-unc-spring-2026-tournament","Expert","Pool","Gooding /Simpson","Lloyd & Mosley Penetration Services","Aaron Simpson","Vaughn Gooding","Caleb Mosley","Grayson Lloyd",17,5
"ncsu-unc-spring-2026-tournament","Expert","Pool","Franklin's Friends","Fountain Lovers","Cole Ciemniecki","James Brock","Alex DuBois","Jonah Walker",10,17
"ncsu-unc-spring-2026-tournament","Expert","Pool","Grub Lords","Slap Happy","Hugh Telke","Sophia Manning","Dale Leibee","Camden Leibee",14,17
"ncsu-unc-spring-2026-tournament","Expert","Pool","Mosley/Burnette","Gooding /Simpson","Eli Mosley","James Burnette","Aaron Simpson","Vaughn Gooding",11,17
"ncsu-unc-spring-2026-tournament","Expert","Pool","Bevin","Lloyd & Mosley Penetration Services","Ben Celestino","Evan Grabarczyk","Caleb Mosley","Grayson Lloyd",17,7
"ncsu-unc-spring-2026-tournament","Expert","Quarter-final","Fountain Lovers","Lloyd & Mosley Penetration Services","Alex DuBois","Jonah Walker","Caleb Mosley","Grayson Lloyd",21,10
"ncsu-unc-spring-2026-tournament","Expert","Quarter-final","Fountain Lovers","Lloyd & Mosley Penetration Services","Alex DuBois","Jonah Walker","Caleb Mosley","Grayson Lloyd",21,18
"ncsu-unc-spring-2026-tournament","Expert","Quarter-final","Gooding /Simpson","Slap Happy","Aaron Simpson","Vaughn Gooding","Dale Leibee","Camden Leibee",21,15
"ncsu-unc-spring-2026-tournament","Expert","Quarter-final","Gooding /Simpson","Slap Happy","Aaron Simpson","Vaughn Gooding","Dale Leibee","Camden Leibee",21,18
"ncsu-unc-spring-2026-tournament","Expert","Quarter-final","Mosley/Burnette","Grub Lords","Eli Mosley","James Burnette","Hugh Telke","Sophia Manning",21,15
"ncsu-unc-spring-2026-tournament","Expert","Quarter-final","Mosley/Burnette","Grub Lords","Eli Mosley","James Burnette","Hugh Telke","Sophia Manning",25,23
"ncsu-unc-spring-2026-tournament","Expert","Quarter-final","Franklin's Friends","Bevin","Cole Ciemniecki","James Brock","Ben Celestino","Evan Grabarczyk",21,13
"ncsu-unc-spring-2026-tournament","Expert","Quarter-final","Franklin's Friends","Bevin","Cole Ciemniecki","James Brock","Ben Celestino","Evan Grabarczyk",17,21
"ncsu-unc-spring-2026-tournament","Expert","Quarter-final","Franklin's Friends","Bevin","Cole Ciemniecki","James Brock","Ben Celestino","Evan Grabarczyk",15,21
"ncsu-unc-spring-2026-tournament","Expert","Semi-final","Fountain Lovers","Bevin","Alex DuBois","Jonah Walker","Ben Celestino","Evan Grabarczyk",21,9
"ncsu-unc-spring-2026-tournament","Expert","Semi-final","Fountain Lovers","Bevin","Alex DuBois","Jonah Walker","Ben Celestino","Evan Grabarczyk",18,21
"ncsu-unc-spring-2026-tournament","Expert","Semi-final","Fountain Lovers","Bevin","Alex DuBois","Jonah Walker","Ben Celestino","Evan Grabarczyk",21,17
"ncsu-unc-spring-2026-tournament","Expert","Semi-final","Gooding /Simpson","Mosley/Burnette","Aaron Simpson","Vaughn Gooding","Eli Mosley","James Burnette",21,19
"ncsu-unc-spring-2026-tournament","Expert","Semi-final","Gooding /Simpson","Mosley/Burnette","Aaron Simpson","Vaughn Gooding","Eli Mosley","James Burnette",21,15
"ncsu-unc-spring-2026-tournament","Expert","P5: Semi-final","Franklin's Friends","Lloyd & Mosley Penetration Services","Cole Ciemniecki","James Brock","Caleb Mosley","Grayson Lloyd",1,0
"ncsu-unc-spring-2026-tournament","Expert","P5: Semi-final","Grub Lords","Slap Happy","Hugh Telke","Sophia Manning","Dale Leibee","Camden Leibee",0,1
"ncsu-unc-spring-2026-tournament","Expert","Final","Fountain Lovers","Gooding /Simpson","Alex DuBois","Jonah Walker","Aaron Simpson","Vaughn Gooding",17,21
"ncsu-unc-spring-2026-tournament","Expert","Final","Fountain Lovers","Gooding /Simpson","Alex DuBois","Jonah Walker","Aaron Simpson","Vaughn Gooding",19,21
"ncsu-unc-spring-2026-tournament","Expert","P3: Final","Mosley/Burnette","Bevin","Eli Mosley","James Burnette","Ben Celestino","Evan Grabarczyk",0,1
"ncsu-unc-spring-2026-tournament","Expert","P5: Final","Franklin's Friends","Slap Happy","Cole Ciemniecki","James Brock","Dale Leibee","Camden Leibee",13,21
"ncsu-unc-spring-2026-tournament","Expert","P7: Final","Grub Lords","Lloyd & Mosley Penetration Services","Hugh Telke","Sophia Manning","Caleb Mosley","Grayson Lloyd",0,0
"ncsu-unc-spring-2026-tournament","Intermediate","Pool","Dubois/Cohen","PLACEHOLDER","Aden cohen","Logan DuBois","Zeke Krumnacher","Matthew Whalen",17,12
"ncsu-unc-spring-2026-tournament","Intermediate","Pool","LeBlanc/Mvuendy","Hostetler/Valerius","Meki Mvuendy","Emma Leblanc","Lauren Hostetler","Alexis Valerius",14,17
"ncsu-unc-spring-2026-tournament","Intermediate","Pool","K/P","Broken Mirror","Joseph Kolakowski","Jack Porter","Nicolas Bradham","Zac Wall",17,13
"ncsu-unc-spring-2026-tournament","Intermediate","Pool","Quad fault","Sean and David ","Elijah Young","Spencer Marazita","Sean  Kneller","David Alvarez",17,1
"ncsu-unc-spring-2026-tournament","Intermediate","Pool","Dubois/Cohen","Hostetler/Valerius","Aden cohen","Logan DuBois","Lauren Hostetler","Alexis Valerius",17,10
"ncsu-unc-spring-2026-tournament","Intermediate","Pool","LeBlanc/Mvuendy","PLACEHOLDER","Meki Mvuendy","Emma Leblanc","Zeke Krumnacher","Matthew Whalen",17,15
"ncsu-unc-spring-2026-tournament","Intermediate","Pool","K/P","Sean and David ","Joseph Kolakowski","Jack Porter","Sean  Kneller","David Alvarez",17,4
"ncsu-unc-spring-2026-tournament","Intermediate","Pool","Quad fault","Broken Mirror","Elijah Young","Spencer Marazita","Nicolas Bradham","Zac Wall",17,8
"ncsu-unc-spring-2026-tournament","Intermediate","Pool","Dubois/Cohen","LeBlanc/Mvuendy","Aden cohen","Logan DuBois","Meki Mvuendy","Emma Leblanc",18,16
"ncsu-unc-spring-2026-tournament","Intermediate","Pool","Hostetler/Valerius","PLACEHOLDER","Lauren Hostetler","Alexis Valerius","Zeke Krumnacher","Matthew Whalen",17,13
"ncsu-unc-spring-2026-tournament","Intermediate","Pool","K/P","Quad fault","Joseph Kolakowski","Jack Porter","Elijah Young","Spencer Marazita",9,17
"ncsu-unc-spring-2026-tournament","Intermediate","Pool","Sean and David ","Broken Mirror","Sean  Kneller","David Alvarez","Nicolas Bradham","Zac Wall",8,17
"ncsu-unc-spring-2026-tournament","Intermediate","Pool","Dubois/Cohen","PLACEHOLDER","Aden cohen","Logan DuBois","Zeke Krumnacher","Matthew Whalen",17,14
"ncsu-unc-spring-2026-tournament","Intermediate","Pool","LeBlanc/Mvuendy","Hostetler/Valerius","Meki Mvuendy","Emma Leblanc","Lauren Hostetler","Alexis Valerius",17,8
"ncsu-unc-spring-2026-tournament","Intermediate","Pool","K/P","Broken Mirror","Joseph Kolakowski","Jack Porter","Nicolas Bradham","Zac Wall",17,10
"ncsu-unc-spring-2026-tournament","Intermediate","Pool","Quad fault","Sean and David ","Elijah Young","Spencer Marazita","Sean  Kneller","David Alvarez",17,8
"ncsu-unc-spring-2026-tournament","Intermediate","Pool","Dubois/Cohen","Hostetler/Valerius","Aden cohen","Logan DuBois","Lauren Hostetler","Alexis Valerius",17,10
"ncsu-unc-spring-2026-tournament","Intermediate","Pool","LeBlanc/Mvuendy","PLACEHOLDER","Meki Mvuendy","Emma Leblanc","Zeke Krumnacher","Matthew Whalen",12,17
"ncsu-unc-spring-2026-tournament","Intermediate","Pool","K/P","Sean and David ","Joseph Kolakowski","Jack Porter","Sean  Kneller","David Alvarez",17,7
"ncsu-unc-spring-2026-tournament","Intermediate","Pool","Quad fault","Broken Mirror","Elijah Young","Spencer Marazita","Nicolas Bradham","Zac Wall",17,9
"ncsu-unc-spring-2026-tournament","Intermediate","Pool","Dubois/Cohen","LeBlanc/Mvuendy","Aden cohen","Logan DuBois","Meki Mvuendy","Emma Leblanc",18,16
"ncsu-unc-spring-2026-tournament","Intermediate","Pool","Hostetler/Valerius","PLACEHOLDER","Lauren Hostetler","Alexis Valerius","Zeke Krumnacher","Matthew Whalen",15,17
"ncsu-unc-spring-2026-tournament","Intermediate","Pool","K/P","Quad fault","Joseph Kolakowski","Jack Porter","Elijah Young","Spencer Marazita",17,11
"ncsu-unc-spring-2026-tournament","Intermediate","Pool","Sean and David ","Broken Mirror","Sean  Kneller","David Alvarez","Nicolas Bradham","Zac Wall",8,17
"ncsu-unc-spring-2026-tournament","Intermediate","Quarter-final","Dubois/Cohen","Sean and David ","Aden cohen","Logan DuBois","Sean  Kneller","David Alvarez",21,11
"ncsu-unc-spring-2026-tournament","Intermediate","Quarter-final","Dubois/Cohen","Sean and David ","Aden cohen","Logan DuBois","Sean  Kneller","David Alvarez",21,13
"ncsu-unc-spring-2026-tournament","Intermediate","Quarter-final","Quad fault","Hostetler/Valerius","Elijah Young","Spencer Marazita","Lauren Hostetler","Alexis Valerius",21,10
"ncsu-unc-spring-2026-tournament","Intermediate","Quarter-final","Quad fault","Hostetler/Valerius","Elijah Young","Spencer Marazita","Lauren Hostetler","Alexis Valerius",21,10
"ncsu-unc-spring-2026-tournament","Intermediate","Quarter-final","K/P","Broken Mirror","Joseph Kolakowski","Jack Porter","Nicolas Bradham","Zac Wall",21,10
"ncsu-unc-spring-2026-tournament","Intermediate","Quarter-final","K/P","Broken Mirror","Joseph Kolakowski","Jack Porter","Nicolas Bradham","Zac Wall",17,21
"ncsu-unc-spring-2026-tournament","Intermediate","Quarter-final","K/P","Broken Mirror","Joseph Kolakowski","Jack Porter","Nicolas Bradham","Zac Wall",21,14
"ncsu-unc-spring-2026-tournament","Intermediate","Quarter-final","LeBlanc/Mvuendy","PLACEHOLDER","Meki Mvuendy","Emma Leblanc","Zeke Krumnacher","Matthew Whalen",22,20
"ncsu-unc-spring-2026-tournament","Intermediate","Quarter-final","LeBlanc/Mvuendy","PLACEHOLDER","Meki Mvuendy","Emma Leblanc","Zeke Krumnacher","Matthew Whalen",16,21
"ncsu-unc-spring-2026-tournament","Intermediate","Quarter-final","LeBlanc/Mvuendy","PLACEHOLDER","Meki Mvuendy","Emma Leblanc","Zeke Krumnacher","Matthew Whalen",23,25
"ncsu-unc-spring-2026-tournament","Intermediate","Semi-final","Dubois/Cohen","PLACEHOLDER","Aden cohen","Logan DuBois","Zeke Krumnacher","Matthew Whalen",20,22
"ncsu-unc-spring-2026-tournament","Intermediate","Semi-final","Dubois/Cohen","PLACEHOLDER","Aden cohen","Logan DuBois","Zeke Krumnacher","Matthew Whalen",21,16
"ncsu-unc-spring-2026-tournament","Intermediate","Semi-final","Dubois/Cohen","PLACEHOLDER","Aden cohen","Logan DuBois","Zeke Krumnacher","Matthew Whalen",21,16
"ncsu-unc-spring-2026-tournament","Intermediate","Semi-final","Quad fault","K/P","Elijah Young","Spencer Marazita","Joseph Kolakowski","Jack Porter",21,19
"ncsu-unc-spring-2026-tournament","Intermediate","Semi-final","Quad fault","K/P","Elijah Young","Spencer Marazita","Joseph Kolakowski","Jack Porter",21,11
"ncsu-unc-spring-2026-tournament","Intermediate","P5: Semi-final","LeBlanc/Mvuendy","Sean and David ","Meki Mvuendy","Emma Leblanc","Sean  Kneller","David Alvarez",21,11
"ncsu-unc-spring-2026-tournament","Intermediate","P5: Semi-final","Broken Mirror","Hostetler/Valerius","Nicolas Bradham","Zac Wall","Lauren Hostetler","Alexis Valerius",1,0
"ncsu-unc-spring-2026-tournament","Intermediate","Final","Dubois/Cohen","Quad fault","Aden cohen","Logan DuBois","Elijah Young","Spencer Marazita",19,21
"ncsu-unc-spring-2026-tournament","Intermediate","Final","Dubois/Cohen","Quad fault","Aden cohen","Logan DuBois","Elijah Young","Spencer Marazita",16,21
