"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"norcalregionals","5.0 Expert","Pool","Dinomite","E2D2","Auriel Wish","Charlie Camarena","Eric Tay","Eric Guan",21,13
"norcalregionals","5.0 Expert","Pool","Big Schwing","Trojan Horse","Alec Galbo","Rafi Moldovsky","Reece Greer","Devon Lee",18,21
"norcalregionals","5.0 Expert","Pool","Nelson / Lowe","Ben & Brian","Connor Nelson","Elle Lowe","Benjamin Walker-Edwards","Brian Quach",21,5
"norcalregionals","5.0 Expert","Pool","Dinomite","Dinomite","Sasha Mariniuk","Noah Saddik","Aman Khemka","Trevor Folden",22,20
"norcalregionals","5.0 Expert","Pool","Bad Beat","Missing Minute","Jerry Hao","Rishab Jain","Gabriel Rouse","Jackson Blackburn",17,21
"norcalregionals","5.0 Expert","Pool","Dinomite","Trojan Horse","Auriel Wish","Charlie Camarena","Reece Greer","Devon Lee",21,17
"norcalregionals","5.0 Expert","Pool","Chicken Wing","E2D2","Kevin Chen","Justin Wang","Eric Tay","Eric Guan",21,15
"norcalregionals","5.0 Expert","Pool","Nelson / Lowe","Dinomite","Connor Nelson","Elle Lowe","Aman Khemka","Trevor Folden",21,9
"norcalregionals","5.0 Expert","Pool","Dinomite","Bad Beat","Sasha Mariniuk","Noah Saddik","Jerry Hao","Rishab Jain",21,15
"norcalregionals","5.0 Expert","Pool","Missing Minute","Ben & Brian","Gabriel Rouse","Jackson Blackburn","Benjamin Walker-Edwards","Brian Quach",22,20
"norcalregionals","5.0 Expert","Pool","Dinomite","Chicken Wing","Auriel Wish","Charlie Camarena","Kevin Chen","Justin Wang",21,14
"norcalregionals","5.0 Expert","Pool","Big Schwing","E2D2","Alec Galbo","Rafi Moldovsky","Eric Tay","Eric Guan",21,16
"norcalregionals","5.0 Expert","Pool","Nelson / Lowe","Missing Minute","Connor Nelson","Elle Lowe","Gabriel Rouse","Jackson Blackburn",21,9
"norcalregionals","5.0 Expert","Pool","Dinomite","Ben & Brian","Sasha Mariniuk","Noah Saddik","Benjamin Walker-Edwards","Brian Quach",21,17
"norcalregionals","5.0 Expert","Pool","Bad Beat","Dinomite","Jerry Hao","Rishab Jain","Aman Khemka","Trevor Folden",21,11
"norcalregionals","5.0 Expert","Pool","Big Schwing","Chicken Wing","Alec Galbo","Rafi Moldovsky","Kevin Chen","Justin Wang",21,16
"norcalregionals","5.0 Expert","Pool","Trojan Horse","E2D2","Reece Greer","Devon Lee","Eric Tay","Eric Guan",21,18
"norcalregionals","5.0 Expert","Pool","Nelson / Lowe","Bad Beat","Connor Nelson","Elle Lowe","Jerry Hao","Rishab Jain",21,14
"norcalregionals","5.0 Expert","Pool","Dinomite","Missing Minute","Sasha Mariniuk","Noah Saddik","Gabriel Rouse","Jackson Blackburn",21,19
"norcalregionals","5.0 Expert","Pool","Dinomite","Ben & Brian","Aman Khemka","Trevor Folden","Benjamin Walker-Edwards","Brian Quach",17,21
"norcalregionals","5.0 Expert","Pool","Dinomite","Big Schwing","Auriel Wish","Charlie Camarena","Alec Galbo","Rafi Moldovsky",22,20
"norcalregionals","5.0 Expert","Pool","Chicken Wing","Trojan Horse","Kevin Chen","Justin Wang","Reece Greer","Devon Lee",16,21
"norcalregionals","5.0 Expert","Pool","Nelson / Lowe","Dinomite","Connor Nelson","Elle Lowe","Sasha Mariniuk","Noah Saddik",21,13
"norcalregionals","5.0 Expert","Pool","Bad Beat","Ben & Brian","Jerry Hao","Rishab Jain","Benjamin Walker-Edwards","Brian Quach",21,17
"norcalregionals","5.0 Expert","Pool","Missing Minute","Dinomite","Gabriel Rouse","Jackson Blackburn","Aman Khemka","Trevor Folden",21,11
"norcalregionals","5.0 Expert","Round of 16","Missing Minute","Dinomite","Gabriel Rouse","Jackson Blackburn","Aman Khemka","Trevor Folden",21,19
"norcalregionals","5.0 Expert","Round of 16","Missing Minute","Dinomite","Gabriel Rouse","Jackson Blackburn","Aman Khemka","Trevor Folden",22,20
"norcalregionals","5.0 Expert","Round of 16","Bad Beat","E2D2","Jerry Hao","Rishab Jain","Eric Tay","Eric Guan",21,13
"norcalregionals","5.0 Expert","Round of 16","Bad Beat","E2D2","Jerry Hao","Rishab Jain","Eric Tay","Eric Guan",21,19
"norcalregionals","5.0 Expert","Round of 16","Chicken Wing","Ben & Brian","Kevin Chen","Justin Wang","Benjamin Walker-Edwards","Brian Quach",21,15
"norcalregionals","5.0 Expert","Round of 16","Chicken Wing","Ben & Brian","Kevin Chen","Justin Wang","Benjamin Walker-Edwards","Brian Quach",20,22
"norcalregionals","5.0 Expert","Round of 16","Chicken Wing","Ben & Brian","Kevin Chen","Justin Wang","Benjamin Walker-Edwards","Brian Quach",21,18
"norcalregionals","5.0 Expert","Quarter-final","Nelson / Lowe","Chicken Wing","Connor Nelson","Elle Lowe","Kevin Chen","Justin Wang",21,13
"norcalregionals","5.0 Expert","Quarter-final","Nelson / Lowe","Chicken Wing","Connor Nelson","Elle Lowe","Kevin Chen","Justin Wang",21,16
"norcalregionals","5.0 Expert","Quarter-final","Dinomite","Bad Beat","Auriel Wish","Charlie Camarena","Jerry Hao","Rishab Jain",21,10
