"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"on provincials 2023","Elite","Pool","CRO rimmer season","Till We Spike Again","Nicholas Puopolo","Tyler Babin","Aaron Charette","Trevor Fleming",21,10
"on provincials 2023","Elite","Pool","CRO Pocket Aces","PB & J","Anthony Cho","Adrian Garcea","Bryan Fonseca","Peter Lam",21,15
"on provincials 2023","Elite","Pool","Average Joe’s","Bologna Law","Chris Brown","Ben Pernfuss","Jordan Arnott","Kelton Law",21,8
"on provincials 2023","Elite","Pool","CRO Bummerland","Milk Men","Eric Reinke","Leonardo Tullo","Derek Soetemans","Brendan Reesor",22,20
"on provincials 2023","Elite","Pool","Odds Per Hype","TJ’s Bar and Grill","Reilly Paquette","Emerson Dean","Tyler Kitzul","Jared Ang",21,17
"on provincials 2023","Elite","Pool","BHAD Dawgs","Seed Oilers","Nethaniel Gabriel","Colin TOLENTINO","Shane Soto","brandon farronato",14,21
"on provincials 2023","Elite","Pool","CRO Indi Partners","Jungle Juice","Joshua Hachey","Austin Ha","Kyle Jeung","Nathan Goh",21,15
"on provincials 2023","Elite","Pool","Great White Shark 🦈","Flick Merchants","Shardul Ghuge","Etienne Cote","C.J. Sison","Adam Hassan",21,23
"on provincials 2023","Elite","Pool","CRO rimmer season","PB & J","Nicholas Puopolo","Tyler Babin","Bryan Fonseca","Peter Lam",21,15
"on provincials 2023","Elite","Pool","CRO Pocket Aces","Till We Spike Again","Anthony Cho","Adrian Garcea","Aaron Charette","Trevor Fleming",21,12
"on provincials 2023","Elite","Pool","Average Joe’s","Milk Men","Chris Brown","Ben Pernfuss","Derek Soetemans","Brendan Reesor",21,15
"on provincials 2023","Elite","Pool","CRO Bummerland","Bologna Law","Eric Reinke","Leonardo Tullo","Jordan Arnott","Kelton Law",21,14
"on provincials 2023","Elite","Pool","Odds Per Hype","Seed Oilers","Reilly Paquette","Emerson Dean","Shane Soto","brandon farronato",21,9
