"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"on sts 2022","Premier 5.0+","Pool","Bot House","Free agent","West Peterson","Owen Lippman","Alex Luc","Nolan Marolf",21,12
"on sts 2022","Premier 5.0+","Pool","Austin/Thomas","CRO X Future","Austin Ha","Thomas Maloney","Adrian Garcea","Raffael Jonas",21,18
"on sts 2022","Premier 5.0+","Pool","Swamp Donkeys","CRO Suited Connect Ed","Emerson Dean","Etienne Cote","Nicholas Puopolo","Shakil Nobes",21,17
"on sts 2022","Premier 5.0+","Pool","Simply Smashing","Soft Pajamas","Guillaume Jomphe","Olivier Laurin","Isaac Freeman","James Hyman",21,12
"on sts 2022","Premier 5.0+","Pool","Wasabi","Butter Shortbread","Marc Etienne McLaughlin","Vincent Mathieu","Caleb Shorter","Bryan Fonseca",21,10
"on sts 2022","Premier 5.0+","Pool","Glitch","CRO Bummerland","Luke Nickel","Cody Dryer","Leonardo Tullo","Eric Reinke",21,14
"on sts 2022","Premier 5.0+","Pool","Sub-Zero","Bingu!","Gabriel Monfette","Olivier Aglot","Sunny Gu","Jared Bingham",17,21
"on sts 2022","Premier 5.0+","Pool","Long Tan Handsome and Addison","Scoot’s Paradise","Addison Powers","Gabe Finocchi","Scott Pasiechnyk","Lou Paradis",21,15
"on sts 2022","Premier 5.0+","Pool","GFD Asian Invasion","Gym Class Heroes","Neal Bergman","Justin Barr","Michael Murray","Patrick McAuliffe",21,15
"on sts 2022","Premier 5.0+","Pool","Super pumped","CRO Fall Damage","Reilly Paquette","Philip Drouin","Chris Brown","Tyler Babin",10,21
"on sts 2022","Premier 5.0+","Pool","Bot House","CRO X Future","West Peterson","Owen Lippman","Adrian Garcea","Raffael Jonas",21,17
"on sts 2022","Premier 5.0+","Pool","Just Fungin Around","Free agent","Justin Shaytar","Donald Fung","Alex Luc","Nolan Marolf",21,12
"on sts 2022","Premier 5.0+","Pool","Swamp Donkeys","Soft Pajamas","Emerson Dean","Etienne Cote","Isaac Freeman","James Hyman",21,8
"on sts 2022","Premier 5.0+","Pool","Let’s Eat","CRO Suited Connect Ed","Alex Daly","Vincent Bastrash","Nicholas Puopolo","Shakil Nobes",22,20
