tourney,Division,Round,Team1,Team2,T1P1,T1P2,T2P1,T2P2,t1score,t2score
open2,Expert 4.0-5.0,Pool,Pai Sho,Ball Busters,Jacob Payer,Ethan Zehr,Thompson Yang,Billy Durrill,21.0,15.0
open2,Expert 4.0-5.0,Pool,"See Ball, Whiff Ball",jihadi out the cave,Dylan Medveal,Matthew Waisner,Kaden  Hagenbuch ,Parminder Parmar,24.0,22.0
open2,Expert 4.0-5.0,Pool,Shifty,Apples,Samuel Buckman,Trevor Barbosa,Elle Lowe,Michael Liu,21.0,7.0
open2,Expert 4.0-5.0,Pool,Judgemental Eyes and Luke,Mario & Luigi,Luke Pennington,tucker judkins,Evan Cox,Leo Cox,21.0,12.0
open2,Expert 4.0-5.0,Pool,Josh,SC Dream Team,Josh Fragiacomo,Josh Cain,Andrew Chestnut,,20.0,10.0
open2,Expert 4.0-5.0,Pool,Fractal Spikes,Ben Squared,Connor Nelson,Michael Du,Bendix Heß,Benjamin Walker-Edwards,21.0,13.0
open2,Expert 4.0-5.0,Pool,Oswalt / Schrag,DEEZ NETS!!!,Ryan Oswalt,Nathaniel Schrag,Ragav Subramanian,Justin Silver,21.0,5.0
open2,Expert 4.0-5.0,Pool,Degenerational Wealth,pure filth,brandon brown,Jason Rhoads,Nate Gauthier,Nathan Robertt,21.0,18.0
open2,Expert 4.0-5.0,Pool,Pai Sho,jihadi out the cave,Jacob Payer,Ethan Zehr,Kaden  Hagenbuch ,Parminder Parmar,21.0,14.0
open2,Expert 4.0-5.0,Pool,Yellow Fever,Ball Busters,Franz Castillo,Pio Clavecilla,Thompson Yang,Billy Durrill,21.0,10.0
open2,Expert 4.0-5.0,Pool,Shifty,Mario & Luigi,Samuel Buckman,Trevor Barbosa,Evan Cox,Leo Cox,21.0,10.0
open2,Expert 4.0-5.0,Pool,Dylan’s Exes,Apples,Jack Stinson,Quinn Hufler,Elle Lowe,Michael Liu,21.0,12.0
open2,Expert 4.0-5.0,Pool,Josh,Ben Squared,Josh Fragiacomo,Josh Cain,Bendix Heß,Benjamin Walker-Edwards,21.0,12.0
open2,Expert 4.0-5.0,Pool,Beach Bums,SC Dream Team,Ryan Leong,Sasha Mariniuk,Andrew Chestnut,,21.0,3.0
open2,Expert 4.0-5.0,Pool,Oswalt / Schrag,pure filth,Ryan Oswalt,Nathaniel Schrag,Nate Gauthier,Nathan Robertt,21.0,15.0
open2,Expert 4.0-5.0,Pool,Olympic Ski Jumpers,DEEZ NETS!!!,Tim Gaskin,Ron Arbel,Ragav Subramanian,Justin Silver,21.0,4.0
open2,Expert 4.0-5.0,Pool,Pai Sho,Yellow Fever,Jacob Payer,Ethan Zehr,Franz Castillo,Pio Clavecilla,24.0,25.0
open2,Expert 4.0-5.0,Pool,"See Ball, Whiff Ball",Ball Busters,Dylan Medveal,Matthew Waisner,Thompson Yang,Billy Durrill,21.0,13.0
