"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"prahalloween25","Expert","Pool","Bergman/Fowler","Get Lei’d 🌺","Neal Bergman","Kyle Fowler","Sam Bunze","Austin Niles",21,10
"prahalloween25","Expert","Pool","Martially Inclined","Gengar Goons","Jeremy Lee","Grant Marshall","Jack Walker","Jacob Narayan",20,21
"prahalloween25","Expert","Pool","KAB Honey Jar","Summertime Blues","Ben Savage","Peyton Stack","Justin Goldman","Hampton Chappell",21,15
"prahalloween25","Expert","Pool","Caufield/Gould","i’m tired of this grandpa","Joanna Gould","Sean Caufield","Bradley Clark","Noah Elconin",20,21
"prahalloween25","Expert","Pool","Clifford/Yancey","History Buff","Andrew Yancey","Paq Clifford","Blake Van Den Top","Ben Landes",21,11
"prahalloween25","Expert","Pool","Largemouth","Dumb n’ dumber","Harrison Baisden","Owen Bass","Sam Aven","Jose Knight",21,15
"prahalloween25","Expert","Pool","Bergman/Fowler","Gengar Goons","Neal Bergman","Kyle Fowler","Jack Walker","Jacob Narayan",21,5
"prahalloween25","Expert","Pool","Martially Inclined","Get Lei’d 🌺","Jeremy Lee","Grant Marshall","Sam Bunze","Austin Niles",21,15
"prahalloween25","Expert","Pool","KAB Honey Jar","i’m tired of this grandpa","Ben Savage","Peyton Stack","Bradley Clark","Noah Elconin",21,16
"prahalloween25","Expert","Pool","Caufield/Gould","Summertime Blues","Joanna Gould","Sean Caufield","Justin Goldman","Hampton Chappell",21,15
"prahalloween25","Expert","Pool","Clifford/Yancey","Dumb n’ dumber","Andrew Yancey","Paq Clifford","Sam Aven","Jose Knight",21,6
"prahalloween25","Expert","Pool","Largemouth","History Buff","Harrison Baisden","Owen Bass","Blake Van Den Top","Ben Landes",21,17
"prahalloween25","Expert","Pool","Bergman/Fowler","Martially Inclined","Neal Bergman","Kyle Fowler","Jeremy Lee","Grant Marshall",21,8
"prahalloween25","Expert","Pool","Gengar Goons","Get Lei’d 🌺","Jack Walker","Jacob Narayan","Sam Bunze","Austin Niles",21,17
"prahalloween25","Expert","Pool","KAB Honey Jar","Caufield/Gould","Ben Savage","Peyton Stack","Joanna Gould","Sean Caufield",21,13
"prahalloween25","Expert","Pool","i’m tired of this grandpa","Summertime Blues","Bradley Clark","Noah Elconin","Justin Goldman","Hampton Chappell",18,21
"prahalloween25","Expert","Pool","Clifford/Yancey","Largemouth","Andrew Yancey","Paq Clifford","Harrison Baisden","Owen Bass",21,9
"prahalloween25","Expert","Pool","Dumb n’ dumber","History Buff","Sam Aven","Jose Knight","Blake Van Den Top","Ben Landes",21,13
"prahalloween25","Expert","Round of 16","Gengar Goons","History Buff","Jack Walker","Jacob Narayan","Blake Van Den Top","Ben Landes",21,15
"prahalloween25","Expert","Round of 16","Gengar Goons","History Buff","Jack Walker","Jacob Narayan","Blake Van Den Top","Ben Landes",12,21
"prahalloween25","Expert","Round of 16","Gengar Goons","History Buff","Jack Walker","Jacob Narayan","Blake Van Den Top","Ben Landes",17,21
"prahalloween25","Expert","Round of 16","Caufield/Gould","Get Lei’d 🌺","Joanna Gould","Sean Caufield","Sam Bunze","Austin Niles",0,1
"prahalloween25","Expert","Round of 16","Caufield/Gould","Get Lei’d 🌺","Joanna Gould","Sean Caufield","Sam Bunze","Austin Niles",1,0
"prahalloween25","Expert","Round of 16","Caufield/Gould","Get Lei’d 🌺","Joanna Gould","Sean Caufield","Sam Bunze","Austin Niles",1,0
"prahalloween25","Expert","Round of 16","i’m tired of this grandpa","Dumb n’ dumber","Bradley Clark","Noah Elconin","Sam Aven","Jose Knight",11,21
"prahalloween25","Expert","Round of 16","i’m tired of this grandpa","Dumb n’ dumber","Bradley Clark","Noah Elconin","Sam Aven","Jose Knight",21,18
"prahalloween25","Expert","Round of 16","i’m tired of this grandpa","Dumb n’ dumber","Bradley Clark","Noah Elconin","Sam Aven","Jose Knight",19,21
"prahalloween25","Expert","Round of 16","Martially Inclined","Summertime Blues","Jeremy Lee","Grant Marshall","Justin Goldman","Hampton Chappell",21,17
"prahalloween25","Expert","Round of 16","Martially Inclined","Summertime Blues","Jeremy Lee","Grant Marshall","Justin Goldman","Hampton Chappell",21,18
"prahalloween25","Expert","Quarter-final","Bergman/Fowler","Martially Inclined","Neal Bergman","Kyle Fowler","Jeremy Lee","Grant Marshall",21,15
"prahalloween25","Expert","Quarter-final","Bergman/Fowler","Martially Inclined","Neal Bergman","Kyle Fowler","Jeremy Lee","Grant Marshall",21,12
"prahalloween25","Expert","Quarter-final","Clifford/Yancey","Dumb n’ dumber","Andrew Yancey","Paq Clifford","Sam Aven","Jose Knight",21,10
