"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"quebec sts 2024","5.0 - Premier + Élite Québec (avec NHZ)","Pool","Au Rossy","Goal Digger","Tyler Babin","Etienne Cote","Jean-sébastien Boutin","Marc-Antoine Boutin",21,12
"quebec sts 2024","5.0 - Premier + Élite Québec (avec NHZ)","Pool","TLMG","BRO LES BRAMPTONS","Anthony St-Martin","Thomas Déry","Joshua Hachey","Adam Hassan",17,21
"quebec sts 2024","5.0 - Premier + Élite Québec (avec NHZ)","Pool","Les Guenilles","Beauty and the Beast","Chris Brown","Vincent Mathieu","Thomas Langlois","William Chenier",21,11
"quebec sts 2024","5.0 - Premier + Élite Québec (avec NHZ)","Pool","Sippin Syrup","Quick Hands","Keaton Kirchner","Élie Pilon","Jordan Meredith","Joël Laliberté",21,19
"quebec sts 2024","5.0 - Premier + Élite Québec (avec NHZ)","Pool","Les goulaches","Groovy Goofies","Maxime Prince","Olivier Laurin","Guillaume Boilard","Samuel Poirier",21,10
"quebec sts 2024","5.0 - Premier + Élite Québec (avec NHZ)","Pool","G-Force","Lou-garou","Guillaume Bilodeau","Jé Gagnon","Chris Loubert","Nathan Goh",21,17
"quebec sts 2024","5.0 - Premier + Élite Québec (avec NHZ)","Pool","Shaytar/Abrams","VVW","Justin Shaytar","Dan Abrams","Vincent Lavoie","Luc Vincent Guay",22,20
"quebec sts 2024","5.0 - Premier + Élite Québec (avec NHZ)","Pool","No Pressure","Crotte de moineau","Alex Newton","Josh Hutko","William Garant","Xavier Lambert",22,23
"quebec sts 2024","5.0 - Premier + Élite Québec (avec NHZ)","Pool","Au Rossy","BRO LES BRAMPTONS","Tyler Babin","Etienne Cote","Joshua Hachey","Adam Hassan",21,19
"quebec sts 2024","5.0 - Premier + Élite Québec (avec NHZ)","Pool","TLMG","Goal Digger","Anthony St-Martin","Thomas Déry","Jean-sébastien Boutin","Marc-Antoine Boutin",21,6
