"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"raleighrumble","Expert","Pool","Simulmaxxing","Two Bodacious Latino Women","Jake Dooley","Kyle Fowler","Justin Kehoe","Sam Bunze",21,18
"raleighrumble","Expert","Pool","Jawn","Spike Bros","John Mankowich","John Buchanan","Chase Bremner","Cullen Bremner",21,16
"raleighrumble","Expert","Pool","Set Apart","Sonic Boom","Jacob Summers","Andrew Greer","Benjamin Bunze","Connor Harte",21,11
"raleighrumble","Expert","Pool","it happened once in a dream","Call(foot)ballers ","Bradley Clark","Cole Maddox","Austin Niles","Noah Kopetic",21,15
"raleighrumble","Expert","Pool","KAB Crumb","LeBrandon/LeStef","Paq Clifford","Peyton Stack","Stef Ding","Brandon Stokes",21,6
"raleighrumble","Expert","Pool","Aim Assist","KAB Sam/Polk","Jared Beaufait","Adam Porter","Sam Aven","Polk Denmark",7,21
"raleighrumble","Expert","Pool","Simulmaxxing","Spike Bros","Jake Dooley","Kyle Fowler","Chase Bremner","Cullen Bremner",21,14
"raleighrumble","Expert","Pool","Brenna’s Mom","Two Bodacious Latino Women","Kurt Lannetti","Eli Canon","Justin Kehoe","Sam Bunze",21,14
"raleighrumble","Expert","Pool","Set Apart","Call(foot)ballers ","Jacob Summers","Andrew Greer","Austin Niles","Noah Kopetic",21,19
"raleighrumble","Expert","Pool","Voodoo","Sonic Boom","Diego Lopez","Drew Ryder","Benjamin Bunze","Connor Harte",21,9
"raleighrumble","Expert","Pool","KAB Crumb","KAB Sam/Polk","Paq Clifford","Peyton Stack","Sam Aven","Polk Denmark",25,23
"raleighrumble","Expert","Pool","Doozy Does It","LeBrandon/LeStef","Sean Caufield","Spencer Sexton","Stef Ding","Brandon Stokes",21,14
"raleighrumble","Expert","Pool","Simulmaxxing","Brenna’s Mom","Jake Dooley","Kyle Fowler","Kurt Lannetti","Eli Canon",21,17
"raleighrumble","Expert","Pool","Jawn","Two Bodacious Latino Women","John Mankowich","John Buchanan","Justin Kehoe","Sam Bunze",21,14
"raleighrumble","Expert","Pool","Set Apart","Voodoo","Jacob Summers","Andrew Greer","Diego Lopez","Drew Ryder",21,19
"raleighrumble","Expert","Pool","it happened once in a dream","Sonic Boom","Bradley Clark","Cole Maddox","Benjamin Bunze","Connor Harte",21,10
"raleighrumble","Expert","Pool","KAB Crumb","Doozy Does It","Paq Clifford","Peyton Stack","Sean Caufield","Spencer Sexton",21,14
"raleighrumble","Expert","Pool","Aim Assist","LeBrandon/LeStef","Jared Beaufait","Adam Porter","Stef Ding","Brandon Stokes",21,10
"raleighrumble","Expert","Pool","Jawn","Brenna’s Mom","John Mankowich","John Buchanan","Kurt Lannetti","Eli Canon",22,20
"raleighrumble","Expert","Pool","Spike Bros","Two Bodacious Latino Women","Chase Bremner","Cullen Bremner","Justin Kehoe","Sam Bunze",21,13
"raleighrumble","Expert","Pool","it happened once in a dream","Voodoo","Bradley Clark","Cole Maddox","Diego Lopez","Drew Ryder",18,21
"raleighrumble","Expert","Pool","Call(foot)ballers ","Sonic Boom","Austin Niles","Noah Kopetic","Benjamin Bunze","Connor Harte",21,17
"raleighrumble","Expert","Pool","Aim Assist","Doozy Does It","Jared Beaufait","Adam Porter","Sean Caufield","Spencer Sexton",20,22
"raleighrumble","Expert","Pool","KAB Sam/Polk","LeBrandon/LeStef","Sam Aven","Polk Denmark","Stef Ding","Brandon Stokes",21,14
"raleighrumble","Expert","Pool","Simulmaxxing","Jawn","Jake Dooley","Kyle Fowler","John Mankowich","John Buchanan",21,12
"raleighrumble","Expert","Pool","Brenna’s Mom","Spike Bros","Kurt Lannetti","Eli Canon","Chase Bremner","Cullen Bremner",21,13
"raleighrumble","Expert","Pool","Set Apart","it happened once in a dream","Jacob Summers","Andrew Greer","Bradley Clark","Cole Maddox",21,16
"raleighrumble","Expert","Pool","Voodoo","Call(foot)ballers ","Diego Lopez","Drew Ryder","Austin Niles","Noah Kopetic",21,14
"raleighrumble","Expert","Pool","KAB Crumb","Aim Assist","Paq Clifford","Peyton Stack","Jared Beaufait","Adam Porter",21,14
"raleighrumble","Expert","Pool","Doozy Does It","KAB Sam/Polk","Sean Caufield","Spencer Sexton","Sam Aven","Polk Denmark",21,17
"raleighrumble","Expert","Round of 16","Simulmaxxing","LeBrandon/LeStef","Jake Dooley","Kyle Fowler","Stef Ding","Brandon Stokes",21,6
"raleighrumble","Expert","Round of 16","Simulmaxxing","LeBrandon/LeStef","Jake Dooley","Kyle Fowler","Stef Ding","Brandon Stokes",21,10
"raleighrumble","Expert","Round of 16","Set Apart","Sonic Boom","Jacob Summers","Andrew Greer","Benjamin Bunze","Connor Harte",1,0
