"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"raliegh2024","Premier 5.0+","Pool","Tilted","T.Y.B","Will Picone","Justin Barr","Brandon Stokes","Dalton Gilder",21,11
"raliegh2024","Premier 5.0+","Pool","Venusaur","Hospital Scene","Samuel Corey","Kurt Lannetti","Dustin Grant","Nic Albornoz",16,21
"raliegh2024","Premier 5.0+","Pool","Dizzy","Last Supper","Josh Hutko","David Rowlands","Liam Sherron","Brian Perlson",21,11
"raliegh2024","Premier 5.0+","Pool","V⚡️RGA","Gauntlet","Caleb Cummings","Dawson Morgan","Nathan Montgomery","Will Eckard",21,9
"raliegh2024","Premier 5.0+","Pool","Party Fowl","GFD Gas","Kyle Fowler","Cole Maddox","Daniel Patten","Zak Kovatch",21,15
"raliegh2024","Premier 5.0+","Pool","LL Handsy","Zootied","Matt Spolarich","Jake Mottershead","Nate KT","Sean Brown",21,10
"raliegh2024","Premier 5.0+","Pool","Evasive Boost","Chip Gravitation ","Jenson Miller","Kieran Rose","Maxwell Riseman","Ethan Ferland",21,8
"raliegh2024","Premier 5.0+","Pool","Boogie Woogie","BB Gun Pew Pew","Adam Porter","Ben Savage","Bradley Clark","Braedan Thomas",21,14
"raliegh2024","Premier 5.0+","Pool","Get Gaped","Brock Lesnar","Nick Evanko","Tim Lacagnina","Caleb Brock","James Mitchum",21,11
"raliegh2024","Premier 5.0+","Pool","Waffle House","Chen/Timonere","Stephen Jones","Owen Lippman","Brandon Timonere","Kevin Chen",21,19
"raliegh2024","Premier 5.0+","Pool","Shorter & Taller","Shockwave","Caleb Shorter","Andrew Sullivan","John Buchanan","Sam Bunze",21,14
"raliegh2024","Premier 5.0+","Pool","Disordered","Knull","Solomon Berry","Andrew Greer","Chase Meyer","Dax Andrew O'Hair",18,21
"raliegh2024","Premier 5.0+","Pool","Glizzy Gladiators","Pecan Pralines","Jacob Summers","Polk Denmark","Jackson Wood","Aleks Essen",21,11
"raliegh2024","Premier 5.0+","Pool","Degenerates","PBR Vengeance","Thomas Hoffman","Jack coolbaugh","Jacob Arzaga","Garrett Blanchard",21,15
