"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"richmond2024","Open Pro 5.0+","Pool","Insystem","RKO","Etienne Cote","Blake Bosak","Nathan Robertt","Bryant Karratti",21,14
"richmond2024","Open Pro 5.0+","Pool","Nimrod","Extra","Christian Bennett","Gabriel Finocchi","Jé Gagnon","Emerson Dean",22,20
"richmond2024","Open Pro 5.0+","Pool","Numb","Shaytar/Wideman","Kieran Rose","Paq Clifford","Nick Wideman","Justin Shaytar",21,17
"richmond2024","Open Pro 5.0+","Pool","Pirga","Glizzy Gladiators","Jack coolbaugh","Caleb Cummings","Jacob Summers","Polk Denmark",21,18
"richmond2024","Open Pro 5.0+","Pool","Bad Combo","ORTHODOX","Rahul Murthy","Will Picone","Jack Bushart","Clifford Amadeo LeVeque",21,10
"richmond2024","Open Pro 5.0+","Pool","TRP Spotless","Aftermath","Ryan Gross","Joe Bondi","Kyle Fowler","Thomas Hoffman",21,12
"richmond2024","Open Pro 5.0+","Pool","Sparky Sparky Boom Men","Bot House","Sunny Gu","Connor Nelson","West Peterson","Owen Lippman",17,21
"richmond2024","Open Pro 5.0+","Pool","Cold Sweep","Swiss Cheese Defense","Vincent Mathieu","Maxime Prince","Tyler Fernandez","Lucas Pruett",21,13
"richmond2024","Open Pro 5.0+","Pool","Insystem","Extra","Etienne Cote","Blake Bosak","Jé Gagnon","Emerson Dean",19,21
"richmond2024","Open Pro 5.0+","Pool","Nimrod","RKO","Christian Bennett","Gabriel Finocchi","Nathan Robertt","Bryant Karratti",21,9
"richmond2024","Open Pro 5.0+","Pool","Numb","Glizzy Gladiators","Kieran Rose","Paq Clifford","Jacob Summers","Polk Denmark",21,9
"richmond2024","Open Pro 5.0+","Pool","Pirga","Shaytar/Wideman","Jack coolbaugh","Caleb Cummings","Nick Wideman","Justin Shaytar",21,19
"richmond2024","Open Pro 5.0+","Pool","Bad Combo","Aftermath","Rahul Murthy","Will Picone","Kyle Fowler","Thomas Hoffman",21,19
"richmond2024","Open Pro 5.0+","Pool","TRP Spotless","ORTHODOX","Ryan Gross","Joe Bondi","Jack Bushart","Clifford Amadeo LeVeque",21,19
"richmond2024","Open Pro 5.0+","Pool","Sparky Sparky Boom Men","Swiss Cheese Defense","Sunny Gu","Connor Nelson","Tyler Fernandez","Lucas Pruett",19,21
"richmond2024","Open Pro 5.0+","Pool","Cold Sweep","Bot House","Vincent Mathieu","Maxime Prince","West Peterson","Owen Lippman",19,21
"richmond2024","Open Pro 5.0+","Pool","Insystem","Nimrod","Etienne Cote","Blake Bosak","Christian Bennett","Gabriel Finocchi",21,19
"richmond2024","Open Pro 5.0+","Pool","Extra","RKO","Jé Gagnon","Emerson Dean","Nathan Robertt","Bryant Karratti",21,14
"richmond2024","Open Pro 5.0+","Pool","Numb","Pirga","Kieran Rose","Paq Clifford","Jack coolbaugh","Caleb Cummings",21,14
"richmond2024","Open Pro 5.0+","Pool","Glizzy Gladiators","Shaytar/Wideman","Jacob Summers","Polk Denmark","Nick Wideman","Justin Shaytar",19,21
"richmond2024","Open Pro 5.0+","Pool","Bad Combo","TRP Spotless","Rahul Murthy","Will Picone","Ryan Gross","Joe Bondi",21,10
"richmond2024","Open Pro 5.0+","Pool","Aftermath","ORTHODOX","Kyle Fowler","Thomas Hoffman","Jack Bushart","Clifford Amadeo LeVeque",18,21
"richmond2024","Open Pro 5.0+","Pool","Sparky Sparky Boom Men","Cold Sweep","Sunny Gu","Connor Nelson","Vincent Mathieu","Maxime Prince",21,12
"richmond2024","Open Pro 5.0+","Pool","Swiss Cheese Defense","Bot House","Tyler Fernandez","Lucas Pruett","West Peterson","Owen Lippman",23,21
"richmond2024","Open Pro 5.0+","Pool","Insystem","RKO","Etienne Cote","Blake Bosak","Nathan Robertt","Bryant Karratti",21,18
"richmond2024","Open Pro 5.0+","Pool","Nimrod","Extra","Christian Bennett","Gabriel Finocchi","Jé Gagnon","Emerson Dean",13,21
"richmond2024","Open Pro 5.0+","Pool","Numb","Shaytar/Wideman","Kieran Rose","Paq Clifford","Nick Wideman","Justin Shaytar",22,20
"richmond2024","Open Pro 5.0+","Pool","Pirga","Glizzy Gladiators","Jack coolbaugh","Caleb Cummings","Jacob Summers","Polk Denmark",17,21
"richmond2024","Open Pro 5.0+","Pool","Bad Combo","ORTHODOX","Rahul Murthy","Will Picone","Jack Bushart","Clifford Amadeo LeVeque",21,9
"richmond2024","Open Pro 5.0+","Pool","TRP Spotless","Aftermath","Ryan Gross","Joe Bondi","Kyle Fowler","Thomas Hoffman",17,21
"richmond2024","Open Pro 5.0+","Pool","Sparky Sparky Boom Men","Bot House","Sunny Gu","Connor Nelson","West Peterson","Owen Lippman",18,21
"richmond2024","Open Pro 5.0+","Pool","Cold Sweep","Swiss Cheese Defense","Vincent Mathieu","Maxime Prince","Tyler Fernandez","Lucas Pruett",23,21
"richmond2024","Open Pro 5.0+","Pool","Insystem","Extra","Etienne Cote","Blake Bosak","Jé Gagnon","Emerson Dean",21,14
"richmond2024","Open Pro 5.0+","Pool","Nimrod","RKO","Christian Bennett","Gabriel Finocchi","Nathan Robertt","Bryant Karratti",21,13
"richmond2024","Open Pro 5.0+","Pool","Numb","Glizzy Gladiators","Kieran Rose","Paq Clifford","Jacob Summers","Polk Denmark",19,21
"richmond2024","Open Pro 5.0+","Pool","Pirga","Shaytar/Wideman","Jack coolbaugh","Caleb Cummings","Nick Wideman","Justin Shaytar",20,22
"richmond2024","Open Pro 5.0+","Pool","Bad Combo","Aftermath","Rahul Murthy","Will Picone","Kyle Fowler","Thomas Hoffman",24,22
"richmond2024","Open Pro 5.0+","Pool","TRP Spotless","ORTHODOX","Ryan Gross","Joe Bondi","Jack Bushart","Clifford Amadeo LeVeque",21,15
"richmond2024","Open Pro 5.0+","Pool","Sparky Sparky Boom Men","Swiss Cheese Defense","Sunny Gu","Connor Nelson","Tyler Fernandez","Lucas Pruett",21,14
"richmond2024","Open Pro 5.0+","Pool","Cold Sweep","Bot House","Vincent Mathieu","Maxime Prince","West Peterson","Owen Lippman",21,11
"richmond2024","Open Pro 5.0+","Pool","Insystem","Nimrod","Etienne Cote","Blake Bosak","Christian Bennett","Gabriel Finocchi",24,25
"richmond2024","Open Pro 5.0+","Pool","Extra","RKO","Jé Gagnon","Emerson Dean","Nathan Robertt","Bryant Karratti",21,12
"richmond2024","Open Pro 5.0+","Pool","Numb","Pirga","Kieran Rose","Paq Clifford","Jack coolbaugh","Caleb Cummings",19,21
"richmond2024","Open Pro 5.0+","Pool","Glizzy Gladiators","Shaytar/Wideman","Jacob Summers","Polk Denmark","Nick Wideman","Justin Shaytar",21,23
"richmond2024","Open Pro 5.0+","Pool","Bad Combo","TRP Spotless","Rahul Murthy","Will Picone","Ryan Gross","Joe Bondi",21,10
"richmond2024","Open Pro 5.0+","Pool","Aftermath","ORTHODOX","Kyle Fowler","Thomas Hoffman","Jack Bushart","Clifford Amadeo LeVeque",17,21
"richmond2024","Open Pro 5.0+","Pool","Sparky Sparky Boom Men","Cold Sweep","Sunny Gu","Connor Nelson","Vincent Mathieu","Maxime Prince",21,23
"richmond2024","Open Pro 5.0+","Pool","Swiss Cheese Defense","Bot House","Tyler Fernandez","Lucas Pruett","West Peterson","Owen Lippman",22,24
"richmond2024","Open Pro 5.0+","Round of 16","Bad Combo","RKO","Rahul Murthy","Will Picone","Nathan Robertt","Bryant Karratti",21,16
"richmond2024","Open Pro 5.0+","Round of 16","Bad Combo","RKO","Rahul Murthy","Will Picone","Nathan Robertt","Bryant Karratti",21,13
"richmond2024","Open Pro 5.0+","Round of 16","Numb","Aftermath","Kieran Rose","Paq Clifford","Kyle Fowler","Thomas Hoffman",25,23
"richmond2024","Open Pro 5.0+","Round of 16","Numb","Aftermath","Kieran Rose","Paq Clifford","Kyle Fowler","Thomas Hoffman",19,21
"richmond2024","Open Pro 5.0+","Round of 16","Numb","Aftermath","Kieran Rose","Paq Clifford","Kyle Fowler","Thomas Hoffman",21,18
"richmond2024","Open Pro 5.0+","Round of 16","Extra","ORTHODOX","Jé Gagnon","Emerson Dean","Jack Bushart","Clifford Amadeo LeVeque",21,15
"richmond2024","Open Pro 5.0+","Round of 16","Extra","ORTHODOX","Jé Gagnon","Emerson Dean","Jack Bushart","Clifford Amadeo LeVeque",21,18
"richmond2024","Open Pro 5.0+","Round of 16","Insystem","Swiss Cheese Defense","Etienne Cote","Blake Bosak","Tyler Fernandez","Lucas Pruett",21,15
"richmond2024","Open Pro 5.0+","Round of 16","Insystem","Swiss Cheese Defense","Etienne Cote","Blake Bosak","Tyler Fernandez","Lucas Pruett",21,17
