"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"saltlakecity2024","Open Pro 5.0+","Pool","Numb","Bang Bros Inc.","Paq Clifford","Kieran Rose","Kyle Fowler","Adam Porter",15,9
"saltlakecity2024","Open Pro 5.0+","Pool","foolish","On the Nose","Sunny Gu","Lucas Pruett","Justin Barr","Dan Abrams",11,15
"saltlakecity2024","Open Pro 5.0+","Pool","Kingdom Come","Incognito","Grant Klapwijk","Matthew Cole","Joseph Kaylor","Michael Du",15,6
"saltlakecity2024","Open Pro 5.0+","Pool","Extra","Degenerates","Emerson Dean","Jé Gagnon","Thomas Hoffman","Jack coolbaugh",15,10
"saltlakecity2024","Open Pro 5.0+","Pool","J.A.R.V.I.S.","minus aura","Josh Fragiacomo","Connor Nelson","Nathan Robertt","Josh Hutko",15,8
"saltlakecity2024","Open Pro 5.0+","Pool","Double Clutch","hotballers","Rahul Murthy","fredric hinkle","Tyler Babin","Joshua Hachey",15,8
"saltlakecity2024","Open Pro 5.0+","Pool","V⚡️RGA","Shaytar/Wideman","Caleb Cummings","Dawson Morgan","Justin Shaytar","Nick Wideman",15,12
"saltlakecity2024","Open Pro 5.0+","Pool","Bot House","FTR Frontier","West Peterson","Owen Lippman","Jake Woolley","Kyan Kornfeld",17,15
"saltlakecity2024","Open Pro 5.0+","Pool","Numb","On the Nose","Paq Clifford","Kieran Rose","Justin Barr","Dan Abrams",15,9
"saltlakecity2024","Open Pro 5.0+","Pool","foolish","Bang Bros Inc.","Sunny Gu","Lucas Pruett","Kyle Fowler","Adam Porter",14,16
"saltlakecity2024","Open Pro 5.0+","Pool","Kingdom Come","Degenerates","Grant Klapwijk","Matthew Cole","Thomas Hoffman","Jack coolbaugh",15,8
"saltlakecity2024","Open Pro 5.0+","Pool","Extra","Incognito","Emerson Dean","Jé Gagnon","Joseph Kaylor","Michael Du",15,6
"saltlakecity2024","Open Pro 5.0+","Pool","J.A.R.V.I.S.","hotballers","Josh Fragiacomo","Connor Nelson","Tyler Babin","Joshua Hachey",15,11
"saltlakecity2024","Open Pro 5.0+","Pool","Double Clutch","minus aura","Rahul Murthy","fredric hinkle","Nathan Robertt","Josh Hutko",15,9
"saltlakecity2024","Open Pro 5.0+","Pool","V⚡️RGA","FTR Frontier","Caleb Cummings","Dawson Morgan","Jake Woolley","Kyan Kornfeld",15,11
"saltlakecity2024","Open Pro 5.0+","Pool","Bot House","Shaytar/Wideman","West Peterson","Owen Lippman","Justin Shaytar","Nick Wideman",13,15
"saltlakecity2024","Open Pro 5.0+","Pool","Numb","foolish","Paq Clifford","Kieran Rose","Sunny Gu","Lucas Pruett",15,12
"saltlakecity2024","Open Pro 5.0+","Pool","On the Nose","Bang Bros Inc.","Justin Barr","Dan Abrams","Kyle Fowler","Adam Porter",16,14
"saltlakecity2024","Open Pro 5.0+","Pool","Kingdom Come","Extra","Grant Klapwijk","Matthew Cole","Emerson Dean","Jé Gagnon",17,15
"saltlakecity2024","Open Pro 5.0+","Pool","Degenerates","Incognito","Thomas Hoffman","Jack coolbaugh","Joseph Kaylor","Michael Du",6,15
"saltlakecity2024","Open Pro 5.0+","Pool","J.A.R.V.I.S.","Double Clutch","Josh Fragiacomo","Connor Nelson","Rahul Murthy","fredric hinkle",15,9
"saltlakecity2024","Open Pro 5.0+","Pool","hotballers","minus aura","Tyler Babin","Joshua Hachey","Nathan Robertt","Josh Hutko",15,13
"saltlakecity2024","Open Pro 5.0+","Pool","V⚡️RGA","Bot House","Caleb Cummings","Dawson Morgan","West Peterson","Owen Lippman",15,11
"saltlakecity2024","Open Pro 5.0+","Pool","FTR Frontier","Shaytar/Wideman","Jake Woolley","Kyan Kornfeld","Justin Shaytar","Nick Wideman",15,13
"saltlakecity2024","Open Pro 5.0+","Pool","Numb","Bang Bros Inc.","Paq Clifford","Kieran Rose","Kyle Fowler","Adam Porter",15,12
"saltlakecity2024","Open Pro 5.0+","Pool","foolish","On the Nose","Sunny Gu","Lucas Pruett","Justin Barr","Dan Abrams",15,12
"saltlakecity2024","Open Pro 5.0+","Pool","Kingdom Come","Incognito","Grant Klapwijk","Matthew Cole","Joseph Kaylor","Michael Du",15,5
"saltlakecity2024","Open Pro 5.0+","Pool","Extra","Degenerates","Emerson Dean","Jé Gagnon","Thomas Hoffman","Jack coolbaugh",15,11
"saltlakecity2024","Open Pro 5.0+","Pool","J.A.R.V.I.S.","minus aura","Josh Fragiacomo","Connor Nelson","Nathan Robertt","Josh Hutko",15,13
"saltlakecity2024","Open Pro 5.0+","Pool","Double Clutch","hotballers","Rahul Murthy","fredric hinkle","Tyler Babin","Joshua Hachey",15,9
"saltlakecity2024","Open Pro 5.0+","Pool","V⚡️RGA","Shaytar/Wideman","Caleb Cummings","Dawson Morgan","Justin Shaytar","Nick Wideman",15,9
"saltlakecity2024","Open Pro 5.0+","Pool","Bot House","FTR Frontier","West Peterson","Owen Lippman","Jake Woolley","Kyan Kornfeld",12,15
"saltlakecity2024","Open Pro 5.0+","Pool","Numb","On the Nose","Paq Clifford","Kieran Rose","Justin Barr","Dan Abrams",14,16
"saltlakecity2024","Open Pro 5.0+","Pool","foolish","Bang Bros Inc.","Sunny Gu","Lucas Pruett","Kyle Fowler","Adam Porter",13,15
"saltlakecity2024","Open Pro 5.0+","Pool","Kingdom Come","Degenerates","Grant Klapwijk","Matthew Cole","Thomas Hoffman","Jack coolbaugh",16,18
"saltlakecity2024","Open Pro 5.0+","Pool","Extra","Incognito","Emerson Dean","Jé Gagnon","Joseph Kaylor","Michael Du",15,8
"saltlakecity2024","Open Pro 5.0+","Pool","J.A.R.V.I.S.","hotballers","Josh Fragiacomo","Connor Nelson","Tyler Babin","Joshua Hachey",15,9
"saltlakecity2024","Open Pro 5.0+","Pool","Double Clutch","minus aura","Rahul Murthy","fredric hinkle","Nathan Robertt","Josh Hutko",20,18
"saltlakecity2024","Open Pro 5.0+","Pool","V⚡️RGA","FTR Frontier","Caleb Cummings","Dawson Morgan","Jake Woolley","Kyan Kornfeld",15,9
"saltlakecity2024","Open Pro 5.0+","Pool","Bot House","Shaytar/Wideman","West Peterson","Owen Lippman","Justin Shaytar","Nick Wideman",17,15
"saltlakecity2024","Open Pro 5.0+","Pool","Numb","foolish","Paq Clifford","Kieran Rose","Sunny Gu","Lucas Pruett",15,12
"saltlakecity2024","Open Pro 5.0+","Pool","On the Nose","Bang Bros Inc.","Justin Barr","Dan Abrams","Kyle Fowler","Adam Porter",15,12
"saltlakecity2024","Open Pro 5.0+","Pool","Kingdom Come","Extra","Grant Klapwijk","Matthew Cole","Emerson Dean","Jé Gagnon",15,13
"saltlakecity2024","Open Pro 5.0+","Pool","Degenerates","Incognito","Thomas Hoffman","Jack coolbaugh","Joseph Kaylor","Michael Du",7,15
"saltlakecity2024","Open Pro 5.0+","Pool","J.A.R.V.I.S.","Double Clutch","Josh Fragiacomo","Connor Nelson","Rahul Murthy","fredric hinkle",15,8
"saltlakecity2024","Open Pro 5.0+","Pool","hotballers","minus aura","Tyler Babin","Joshua Hachey","Nathan Robertt","Josh Hutko",12,15
"saltlakecity2024","Open Pro 5.0+","Pool","V⚡️RGA","Bot House","Caleb Cummings","Dawson Morgan","West Peterson","Owen Lippman",10,15
"saltlakecity2024","Open Pro 5.0+","Pool","FTR Frontier","Shaytar/Wideman","Jake Woolley","Kyan Kornfeld","Justin Shaytar","Nick Wideman",13,15
"saltlakecity2024","Open Pro 5.0+","Round of 16","J.A.R.V.I.S.","Degenerates","Josh Fragiacomo","Connor Nelson","Thomas Hoffman","Jack coolbaugh",21,10
"saltlakecity2024","Open Pro 5.0+","Round of 16","J.A.R.V.I.S.","Degenerates","Josh Fragiacomo","Connor Nelson","Thomas Hoffman","Jack coolbaugh",14,21
"saltlakecity2024","Open Pro 5.0+","Round of 16","J.A.R.V.I.S.","Degenerates","Josh Fragiacomo","Connor Nelson","Thomas Hoffman","Jack coolbaugh",21,11
"saltlakecity2024","Open Pro 5.0+","Round of 16","Kingdom Come","hotballers","Grant Klapwijk","Matthew Cole","Tyler Babin","Joshua Hachey",21,12
"saltlakecity2024","Open Pro 5.0+","Round of 16","Kingdom Come","hotballers","Grant Klapwijk","Matthew Cole","Tyler Babin","Joshua Hachey",21,17
"saltlakecity2024","Open Pro 5.0+","Round of 16","Numb","minus aura","Paq Clifford","Kieran Rose","Nathan Robertt","Josh Hutko",21,12
"saltlakecity2024","Open Pro 5.0+","Round of 16","Numb","minus aura","Paq Clifford","Kieran Rose","Nathan Robertt","Josh Hutko",21,16
"saltlakecity2024","Open Pro 5.0+","Round of 16","V⚡️RGA","foolish","Caleb Cummings","Dawson Morgan","Sunny Gu","Lucas Pruett",25,23
"saltlakecity2024","Open Pro 5.0+","Round of 16","V⚡️RGA","foolish","Caleb Cummings","Dawson Morgan","Sunny Gu","Lucas Pruett",21,15
"saltlakecity2024","Open Pro 5.0+","Round of 16","Extra","Incognito","Emerson Dean","Jé Gagnon","Joseph Kaylor","Michael Du",21,11
"saltlakecity2024","Open Pro 5.0+","Round of 16","Extra","Incognito","Emerson Dean","Jé Gagnon","Joseph Kaylor","Michael Du",21,17
"saltlakecity2024","Open Pro 5.0+","Round of 16","Double Clutch","Bang Bros Inc.","Rahul Murthy","fredric hinkle","Kyle Fowler","Adam Porter",21,19
"saltlakecity2024","Open Pro 5.0+","Round of 16","Double Clutch","Bang Bros Inc.","Rahul Murthy","fredric hinkle","Kyle Fowler","Adam Porter",21,17
"saltlakecity2024","Open Pro 5.0+","Round of 16","On the Nose","Shaytar/Wideman","Justin Barr","Dan Abrams","Justin Shaytar","Nick Wideman",19,21
"saltlakecity2024","Open Pro 5.0+","Round of 16","On the Nose","Shaytar/Wideman","Justin Barr","Dan Abrams","Justin Shaytar","Nick Wideman",21,17
"saltlakecity2024","Open Pro 5.0+","Round of 16","On the Nose","Shaytar/Wideman","Justin Barr","Dan Abrams","Justin Shaytar","Nick Wideman",21,19
"saltlakecity2024","Open Pro 5.0+","Round of 16","Bot House","FTR Frontier","West Peterson","Owen Lippman","Jake Woolley","Kyan Kornfeld",21,12
"saltlakecity2024","Open Pro 5.0+","Round of 16","Bot House","FTR Frontier","West Peterson","Owen Lippman","Jake Woolley","Kyan Kornfeld",21,18
"saltlakecity2024","Open Pro 5.0+","Quarter-final","J.A.R.V.I.S.","Bot House","Josh Fragiacomo","Connor Nelson","West Peterson","Owen Lippman",14,21
"saltlakecity2024","Open Pro 5.0+","Quarter-final","J.A.R.V.I.S.","Bot House","Josh Fragiacomo","Connor Nelson","West Peterson","Owen Lippman",21,12
"saltlakecity2024","Open Pro 5.0+","Quarter-final","J.A.R.V.I.S.","Bot House","Josh Fragiacomo","Connor Nelson","West Peterson","Owen Lippman",21,19
"saltlakecity2024","Open Pro 5.0+","Quarter-final","Kingdom Come","On the Nose","Grant Klapwijk","Matthew Cole","Justin Barr","Dan Abrams",24,22
"saltlakecity2024","Open Pro 5.0+","Quarter-final","Kingdom Come","On the Nose","Grant Klapwijk","Matthew Cole","Justin Barr","Dan Abrams",29,27
"saltlakecity2024","Open Pro 5.0+","Quarter-final","Numb","Double Clutch","Paq Clifford","Kieran Rose","Rahul Murthy","fredric hinkle",20,22
"saltlakecity2024","Open Pro 5.0+","Quarter-final","Numb","Double Clutch","Paq Clifford","Kieran Rose","Rahul Murthy","fredric hinkle",21,16
"saltlakecity2024","Open Pro 5.0+","Quarter-final","Numb","Double Clutch","Paq Clifford","Kieran Rose","Rahul Murthy","fredric hinkle",21,13
"saltlakecity2024","Open Pro 5.0+","Quarter-final","V⚡️RGA","Extra","Caleb Cummings","Dawson Morgan","Emerson Dean","Jé Gagnon",19,21
"saltlakecity2024","Open Pro 5.0+","Quarter-final","V⚡️RGA","Extra","Caleb Cummings","Dawson Morgan","Emerson Dean","Jé Gagnon",13,21
"saltlakecity2024","Open Pro 5.0+","P9: Quarter-final","FTR Frontier","Degenerates","Jake Woolley","Kyan Kornfeld","Thomas Hoffman","Jack coolbaugh",0,1
"saltlakecity2024","Open Pro 5.0+","P9: Quarter-final","Shaytar/Wideman","hotballers","Justin Shaytar","Nick Wideman","Tyler Babin","Joshua Hachey",19,21
"saltlakecity2024","Open Pro 5.0+","P9: Quarter-final","Bang Bros Inc.","minus aura","Kyle Fowler","Adam Porter","Nathan Robertt","Josh Hutko",-1,0
"saltlakecity2024","Open Pro 5.0+","P9: Quarter-final","Incognito","foolish","Joseph Kaylor","Michael Du","Sunny Gu","Lucas Pruett",18,21
"saltlakecity2024","Open Pro 5.0+","Semi-final","J.A.R.V.I.S.","Extra","Josh Fragiacomo","Connor Nelson","Emerson Dean","Jé Gagnon",19,21
"saltlakecity2024","Open Pro 5.0+","Semi-final","J.A.R.V.I.S.","Extra","Josh Fragiacomo","Connor Nelson","Emerson Dean","Jé Gagnon",16,21
"saltlakecity2024","Open Pro 5.0+","Semi-final","Kingdom Come","Numb","Grant Klapwijk","Matthew Cole","Paq Clifford","Kieran Rose",21,18
"saltlakecity2024","Open Pro 5.0+","Semi-final","Kingdom Come","Numb","Grant Klapwijk","Matthew Cole","Paq Clifford","Kieran Rose",21,14
"saltlakecity2024","Open Pro 5.0+","P5: Semi-final","V⚡️RGA","Bot House","Caleb Cummings","Dawson Morgan","West Peterson","Owen Lippman",17,15
"saltlakecity2024","Open Pro 5.0+","P5: Semi-final","Double Clutch","On the Nose","Rahul Murthy","fredric hinkle","Justin Barr","Dan Abrams",19,21
"saltlakecity2024","Open Pro 5.0+","P9: Semi-final","Degenerates","foolish","Thomas Hoffman","Jack coolbaugh","Sunny Gu","Lucas Pruett",1,0
"saltlakecity2024","Open Pro 5.0+","P9: Semi-final","hotballers","minus aura","Tyler Babin","Joshua Hachey","Nathan Robertt","Josh Hutko",1,0
"saltlakecity2024","Open Pro 5.0+","Final","Extra","Kingdom Come","Emerson Dean","Jé Gagnon","Grant Klapwijk","Matthew Cole",24,22
"saltlakecity2024","Open Pro 5.0+","Final","Extra","Kingdom Come","Emerson Dean","Jé Gagnon","Grant Klapwijk","Matthew Cole",21,13
"saltlakecity2024","Open Pro 5.0+","P3: Final","Numb","J.A.R.V.I.S.","Paq Clifford","Kieran Rose","Josh Fragiacomo","Connor Nelson",-2,0
"saltlakecity2024","Open Pro 5.0+","P3: Final","Numb","J.A.R.V.I.S.","Paq Clifford","Kieran Rose","Josh Fragiacomo","Connor Nelson",-2,0
"saltlakecity2024","Open Pro 5.0+","P9: Final","Degenerates","hotballers","Thomas Hoffman","Jack coolbaugh","Tyler Babin","Joshua Hachey",21,16
"saltlakecity2024","Women's Advanced 4.0+","Pool","Pierson/Phan","Semi-Aquatic Mammals of Action","Katheleen Phan","Katie Pierson","Joelle Nguyen","Jhanaj Quispe",21,19
"saltlakecity2024","Women's Advanced 4.0+","Pool","KickStart","THUS Parabatai","Sarah Allen","Karah Hui","Kayla Wu","Kalin Morgan",25,24
"saltlakecity2024","Women's Advanced 4.0+","Pool","Dough Boys","kara & chloe","Kirstie Savage","Camille Anderson","chloe degraff","kara klavins",21,10
"saltlakecity2024","Women's Advanced 4.0+","Pool","Berk/Gahley","WA-ID","Nicol Gahley","Shaina Berk","Maia Aton","Lindy Westendorf",21,15
"saltlakecity2024","Women's Advanced 4.0+","Pool","Carry Set","The Tolpin Queens","Malia Wanderer","Abigale Lamontagne","Karaline Tolpin","Megan Tolpin",21,5
