"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"seattle-usar-25","Premier (5.0+)","Pool","But, My Bag is Deeper","Unbreakable","Connor Nelson","Noah Saddik","Carlin Vicera","Jason Fevang",21,13
"seattle-usar-25","Premier (5.0+)","Pool","Last Minute Lockdown","Dog Eaters Roundnet","Eddy Leung","Kayla Wu-Fleming","Dallin James","Jason Small",21,16
"seattle-usar-25","Premier (5.0+)","Pool","spot on","Solomon’s Biggest Haters 😈","Will Ries","Nick Wideman","Nicolas Caballero","Nolan Wynkoop",15,9
"seattle-usar-25","Premier (5.0+)","Pool","slam shredders","Oregon Transplants","Conner Bradshaw","Jordan Freitas","Trey Thompson","Ryan Slaughter",20,21
"seattle-usar-25","Premier (5.0+)","Pool","But, My Bag is Deeper","Dog Eaters Roundnet","Connor Nelson","Noah Saddik","Dallin James","Jason Small",21,10
"seattle-usar-25","Premier (5.0+)","Pool","Mal and Davy","Unbreakable","Davis Jung","Malachi Espinola","Carlin Vicera","Jason Fevang",20,22
"seattle-usar-25","Premier (5.0+)","Pool","spot on","Oregon Transplants","Will Ries","Nick Wideman","Trey Thompson","Ryan Slaughter",12,15
"seattle-usar-25","Premier (5.0+)","Pool","slam shredders","Solomon’s Biggest Haters 😈","Conner Bradshaw","Jordan Freitas","Nicolas Caballero","Nolan Wynkoop",11,15
"seattle-usar-25","Premier (5.0+)","Pool","But, My Bag is Deeper","Mal and Davy","Connor Nelson","Noah Saddik","Davis Jung","Malachi Espinola",21,8
"seattle-usar-25","Premier (5.0+)","Pool","Last Minute Lockdown","Unbreakable","Eddy Leung","Kayla Wu-Fleming","Carlin Vicera","Jason Fevang",21,16
"seattle-usar-25","Premier (5.0+)","Pool","spot on","slam shredders","Will Ries","Nick Wideman","Conner Bradshaw","Jordan Freitas",17,15
"seattle-usar-25","Premier (5.0+)","Pool","Oregon Transplants","Solomon’s Biggest Haters 😈","Trey Thompson","Ryan Slaughter","Nicolas Caballero","Nolan Wynkoop",15,10
"seattle-usar-25","Premier (5.0+)","Pool","Last Minute Lockdown","Mal and Davy","Eddy Leung","Kayla Wu-Fleming","Davis Jung","Malachi Espinola",21,17
