"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"skcup25","Open Premier/Bronze+","Pool","Donkey Boys","Dream Girls Morning Shift","Anthony St-Martin","Dan Abrams","Drew Ryder","Nic Albornoz",21,12
"skcup25","Open Premier/Bronze+","Pool","Do We Rotate?","W.D.F.A.","Noah Lerner-Morelle","Matthew Rodriguez","Eoin O'Gara","blake rock",21,12
"skcup25","Open Premier/Bronze+","Pool","Profit Boost","Mountain Lion","Justin Shaytar","Kieran Rose","Sreesai Katiki","Jacob Lamontagne",21,5
"skcup25","Open Premier/Bronze+","Pool","Happy Heffalumps","Almond of the walnut","Michael Catuccio","Matt Catuccio","Matthew Tiongko","Samuel Panek",21,17
"skcup25","Open Premier/Bronze+","Pool","Big Blind","DoubleThreat","Tyler Fernandez","Henry Pilliod","Siddhant Desai","Dylan Rehman",21,14
"skcup25","Open Premier/Bronze+","Pool","Coast to Coast2","Serving Cut","Jai Parera","Jerry Hao","John Putney","Prady Vijayakumar",25,23
"skcup25","Open Premier/Bronze+","Pool","tich","Mario & Luigi","Sunny Gu","Sam Diani","Evan Cox","Leo Cox",21,12
"skcup25","Open Premier/Bronze+","Pool","NeeBiggs","Observational Hazard","Andrew Nee","Jackson Biggs","Manish Nagireddy","Mike Hamilton",21,15
"skcup25","Open Premier/Bronze+","Pool","Donkey Boys","W.D.F.A.","Anthony St-Martin","Dan Abrams","Eoin O'Gara","blake rock",21,15
"skcup25","Open Premier/Bronze+","Pool","Tuskies","Dream Girls Morning Shift","Matt Wallach","Michael Yung","Drew Ryder","Nic Albornoz",21,15
"skcup25","Open Premier/Bronze+","Pool","Profit Boost","Almond of the walnut","Justin Shaytar","Kieran Rose","Matthew Tiongko","Samuel Panek",21,9
"skcup25","Open Premier/Bronze+","Pool","Let Me Play My Game","Mountain Lion","Javier Vidal","Malia Wanderer","Sreesai Katiki","Jacob Lamontagne",21,13
"skcup25","Open Premier/Bronze+","Pool","Big Blind","Serving Cut","Tyler Fernandez","Henry Pilliod","John Putney","Prady Vijayakumar",21,19
"skcup25","Open Premier/Bronze+","Pool","Huge Hitbox","DoubleThreat","Matt Spolarich","Josh Hutko","Siddhant Desai","Dylan Rehman",21,14
"skcup25","Open Premier/Bronze+","Pool","tich","Observational Hazard","Sunny Gu","Sam Diani","Manish Nagireddy","Mike Hamilton",21,13
"skcup25","Open Premier/Bronze+","Pool","Moisty Mire","Mario & Luigi","Dustin Grant","Jonathan Saysamone","Evan Cox","Leo Cox",15,21
"skcup25","Open Premier/Bronze+","Pool","Donkey Boys","Tuskies","Anthony St-Martin","Dan Abrams","Matt Wallach","Michael Yung",21,12
"skcup25","Open Premier/Bronze+","Pool","Do We Rotate?","Dream Girls Morning Shift","Noah Lerner-Morelle","Matthew Rodriguez","Drew Ryder","Nic Albornoz",21,11
"skcup25","Open Premier/Bronze+","Pool","Profit Boost","Let Me Play My Game","Justin Shaytar","Kieran Rose","Javier Vidal","Malia Wanderer",21,9
"skcup25","Open Premier/Bronze+","Pool","Happy Heffalumps","Mountain Lion","Michael Catuccio","Matt Catuccio","Sreesai Katiki","Jacob Lamontagne",21,16
"skcup25","Open Premier/Bronze+","Pool","Big Blind","Huge Hitbox","Tyler Fernandez","Henry Pilliod","Matt Spolarich","Josh Hutko",24,22
"skcup25","Open Premier/Bronze+","Pool","Coast to Coast2","DoubleThreat","Jai Parera","Jerry Hao","Siddhant Desai","Dylan Rehman",21,18
"skcup25","Open Premier/Bronze+","Pool","tich","Moisty Mire","Sunny Gu","Sam Diani","Dustin Grant","Jonathan Saysamone",21,9
"skcup25","Open Premier/Bronze+","Pool","NeeBiggs","Mario & Luigi","Andrew Nee","Jackson Biggs","Evan Cox","Leo Cox",21,14
"skcup25","Open Premier/Bronze+","Pool","Do We Rotate?","Tuskies","Noah Lerner-Morelle","Matthew Rodriguez","Matt Wallach","Michael Yung",21,13
"skcup25","Open Premier/Bronze+","Pool","W.D.F.A.","Dream Girls Morning Shift","Eoin O'Gara","blake rock","Drew Ryder","Nic Albornoz",21,17
"skcup25","Open Premier/Bronze+","Pool","Happy Heffalumps","Let Me Play My Game","Michael Catuccio","Matt Catuccio","Javier Vidal","Malia Wanderer",13,21
"skcup25","Open Premier/Bronze+","Pool","Almond of the walnut","Mountain Lion","Matthew Tiongko","Samuel Panek","Sreesai Katiki","Jacob Lamontagne",21,16
"skcup25","Open Premier/Bronze+","Pool","Coast to Coast2","Huge Hitbox","Jai Parera","Jerry Hao","Matt Spolarich","Josh Hutko",21,16
"skcup25","Open Premier/Bronze+","Pool","Serving Cut","DoubleThreat","John Putney","Prady Vijayakumar","Siddhant Desai","Dylan Rehman",21,12
"skcup25","Open Premier/Bronze+","Pool","NeeBiggs","Moisty Mire","Andrew Nee","Jackson Biggs","Dustin Grant","Jonathan Saysamone",21,12
