"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"southelgin26","Expert(4.5+)","Pool","Señor Frogs 🐸","Chaverim","Colin Hobart","Joey Reynolds","Ari Rosen","Samuel Korol",17,6
"southelgin26","Expert(4.5+)","Pool","Abu Ghareeb Nawaz","Revised Retired","Tab Dayani","Tahseen Robbani","Jacob Yoo","Louie Simbajon",17,13
"southelgin26","Expert(4.5+)","Pool","Caught In 4K","Visual Hinder ","Daniel Gutierrez","Luke Nemec","Justin Kohl","Joey Lu",14,17
"southelgin26","Expert(4.5+)","Pool","The Emergency Room","Scotch or Regular?","Adam Weiss","Rohil Senapati","Joel Yang","Jason Inumerable",17,5
"southelgin26","Expert(4.5+)","Pool","Jacob and his Friend","Bring back boomball","Korbin Thompson","Jacob Purser","John Breum","Kenny Velu",17,14
"southelgin26","Expert(4.5+)","Pool","Lefties Are People Too","Jolly Ranchers","Matthew Greathouse","Wyatt Semke","Shane Hosty","Jacob Tallian",17,15
"southelgin26","Expert(4.5+)","Pool","Señor Frogs 🐸","Revised Retired","Colin Hobart","Joey Reynolds","Jacob Yoo","Louie Simbajon",17,13
"southelgin26","Expert(4.5+)","Pool","Abu Ghareeb Nawaz","wdym this isn't byob","Tab Dayani","Tahseen Robbani","Jaeden Hannus","Johnnie Teng",17,3
"southelgin26","Expert(4.5+)","Pool","Visual Hinder ","Chaverim","Justin Kohl","Joey Lu","Ari Rosen","Samuel Korol",18,16
"southelgin26","Expert(4.5+)","Pool","The Emergency Room","Bring back boomball","Adam Weiss","Rohil Senapati","John Breum","Kenny Velu",17,13
"southelgin26","Expert(4.5+)","Pool","Jacob and his Friend","Lefties Are People Too","Korbin Thompson","Jacob Purser","Matthew Greathouse","Wyatt Semke",17,5
"southelgin26","Expert(4.5+)","Pool","Jolly Ranchers","Scotch or Regular?","Shane Hosty","Jacob Tallian","Joel Yang","Jason Inumerable",17,11
"southelgin26","Expert(4.5+)","Pool","Señor Frogs 🐸","Visual Hinder ","Colin Hobart","Joey Reynolds","Justin Kohl","Joey Lu",17,5
"southelgin26","Expert(4.5+)","Pool","Abu Ghareeb Nawaz","Caught In 4K","Tab Dayani","Tahseen Robbani","Daniel Gutierrez","Luke Nemec",17,13
"southelgin26","Expert(4.5+)","Pool","wdym this isn't byob","Revised Retired","Jaeden Hannus","Johnnie Teng","Jacob Yoo","Louie Simbajon",12,17
"southelgin26","Expert(4.5+)","Pool","The Emergency Room","Jolly Ranchers","Adam Weiss","Rohil Senapati","Shane Hosty","Jacob Tallian",17,15
"southelgin26","Expert(4.5+)","Pool","Jacob and his Friend","Scotch or Regular?","Korbin Thompson","Jacob Purser","Joel Yang","Jason Inumerable",17,14
"southelgin26","Expert(4.5+)","Pool","Lefties Are People Too","Bring back boomball","Matthew Greathouse","Wyatt Semke","John Breum","Kenny Velu",11,17
"southelgin26","Expert(4.5+)","Pool","Señor Frogs 🐸","wdym this isn't byob","Colin Hobart","Joey Reynolds","Jaeden Hannus","Johnnie Teng",17,6
"southelgin26","Expert(4.5+)","Pool","Abu Ghareeb Nawaz","Chaverim","Tab Dayani","Tahseen Robbani","Ari Rosen","Samuel Korol",17,10
"southelgin26","Expert(4.5+)","Pool","Caught In 4K","Revised Retired","Daniel Gutierrez","Luke Nemec","Jacob Yoo","Louie Simbajon",13,17
"southelgin26","Expert(4.5+)","Pool","The Emergency Room","Lefties Are People Too","Adam Weiss","Rohil Senapati","Matthew Greathouse","Wyatt Semke",17,10
"southelgin26","Expert(4.5+)","Pool","Jacob and his Friend","Jolly Ranchers","Korbin Thompson","Jacob Purser","Shane Hosty","Jacob Tallian",17,14
"southelgin26","Expert(4.5+)","Pool","Bring back boomball","Scotch or Regular?","John Breum","Kenny Velu","Joel Yang","Jason Inumerable",11,17
"southelgin26","Expert(4.5+)","Pool","Abu Ghareeb Nawaz","Visual Hinder ","Tab Dayani","Tahseen Robbani","Justin Kohl","Joey Lu",17,11
"southelgin26","Expert(4.5+)","Pool","Caught In 4K","wdym this isn't byob","Daniel Gutierrez","Luke Nemec","Jaeden Hannus","Johnnie Teng",17,10
"southelgin26","Expert(4.5+)","Pool","Revised Retired","Chaverim","Jacob Yoo","Louie Simbajon","Ari Rosen","Samuel Korol",17,12
"southelgin26","Expert(4.5+)","Pool","The Emergency Room","Jacob and his Friend","Adam Weiss","Rohil Senapati","Korbin Thompson","Jacob Purser",10,17
"southelgin26","Expert(4.5+)","Pool","Lefties Are People Too","Scotch or Regular?","Matthew Greathouse","Wyatt Semke","Joel Yang","Jason Inumerable",17,14
"southelgin26","Expert(4.5+)","Pool","Jolly Ranchers","Bring back boomball","Shane Hosty","Jacob Tallian","John Breum","Kenny Velu",17,11
"southelgin26","Expert(4.5+)","Pool","Señor Frogs 🐸","Caught In 4K","Colin Hobart","Joey Reynolds","Daniel Gutierrez","Luke Nemec",17,3
"southelgin26","Expert(4.5+)","Pool","wdym this isn't byob","Chaverim","Jaeden Hannus","Johnnie Teng","Ari Rosen","Samuel Korol",17,9
"southelgin26","Expert(4.5+)","Pool","Visual Hinder ","Revised Retired","Justin Kohl","Joey Lu","Jacob Yoo","Louie Simbajon",17,15
"southelgin26","Expert(4.5+)","Pool","Señor Frogs 🐸","Abu Ghareeb Nawaz","Colin Hobart","Joey Reynolds","Tab Dayani","Tahseen Robbani",17,2
"southelgin26","Expert(4.5+)","Pool","Caught In 4K","Chaverim","Daniel Gutierrez","Luke Nemec","Ari Rosen","Samuel Korol",17,14
