"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"sts on 2024","Premier 5.0","Pool","GFD The Biggest Beasts","Freak Sauce","Justin Barr","Thomas Hamilton","Prady Vijayakumar","Ethan Ferland",21,12
"sts on 2024","Premier 5.0","Pool","Road Rage","Sunny side up","Justin Shaytar","Matt Spolarich","Joël Laliberté","Alexandre Fortier",21,19
"sts on 2024","Premier 5.0","Pool","Cold Sweep","🌲 BHAD Boys","Vincent Mathieu","Maxime Prince","Joey Renaud","Nethaniel Gabriel",21,10
"sts on 2024","Premier 5.0","Pool","Shorter & Taller","lao gan ma","Caleb Shorter","Andrew Sullivan","Kyle Jeung","Leonardo Tullo",21,14
"sts on 2024","Premier 5.0","Pool","Franglo","NEM Reckless (Ang/Leibold)","Etienne Cote","Grant Klapwijk","Jared Ang","Brock Leibold",21,8
"sts on 2024","Premier 5.0","Pool","CRO rimmer season","Crotte de moineau","Nicholas Puopolo","Tyler Babin","Xavier Lambert","William Garant",25,24
"sts on 2024","Premier 5.0","Pool","Dean/Lippman ","Grant/Paul","Emerson Dean","Owen Lippman","Dustin Grant","Jesse Paul",21,8
"sts on 2024","Premier 5.0","Pool","No Pressure","Swagged out Summer","Alex Newton","Josh Hutko","sumer dass","Adam Hassan",21,17
"sts on 2024","Premier 5.0","Pool","Bambi","Pickles","Jé Gagnon","Chris Brown","Joshua Ang","Eric Reinke",21,12
"sts on 2024","Premier 5.0","Pool","En Vacance 2.0","Farronato/Kim","Guillaume Bilodeau","Olivier Laurin","brandon farronato","Alex Kim",21,11
"sts on 2024","Premier 5.0","Pool","Vent Rush","Jonald","Nic Albornoz","Mike Hamilton","Donald Fung","John Putney",23,21
"sts on 2024","Premier 5.0","Pool","GFD The Biggest Beasts","Sunny side up","Justin Barr","Thomas Hamilton","Joël Laliberté","Alexandre Fortier",21,12
"sts on 2024","Premier 5.0","Pool","Pooin and Gooin","Freak Sauce","Tim Lacagnina","Nick Evanko","Prady Vijayakumar","Ethan Ferland",17,21
"sts on 2024","Premier 5.0","Pool","Cold Sweep","lao gan ma","Vincent Mathieu","Maxime Prince","Kyle Jeung","Leonardo Tullo",21,10
"sts on 2024","Premier 5.0","Pool","Someone’s Jellyous","🌲 BHAD Boys","David Navalta","Keaton Kirchner","Joey Renaud","Nethaniel Gabriel",21,11
"sts on 2024","Premier 5.0","Pool","Franglo","Crotte de moineau","Etienne Cote","Grant Klapwijk","Xavier Lambert","William Garant",21,12
"sts on 2024","Premier 5.0","Pool","Deep Beeag","NEM Reckless (Ang/Leibold)","Grayson M  Wills","Reilly Paquette","Jared Ang","Brock Leibold",19,21
"sts on 2024","Premier 5.0","Pool","Dean/Lippman ","Swagged out Summer","Emerson Dean","Owen Lippman","sumer dass","Adam Hassan",21,12
"sts on 2024","Premier 5.0","Pool","Tipsy","Grant/Paul","Nathan Goh","Ben Pernfuss","Dustin Grant","Jesse Paul",21,14
"sts on 2024","Premier 5.0","Pool","Bambi","Farronato/Kim","Jé Gagnon","Chris Brown","brandon farronato","Alex Kim",21,7
"sts on 2024","Premier 5.0","Pool","En Vacance 2.0","Vent Rush","Guillaume Bilodeau","Olivier Laurin","Nic Albornoz","Mike Hamilton",21,4
"sts on 2024","Premier 5.0","Pool","Jonald","Pickles","Donald Fung","John Putney","Joshua Ang","Eric Reinke",19,21
"sts on 2024","Premier 5.0","Pool","GFD The Biggest Beasts","Pooin and Gooin","Justin Barr","Thomas Hamilton","Tim Lacagnina","Nick Evanko",21,13
"sts on 2024","Premier 5.0","Pool","Road Rage","Freak Sauce","Justin Shaytar","Matt Spolarich","Prady Vijayakumar","Ethan Ferland",21,12
"sts on 2024","Premier 5.0","Pool","Cold Sweep","Someone’s Jellyous","Vincent Mathieu","Maxime Prince","David Navalta","Keaton Kirchner",21,9
"sts on 2024","Premier 5.0","Pool","Shorter & Taller","🌲 BHAD Boys","Caleb Shorter","Andrew Sullivan","Joey Renaud","Nethaniel Gabriel",21,18
"sts on 2024","Premier 5.0","Pool","Franglo","Deep Beeag","Etienne Cote","Grant Klapwijk","Grayson M  Wills","Reilly Paquette",21,8
"sts on 2024","Premier 5.0","Pool","CRO rimmer season","NEM Reckless (Ang/Leibold)","Nicholas Puopolo","Tyler Babin","Jared Ang","Brock Leibold",21,17
"sts on 2024","Premier 5.0","Pool","Dean/Lippman ","Tipsy","Emerson Dean","Owen Lippman","Nathan Goh","Ben Pernfuss",21,11
"sts on 2024","Premier 5.0","Pool","No Pressure","Grant/Paul","Alex Newton","Josh Hutko","Dustin Grant","Jesse Paul",16,21
"sts on 2024","Premier 5.0","Pool","Bambi","Jonald","Jé Gagnon","Chris Brown","Donald Fung","John Putney",21,13
"sts on 2024","Premier 5.0","Pool","En Vacance 2.0","Pickles","Guillaume Bilodeau","Olivier Laurin","Joshua Ang","Eric Reinke",21,9
"sts on 2024","Premier 5.0","Pool","Vent Rush","Farronato/Kim","Nic Albornoz","Mike Hamilton","brandon farronato","Alex Kim",21,17
"sts on 2024","Premier 5.0","Pool","Road Rage","Pooin and Gooin","Justin Shaytar","Matt Spolarich","Tim Lacagnina","Nick Evanko",18,21
"sts on 2024","Premier 5.0","Pool","Sunny side up","Freak Sauce","Joël Laliberté","Alexandre Fortier","Prady Vijayakumar","Ethan Ferland",21,18
"sts on 2024","Premier 5.0","Pool","Shorter & Taller","Someone’s Jellyous","Caleb Shorter","Andrew Sullivan","David Navalta","Keaton Kirchner",21,10
"sts on 2024","Premier 5.0","Pool","lao gan ma","🌲 BHAD Boys","Kyle Jeung","Leonardo Tullo","Joey Renaud","Nethaniel Gabriel",19,21
"sts on 2024","Premier 5.0","Pool","CRO rimmer season","Deep Beeag","Nicholas Puopolo","Tyler Babin","Grayson M  Wills","Reilly Paquette",21,16
"sts on 2024","Premier 5.0","Pool","Crotte de moineau","NEM Reckless (Ang/Leibold)","Xavier Lambert","William Garant","Jared Ang","Brock Leibold",12,21
"sts on 2024","Premier 5.0","Pool","No Pressure","Tipsy","Alex Newton","Josh Hutko","Nathan Goh","Ben Pernfuss",21,17
"sts on 2024","Premier 5.0","Pool","Swagged out Summer","Grant/Paul","sumer dass","Adam Hassan","Dustin Grant","Jesse Paul",21,12
"sts on 2024","Premier 5.0","Pool","Bambi","Vent Rush","Jé Gagnon","Chris Brown","Nic Albornoz","Mike Hamilton",21,9
"sts on 2024","Premier 5.0","Pool","En Vacance 2.0","Jonald","Guillaume Bilodeau","Olivier Laurin","Donald Fung","John Putney",21,10
"sts on 2024","Premier 5.0","Pool","Farronato/Kim","Pickles","brandon farronato","Alex Kim","Joshua Ang","Eric Reinke",13,21
"sts on 2024","Premier 5.0","Pool","GFD The Biggest Beasts","Road Rage","Justin Barr","Thomas Hamilton","Justin Shaytar","Matt Spolarich",21,19
"sts on 2024","Premier 5.0","Pool","Pooin and Gooin","Sunny side up","Tim Lacagnina","Nick Evanko","Joël Laliberté","Alexandre Fortier",21,18
