"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"stsazrsouthwestshowcase","Premier 5.0","Pool","VRGA","TheGOATGene","Dawson Morgan","Caleb Cummings","Wesley Tunelius","Brian Lin",21,8
"stsazrsouthwestshowcase","Premier 5.0","Pool","Boogie Woogie","ARC Road Runner","Ben Savage","Adam Porter","Spencer Longfellow","Keaton Kirchner",21,17
"stsazrsouthwestshowcase","Premier 5.0","Pool","Edging","Please let us win","Nick Wideman","Andrew Kosche","Jackson Blackburn","Ryan McCargar",21,18
"stsazrsouthwestshowcase","Premier 5.0","Pool","Guachos","Gentleman serves only?","Josh Fragiacomo","Ryan Oswalt","David Yingling","Nathan Paauw",21,15
"stsazrsouthwestshowcase","Premier 5.0","Pool","Espinola/Leung","skrt","Malachi Espinola","Eddy Leung","tucker judkins","Nolan Wynkoop",21,13
"stsazrsouthwestshowcase","Premier 5.0","Pool","Dialed","French Bries and Mashed PoTAYToes","Josh Cain","Luke Pennington","Brian Perlson","Tayt Rogers",22,24
"stsazrsouthwestshowcase","Premier 5.0","Pool","Bennett/Fernandez","Burton/Urban","Tyler Fernandez","Christian Bennett","Kyler Burton","Jeremiah Urban",21,7
"stsazrsouthwestshowcase","Premier 5.0","Pool","Synergy","Providence","Matthew Burrows","Nick Noguez","Alex Dluzynski","Connor Nelson",17,21
"stsazrsouthwestshowcase","Premier 5.0","Pool","Recursive Breaks","Flashbang ","Michael Du","Solomon Berry","Joseph Kaylor","Erik Faeustle",21,18
"stsazrsouthwestshowcase","Premier 5.0","Pool","Shaytar/Dean","R/K/O","Emerson Dean","Justin Shaytar","Nathan Robertt","Bryant Karratti",21,17
"stsazrsouthwestshowcase","Premier 5.0","Pool","BARP Order of the White Lotus","Big Schwing","Jacob Payer","Trevor Barbosa","Rafi Moldovsky","Alec Galbo",25,24
"stsazrsouthwestshowcase","Premier 5.0","Pool","Daddy is always right","FTR Frontier","Kyle Fowler","Owen Bass","Jake Woolley","Kyan Kornfeld",23,21
"stsazrsouthwestshowcase","Premier 5.0","Pool","AZR Numb","Capmaker","Kieran Rose","Aidan Mackey","Michael Capobianco","Max Shoemaker",21,18
"stsazrsouthwestshowcase","Premier 5.0","Pool","Blessed","PSR Foot Faults and 5 Second Rules","Cade Larson","Luke Mowry","Jordan Freitas","Jason Small",21,16
"stsazrsouthwestshowcase","Premier 5.0","Pool","Meatballs","Pickle Boost","Joey Maichen","Lucas Pruett","Josh Hutko","James Lamkin",21,16
"stsazrsouthwestshowcase","Premier 5.0","Pool","VRGA","ARC Road Runner","Dawson Morgan","Caleb Cummings","Spencer Longfellow","Keaton Kirchner",21,14
"stsazrsouthwestshowcase","Premier 5.0","Pool","Boogie Woogie","Edging","Ben Savage","Adam Porter","Nick Wideman","Andrew Kosche",18,21
"stsazrsouthwestshowcase","Premier 5.0","Pool","Please let us win","TheGOATGene","Jackson Blackburn","Ryan McCargar","Wesley Tunelius","Brian Lin",21,8
"stsazrsouthwestshowcase","Premier 5.0","Pool","Guachos","skrt","Josh Fragiacomo","Ryan Oswalt","tucker judkins","Nolan Wynkoop",21,16
"stsazrsouthwestshowcase","Premier 5.0","Pool","Espinola/Leung","Dialed","Malachi Espinola","Eddy Leung","Josh Cain","Luke Pennington",21,15
"stsazrsouthwestshowcase","Premier 5.0","Pool","French Bries and Mashed PoTAYToes","Gentleman serves only?","Brian Perlson","Tayt Rogers","David Yingling","Nathan Paauw",21,12
"stsazrsouthwestshowcase","Premier 5.0","Pool","Bennett/Fernandez","Providence","Tyler Fernandez","Christian Bennett","Alex Dluzynski","Connor Nelson",21,15
"stsazrsouthwestshowcase","Premier 5.0","Pool","Synergy","Recursive Breaks","Matthew Burrows","Nick Noguez","Michael Du","Solomon Berry",25,23
"stsazrsouthwestshowcase","Premier 5.0","Pool","Flashbang ","Burton/Urban","Joseph Kaylor","Erik Faeustle","Kyler Burton","Jeremiah Urban",22,20
"stsazrsouthwestshowcase","Premier 5.0","Pool","Shaytar/Dean","Big Schwing","Emerson Dean","Justin Shaytar","Rafi Moldovsky","Alec Galbo",21,9
"stsazrsouthwestshowcase","Premier 5.0","Pool","BARP Order of the White Lotus","Daddy is always right","Jacob Payer","Trevor Barbosa","Kyle Fowler","Owen Bass",21,18
"stsazrsouthwestshowcase","Premier 5.0","Pool","FTR Frontier","R/K/O","Jake Woolley","Kyan Kornfeld","Nathan Robertt","Bryant Karratti",18,21
"stsazrsouthwestshowcase","Premier 5.0","Pool","AZR Numb","PSR Foot Faults and 5 Second Rules","Kieran Rose","Aidan Mackey","Jordan Freitas","Jason Small",21,17
"stsazrsouthwestshowcase","Premier 5.0","Pool","Blessed","Meatballs","Cade Larson","Luke Mowry","Joey Maichen","Lucas Pruett",19,21
"stsazrsouthwestshowcase","Premier 5.0","Pool","Pickle Boost","Capmaker","Josh Hutko","James Lamkin","Michael Capobianco","Max Shoemaker",23,21
"stsazrsouthwestshowcase","Premier 5.0","Pool","VRGA","Please let us win","Dawson Morgan","Caleb Cummings","Jackson Blackburn","Ryan McCargar",21,19
"stsazrsouthwestshowcase","Premier 5.0","Pool","Boogie Woogie","TheGOATGene","Ben Savage","Adam Porter","Wesley Tunelius","Brian Lin",21,11
"stsazrsouthwestshowcase","Premier 5.0","Pool","Edging","ARC Road Runner","Nick Wideman","Andrew Kosche","Spencer Longfellow","Keaton Kirchner",21,19
"stsazrsouthwestshowcase","Premier 5.0","Pool","Guachos","French Bries and Mashed PoTAYToes","Josh Fragiacomo","Ryan Oswalt","Brian Perlson","Tayt Rogers",21,19
"stsazrsouthwestshowcase","Premier 5.0","Pool","Espinola/Leung","Gentleman serves only?","Malachi Espinola","Eddy Leung","David Yingling","Nathan Paauw",21,6
"stsazrsouthwestshowcase","Premier 5.0","Pool","Dialed","skrt","Josh Cain","Luke Pennington","tucker judkins","Nolan Wynkoop",24,25
"stsazrsouthwestshowcase","Premier 5.0","Pool","Bennett/Fernandez","Flashbang ","Tyler Fernandez","Christian Bennett","Joseph Kaylor","Erik Faeustle",21,16
"stsazrsouthwestshowcase","Premier 5.0","Pool","Synergy","Burton/Urban","Matthew Burrows","Nick Noguez","Kyler Burton","Jeremiah Urban",21,13
"stsazrsouthwestshowcase","Premier 5.0","Pool","Recursive Breaks","Providence","Michael Du","Solomon Berry","Alex Dluzynski","Connor Nelson",19,21
"stsazrsouthwestshowcase","Premier 5.0","Pool","Shaytar/Dean","FTR Frontier","Emerson Dean","Justin Shaytar","Jake Woolley","Kyan Kornfeld",19,21
"stsazrsouthwestshowcase","Premier 5.0","Pool","BARP Order of the White Lotus","R/K/O","Jacob Payer","Trevor Barbosa","Nathan Robertt","Bryant Karratti",19,21
"stsazrsouthwestshowcase","Premier 5.0","Pool","Daddy is always right","Big Schwing","Kyle Fowler","Owen Bass","Rafi Moldovsky","Alec Galbo",21,19
"stsazrsouthwestshowcase","Premier 5.0","Pool","AZR Numb","Pickle Boost","Kieran Rose","Aidan Mackey","Josh Hutko","James Lamkin",21,17
"stsazrsouthwestshowcase","Premier 5.0","Pool","Blessed","Capmaker","Cade Larson","Luke Mowry","Michael Capobianco","Max Shoemaker",21,16
"stsazrsouthwestshowcase","Premier 5.0","Pool","Meatballs","PSR Foot Faults and 5 Second Rules","Joey Maichen","Lucas Pruett","Jordan Freitas","Jason Small",21,17
"stsazrsouthwestshowcase","Premier 5.0","Pool","VRGA","Edging","Dawson Morgan","Caleb Cummings","Nick Wideman","Andrew Kosche",21,17
"stsazrsouthwestshowcase","Premier 5.0","Pool","Boogie Woogie","Please let us win","Ben Savage","Adam Porter","Jackson Blackburn","Ryan McCargar",21,17
"stsazrsouthwestshowcase","Premier 5.0","Pool","ARC Road Runner","TheGOATGene","Spencer Longfellow","Keaton Kirchner","Wesley Tunelius","Brian Lin",21,16
"stsazrsouthwestshowcase","Premier 5.0","Pool","Guachos","Dialed","Josh Fragiacomo","Ryan Oswalt","Josh Cain","Luke Pennington",21,16
"stsazrsouthwestshowcase","Premier 5.0","Pool","Espinola/Leung","French Bries and Mashed PoTAYToes","Malachi Espinola","Eddy Leung","Brian Perlson","Tayt Rogers",21,10
"stsazrsouthwestshowcase","Premier 5.0","Pool","skrt","Gentleman serves only?","tucker judkins","Nolan Wynkoop","David Yingling","Nathan Paauw",23,21
"stsazrsouthwestshowcase","Premier 5.0","Pool","Bennett/Fernandez","Recursive Breaks","Tyler Fernandez","Christian Bennett","Michael Du","Solomon Berry",21,15
"stsazrsouthwestshowcase","Premier 5.0","Pool","Synergy","Flashbang ","Matthew Burrows","Nick Noguez","Joseph Kaylor","Erik Faeustle",19,21
"stsazrsouthwestshowcase","Premier 5.0","Pool","Providence","Burton/Urban","Alex Dluzynski","Connor Nelson","Kyler Burton","Jeremiah Urban",21,14
"stsazrsouthwestshowcase","Premier 5.0","Pool","Shaytar/Dean","Daddy is always right","Emerson Dean","Justin Shaytar","Kyle Fowler","Owen Bass",18,21
