"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"tasr-austin-spring-26","4.0 Contender+","Pool","We're In Debt","Seven-Duece Offsuit","Tyler Fernandez","Micah Allin","Iason Hayes","Nathan Garcia",21,13
"tasr-austin-spring-26","4.0 Contender+","Pool","JP/Rohil","One, Two, Brick","Rohil Senapati","JP Chincuanco","jacob gansle","Felipe Martinez",18,21
"tasr-austin-spring-26","4.0 Contender+","Pool","The WySpiker and the Wannabe","Net-flicks and Chill","Brandon Arledge","Luke Mowry","parker hall","Aidan Riley",21,15
"tasr-austin-spring-26","4.0 Contender+","Pool","New Rules?","Balls in Play","Noah Beinart","Andrew Christmas","Evan Deragon","David Z",21,13
"tasr-austin-spring-26","4.0 Contender+","Pool","Carnage","Team Explosion","Rahul Murthy","Luke Marshall","Cormac Alonzo","Francesco Mauro",21,12
"tasr-austin-spring-26","4.0 Contender+","Pool","Johnny Bravo","blank","Luis Orozco","Garrett Ashton","Lucas Bustos","JJ Vela",22,20
"tasr-austin-spring-26","4.0 Contender+","Pool","We're In Debt","One, Two, Brick","Tyler Fernandez","Micah Allin","jacob gansle","Felipe Martinez",21,5
"tasr-austin-spring-26","4.0 Contender+","Pool","JP/Rohil","Seven-Duece Offsuit","Rohil Senapati","JP Chincuanco","Iason Hayes","Nathan Garcia",21,15
"tasr-austin-spring-26","4.0 Contender+","Pool","The WySpiker and the Wannabe","Balls in Play","Brandon Arledge","Luke Mowry","Evan Deragon","David Z",21,15
"tasr-austin-spring-26","4.0 Contender+","Pool","Banged Up","Net-flicks and Chill","James Ledbetter IV","Kelom Siller","parker hall","Aidan Riley",18,21
"tasr-austin-spring-26","4.0 Contender+","Pool","Carnage","blank","Rahul Murthy","Luke Marshall","Lucas Bustos","JJ Vela",21,4
"tasr-austin-spring-26","4.0 Contender+","Pool","Johnny Bravo","Team Explosion","Luis Orozco","Garrett Ashton","Cormac Alonzo","Francesco Mauro",21,14
"tasr-austin-spring-26","4.0 Contender+","Pool","We're In Debt","JP/Rohil","Tyler Fernandez","Micah Allin","Rohil Senapati","JP Chincuanco",21,13
"tasr-austin-spring-26","4.0 Contender+","Pool","One, Two, Brick","Seven-Duece Offsuit","jacob gansle","Felipe Martinez","Iason Hayes","Nathan Garcia",10,21
"tasr-austin-spring-26","4.0 Contender+","Pool","The WySpiker and the Wannabe","Banged Up","Brandon Arledge","Luke Mowry","James Ledbetter IV","Kelom Siller",21,15
"tasr-austin-spring-26","4.0 Contender+","Pool","New Rules?","Net-flicks and Chill","Noah Beinart","Andrew Christmas","parker hall","Aidan Riley",21,13
"tasr-austin-spring-26","4.0 Contender+","Pool","Carnage","Johnny Bravo","Rahul Murthy","Luke Marshall","Luis Orozco","Garrett Ashton",21,18
"tasr-austin-spring-26","4.0 Contender+","Pool","blank","Team Explosion","Lucas Bustos","JJ Vela","Cormac Alonzo","Francesco Mauro",21,15
"tasr-austin-spring-26","4.0 Contender+","Pool","New Rules?","Banged Up","Noah Beinart","Andrew Christmas","James Ledbetter IV","Kelom Siller",21,15
"tasr-austin-spring-26","4.0 Contender+","Pool","Balls in Play","Net-flicks and Chill","Evan Deragon","David Z","parker hall","Aidan Riley",21,16
"tasr-austin-spring-26","4.0 Contender+","Pool","The WySpiker and the Wannabe","New Rules?","Brandon Arledge","Luke Mowry","Noah Beinart","Andrew Christmas",18,21
"tasr-austin-spring-26","4.0 Contender+","Pool","Banged Up","Balls in Play","James Ledbetter IV","Kelom Siller","Evan Deragon","David Z",21,14
"tasr-austin-spring-26","4.0 Contender+","Round of 16","The WySpiker and the Wannabe","Team Explosion","Brandon Arledge","Luke Mowry","Cormac Alonzo","Francesco Mauro",21,12
"tasr-austin-spring-26","4.0 Contender+","Round of 16","The WySpiker and the Wannabe","Team Explosion","Brandon Arledge","Luke Mowry","Cormac Alonzo","Francesco Mauro",21,14
"tasr-austin-spring-26","4.0 Contender+","Round of 16","Johnny Bravo","One, Two, Brick","Luis Orozco","Garrett Ashton","jacob gansle","Felipe Martinez",21,13
"tasr-austin-spring-26","4.0 Contender+","Round of 16","Johnny Bravo","One, Two, Brick","Luis Orozco","Garrett Ashton","jacob gansle","Felipe Martinez",11,21
"tasr-austin-spring-26","4.0 Contender+","Round of 16","Johnny Bravo","One, Two, Brick","Luis Orozco","Garrett Ashton","jacob gansle","Felipe Martinez",18,21
"tasr-austin-spring-26","4.0 Contender+","Round of 16","Seven-Duece Offsuit","Balls in Play","Iason Hayes","Nathan Garcia","Evan Deragon","David Z",16,21
"tasr-austin-spring-26","4.0 Contender+","Round of 16","Seven-Duece Offsuit","Balls in Play","Iason Hayes","Nathan Garcia","Evan Deragon","David Z",23,21
"tasr-austin-spring-26","4.0 Contender+","Round of 16","Seven-Duece Offsuit","Balls in Play","Iason Hayes","Nathan Garcia","Evan Deragon","David Z",26,24
"tasr-austin-spring-26","4.0 Contender+","Round of 16","JP/Rohil","Net-flicks and Chill","Rohil Senapati","JP Chincuanco","parker hall","Aidan Riley",21,16
"tasr-austin-spring-26","4.0 Contender+","Round of 16","JP/Rohil","Net-flicks and Chill","Rohil Senapati","JP Chincuanco","parker hall","Aidan Riley",17,21
"tasr-austin-spring-26","4.0 Contender+","Round of 16","JP/Rohil","Net-flicks and Chill","Rohil Senapati","JP Chincuanco","parker hall","Aidan Riley",21,10
"tasr-austin-spring-26","4.0 Contender+","Round of 16","Banged Up","blank","James Ledbetter IV","Kelom Siller","Lucas Bustos","JJ Vela",21,19
"tasr-austin-spring-26","4.0 Contender+","Round of 16","Banged Up","blank","James Ledbetter IV","Kelom Siller","Lucas Bustos","JJ Vela",21,13
"tasr-austin-spring-26","4.0 Contender+","Quarter-final","We're In Debt","Banged Up","Tyler Fernandez","Micah Allin","James Ledbetter IV","Kelom Siller",21,6
"tasr-austin-spring-26","4.0 Contender+","Quarter-final","We're In Debt","Banged Up","Tyler Fernandez","Micah Allin","James Ledbetter IV","Kelom Siller",21,10
"tasr-austin-spring-26","4.0 Contender+","Quarter-final","Carnage","JP/Rohil","Rahul Murthy","Luke Marshall","Rohil Senapati","JP Chincuanco",21,15
"tasr-austin-spring-26","4.0 Contender+","Quarter-final","Carnage","JP/Rohil","Rahul Murthy","Luke Marshall","Rohil Senapati","JP Chincuanco",21,12
"tasr-austin-spring-26","4.0 Contender+","Quarter-final","New Rules?","Seven-Duece Offsuit","Noah Beinart","Andrew Christmas","Iason Hayes","Nathan Garcia",21,9
"tasr-austin-spring-26","4.0 Contender+","Quarter-final","New Rules?","Seven-Duece Offsuit","Noah Beinart","Andrew Christmas","Iason Hayes","Nathan Garcia",23,21
"tasr-austin-spring-26","4.0 Contender+","Quarter-final","The WySpiker and the Wannabe","One, Two, Brick","Brandon Arledge","Luke Mowry","jacob gansle","Felipe Martinez",21,19
"tasr-austin-spring-26","4.0 Contender+","Quarter-final","The WySpiker and the Wannabe","One, Two, Brick","Brandon Arledge","Luke Mowry","jacob gansle","Felipe Martinez",21,18
"tasr-austin-spring-26","4.0 Contender+","P9: Quarter-final","Johnny Bravo","Team Explosion","Luis Orozco","Garrett Ashton","Cormac Alonzo","Francesco Mauro",21,10
"tasr-austin-spring-26","4.0 Contender+","Semi-final","We're In Debt","The WySpiker and the Wannabe","Tyler Fernandez","Micah Allin","Brandon Arledge","Luke Mowry",21,19
"tasr-austin-spring-26","4.0 Contender+","Semi-final","We're In Debt","The WySpiker and the Wannabe","Tyler Fernandez","Micah Allin","Brandon Arledge","Luke Mowry",22,20
"tasr-austin-spring-26","4.0 Contender+","Semi-final","Carnage","New Rules?","Rahul Murthy","Luke Marshall","Noah Beinart","Andrew Christmas",22,24
"tasr-austin-spring-26","4.0 Contender+","Semi-final","Carnage","New Rules?","Rahul Murthy","Luke Marshall","Noah Beinart","Andrew Christmas",18,21
