"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"tasr-collegestation-spring-26","4.0 Contender+","Pool","Dominant Hand Frauds","Half-Way Crooks","Tyler Fernandez","Luke Mowry","Jared Almon","Aidan Riley",21,13
"tasr-collegestation-spring-26","4.0 Contender+","Pool","Pocket Aces","doodlebots","jacob gansle","Nathan Garcia","Katherine Burnett","Garrett Ashton",21,18
"tasr-collegestation-spring-26","4.0 Contender+","Pool","Whatever idrc","67","Ian Austin","Micah Allin","Lucas Bustos","Kelom Siller",21,11
"tasr-collegestation-spring-26","4.0 Contender+","Pool","¿Qué pasó, chico?","Jawhimmy","James Ledbetter IV","Felipe Martinez","Jake Rasmussen","parker hall",21,9
"tasr-collegestation-spring-26","4.0 Contender+","Pool","JP/Rohil","Balls in Play","JP Chincuanco","Rohil Senapati","Evan Deragon","David Z",21,10
"tasr-collegestation-spring-26","4.0 Contender+","Pool","Dominant Hand Frauds","doodlebots","Tyler Fernandez","Luke Mowry","Katherine Burnett","Garrett Ashton",21,18
"tasr-collegestation-spring-26","4.0 Contender+","Pool","Uncs","Half-Way Crooks","JJ Vela","Cormac Alonzo","Jared Almon","Aidan Riley",19,21
"tasr-collegestation-spring-26","4.0 Contender+","Pool","Whatever idrc","Jawhimmy","Ian Austin","Micah Allin","Jake Rasmussen","parker hall",21,14
"tasr-collegestation-spring-26","4.0 Contender+","Pool","¿Qué pasó, chico?","JP/Rohil","James Ledbetter IV","Felipe Martinez","JP Chincuanco","Rohil Senapati",12,21
"tasr-collegestation-spring-26","4.0 Contender+","Pool","Balls in Play","67","Evan Deragon","David Z","Lucas Bustos","Kelom Siller",21,17
"tasr-collegestation-spring-26","4.0 Contender+","Pool","Dominant Hand Frauds","Uncs","Tyler Fernandez","Luke Mowry","JJ Vela","Cormac Alonzo",21,13
"tasr-collegestation-spring-26","4.0 Contender+","Pool","Pocket Aces","Half-Way Crooks","jacob gansle","Nathan Garcia","Jared Almon","Aidan Riley",15,21
"tasr-collegestation-spring-26","4.0 Contender+","Pool","Whatever idrc","Balls in Play","Ian Austin","Micah Allin","Evan Deragon","David Z",21,10
"tasr-collegestation-spring-26","4.0 Contender+","Pool","¿Qué pasó, chico?","67","James Ledbetter IV","Felipe Martinez","Lucas Bustos","Kelom Siller",21,17
"tasr-collegestation-spring-26","4.0 Contender+","Pool","JP/Rohil","Jawhimmy","JP Chincuanco","Rohil Senapati","Jake Rasmussen","parker hall",21,8
"tasr-collegestation-spring-26","4.0 Contender+","Pool","Pocket Aces","Uncs","jacob gansle","Nathan Garcia","JJ Vela","Cormac Alonzo",26,24
"tasr-collegestation-spring-26","4.0 Contender+","Pool","doodlebots","Half-Way Crooks","Katherine Burnett","Garrett Ashton","Jared Almon","Aidan Riley",9,21
"tasr-collegestation-spring-26","4.0 Contender+","Pool","Whatever idrc","JP/Rohil","Ian Austin","Micah Allin","JP Chincuanco","Rohil Senapati",17,21
"tasr-collegestation-spring-26","4.0 Contender+","Pool","¿Qué pasó, chico?","Balls in Play","James Ledbetter IV","Felipe Martinez","Evan Deragon","David Z",21,16
"tasr-collegestation-spring-26","4.0 Contender+","Pool","Jawhimmy","67","Jake Rasmussen","parker hall","Lucas Bustos","Kelom Siller",11,21
"tasr-collegestation-spring-26","4.0 Contender+","Pool","Dominant Hand Frauds","Pocket Aces","Tyler Fernandez","Luke Mowry","jacob gansle","Nathan Garcia",21,18
"tasr-collegestation-spring-26","4.0 Contender+","Pool","Uncs","doodlebots","JJ Vela","Cormac Alonzo","Katherine Burnett","Garrett Ashton",21,19
"tasr-collegestation-spring-26","4.0 Contender+","Pool","Whatever idrc","¿Qué pasó, chico?","Ian Austin","Micah Allin","James Ledbetter IV","Felipe Martinez",23,21
"tasr-collegestation-spring-26","4.0 Contender+","Pool","JP/Rohil","67","JP Chincuanco","Rohil Senapati","Lucas Bustos","Kelom Siller",21,14
