"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"tasr-waco-spring-26","4.0 Contender+","Pool","Split Squat Haters","rice cakes","Luke Mowry","Garrett Ashton","Owen Lynch","JP Chincuanco",21,12
"tasr-waco-spring-26","4.0 Contender+","Pool","Good Combo","Mm monkee 🦧","Rahul Murthy","Rohil Senapati","Spencer Straddeck","Jared Almon",21,15
"tasr-waco-spring-26","4.0 Contender+","Pool","Receipt Rejects","Sgt. Snuggles & Lt. Lollipop ","Ian Austin","Tyler Fernandez","Luis Orozco","Bryce Wagoner",21,11
"tasr-waco-spring-26","4.0 Contender+","Pool","Allin/Riley","Balls in Play","Aidan Riley","Micah Allin","Evan Deragon","David Z",21,9
"tasr-waco-spring-26","4.0 Contender+","Pool","Split Squat Haters","Mm monkee 🦧","Luke Mowry","Garrett Ashton","Spencer Straddeck","Jared Almon",21,13
"tasr-waco-spring-26","4.0 Contender+","Pool","Jesuit Runaways","rice cakes","Alex Vilela","James Ledbetter IV","Owen Lynch","JP Chincuanco",17,21
"tasr-waco-spring-26","4.0 Contender+","Pool","Receipt Rejects","Balls in Play","Ian Austin","Tyler Fernandez","Evan Deragon","David Z",21,10
"tasr-waco-spring-26","4.0 Contender+","Pool","Slim Chickens","Sgt. Snuggles & Lt. Lollipop ","Iason Hayes","Nathan Garcia","Luis Orozco","Bryce Wagoner",18,21
"tasr-waco-spring-26","4.0 Contender+","Pool","Split Squat Haters","Jesuit Runaways","Luke Mowry","Garrett Ashton","Alex Vilela","James Ledbetter IV",21,8
"tasr-waco-spring-26","4.0 Contender+","Pool","Good Combo","rice cakes","Rahul Murthy","Rohil Senapati","Owen Lynch","JP Chincuanco",21,15
"tasr-waco-spring-26","4.0 Contender+","Pool","Receipt Rejects","Slim Chickens","Ian Austin","Tyler Fernandez","Iason Hayes","Nathan Garcia",21,17
"tasr-waco-spring-26","4.0 Contender+","Pool","Allin/Riley","Sgt. Snuggles & Lt. Lollipop ","Aidan Riley","Micah Allin","Luis Orozco","Bryce Wagoner",21,12
"tasr-waco-spring-26","4.0 Contender+","Pool","Good Combo","Jesuit Runaways","Rahul Murthy","Rohil Senapati","Alex Vilela","James Ledbetter IV",22,20
"tasr-waco-spring-26","4.0 Contender+","Pool","Mm monkee 🦧","rice cakes","Spencer Straddeck","Jared Almon","Owen Lynch","JP Chincuanco",15,21
"tasr-waco-spring-26","4.0 Contender+","Pool","Allin/Riley","Slim Chickens","Aidan Riley","Micah Allin","Iason Hayes","Nathan Garcia",21,19
"tasr-waco-spring-26","4.0 Contender+","Pool","Balls in Play","Sgt. Snuggles & Lt. Lollipop ","Evan Deragon","David Z","Luis Orozco","Bryce Wagoner",21,13
"tasr-waco-spring-26","4.0 Contender+","Pool","Split Squat Haters","Good Combo","Luke Mowry","Garrett Ashton","Rahul Murthy","Rohil Senapati",21,19
"tasr-waco-spring-26","4.0 Contender+","Pool","Jesuit Runaways","Mm monkee 🦧","Alex Vilela","James Ledbetter IV","Spencer Straddeck","Jared Almon",21,12
"tasr-waco-spring-26","4.0 Contender+","Pool","Receipt Rejects","Allin/Riley","Ian Austin","Tyler Fernandez","Aidan Riley","Micah Allin",16,21
"tasr-waco-spring-26","4.0 Contender+","Pool","Slim Chickens","Balls in Play","Iason Hayes","Nathan Garcia","Evan Deragon","David Z",23,21
"tasr-waco-spring-26","4.0 Contender+","Round of 16","Jesuit Runaways","Mm monkee 🦧","Alex Vilela","James Ledbetter IV","Spencer Straddeck","Jared Almon",15,21
"tasr-waco-spring-26","4.0 Contender+","Round of 16","Jesuit Runaways","Mm monkee 🦧","Alex Vilela","James Ledbetter IV","Spencer Straddeck","Jared Almon",21,16
"tasr-waco-spring-26","4.0 Contender+","Round of 16","Jesuit Runaways","Mm monkee 🦧","Alex Vilela","James Ledbetter IV","Spencer Straddeck","Jared Almon",21,17
"tasr-waco-spring-26","4.0 Contender+","Round of 16","Balls in Play","Sgt. Snuggles & Lt. Lollipop ","Evan Deragon","David Z","Luis Orozco","Bryce Wagoner",18,21
"tasr-waco-spring-26","4.0 Contender+","Round of 16","Balls in Play","Sgt. Snuggles & Lt. Lollipop ","Evan Deragon","David Z","Luis Orozco","Bryce Wagoner",21,18
"tasr-waco-spring-26","4.0 Contender+","Round of 16","Balls in Play","Sgt. Snuggles & Lt. Lollipop ","Evan Deragon","David Z","Luis Orozco","Bryce Wagoner",13,21
"tasr-waco-spring-26","4.0 Contender+","Quarter-final","Split Squat Haters","Sgt. Snuggles & Lt. Lollipop ","Luke Mowry","Garrett Ashton","Luis Orozco","Bryce Wagoner",21,13
"tasr-waco-spring-26","4.0 Contender+","Quarter-final","Split Squat Haters","Sgt. Snuggles & Lt. Lollipop ","Luke Mowry","Garrett Ashton","Luis Orozco","Bryce Wagoner",21,16
"tasr-waco-spring-26","4.0 Contender+","Quarter-final","Allin/Riley","Jesuit Runaways","Aidan Riley","Micah Allin","Alex Vilela","James Ledbetter IV",21,11
