"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"tc qual 2022 van","Men's Elite / Élite (masculin)","Pool","Swamp Donkeys","Jake n Josh","Emerson Dean","Etienne Cote","Joshua Chui","Jake Jimenez",21,9
"tc qual 2022 van","Men's Elite / Élite (masculin)","Pool","Gingey","Fries & Rice","Jordan Brandes","Josh Brandes","Bram Declercq","Carlin Vicera",25,24
"tc qual 2022 van","Men's Elite / Élite (masculin)","Pool","Sub-Zero","Fortified","Gabriel Monfette","Olivier Aglot","Carlos Nakamura","Blake Clarke",21,15
"tc qual 2022 van","Men's Elite / Élite (masculin)","Pool","CRO Weather Boosted","Read/White Memory","Adrian Garcea","Nicholas Puopolo","Liam Read","Justin White",14,21
"tc qual 2022 van","Men's Elite / Élite (masculin)","Pool","Wesburn",";-)","Eddy Leung","Ivan Zeng","kolton falk","Josiah  Falk",21,11
"tc qual 2022 van","Men's Elite / Élite (masculin)","Pool","CRO Premier and 30?!? 😱","wraith and gibby","Tyler Babin","Chris Brown","Joshua Chang","Jovan Tang",21,11
"tc qual 2022 van","Men's Elite / Élite (masculin)","Pool","Prairie Oysters","JK Spikes","Keaton Kirchner","Deryk Kirchner","Kirby Bauman","Jaden Weber",21,13
"tc qual 2022 van","Men's Elite / Élite (masculin)","Pool","Swamp Donkeys","Fries & Rice","Emerson Dean","Etienne Cote","Bram Declercq","Carlin Vicera",21,12
"tc qual 2022 van","Men's Elite / Élite (masculin)","Pool","Cuts Wide Man","Jake n Josh","Jake Lepp","Nick Wideman","Joshua Chui","Jake Jimenez",21,8
"tc qual 2022 van","Men's Elite / Élite (masculin)","Pool","Sub-Zero","Read/White Memory","Gabriel Monfette","Olivier Aglot","Liam Read","Justin White",21,16
"tc qual 2022 van","Men's Elite / Élite (masculin)","Pool","WILL you SUMERy me","Fortified","Jake Lepp","sumer dass","Carlos Nakamura","Blake Clarke",21,18
"tc qual 2022 van","Men's Elite / Élite (masculin)","Pool","Wesburn","wraith and gibby","Eddy Leung","Ivan Zeng","Joshua Chang","Jovan Tang",21,14
