"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"tc qual qc 2022","Men's Elite / Élite (masculin)","Pool","Let's Go!!!","Swinging Sloths","Thomas Déry","Vincent Bastrash","Logan Snair","Shane Soto",21,14
"tc qual qc 2022","Men's Elite / Élite (masculin)","Pool","Wasabi","CRO rimmer season","Marc Etienne McLaughlin","Vincent Mathieu","Tyler Babin","Nicholas Puopolo",21,13
"tc qual qc 2022","Men's Elite / Élite (masculin)","Pool","Sub-Zero","Wesburn","Olivier Aglot","Gabriel Monfette","Eddy Leung","Ivan Zeng",18,21
"tc qual qc 2022","Men's Elite / Élite (masculin)","Pool","miniclip.com","Les Cowboys","Julien Paquette","Élie Pilon","Félix Arbour-Loyer","Guillaume Arbour-Loyer",21,16
"tc qual qc 2022","Men's Elite / Élite (masculin)","Pool","The Prince","CRO K6","Maxime Prince","Samuel Prince","Adrian Garcea","Eric Reinke",21,14
"tc qual qc 2022","Men's Elite / Élite (masculin)","Pool","Simply's Back","PB & J","Guillaume Jomphe","Olivier Laurin","Peter Lam","Bryan Fonseca",21,12
"tc qual qc 2022","Men's Elite / Élite (masculin)","Pool","Swamp Donkeys","Average Joe’s","Etienne Cote","Emerson Dean","Ben Pernfuss","Chris Brown",21,11
"tc qual qc 2022","Men's Elite / Élite (masculin)","Pool","Mario & Luigi","Happy Endings","Vincent Mailloux","Jean-Philippe Miller-Dussault","Alexandre Lamarre","Karl Pominville",18,21
"tc qual qc 2022","Men's Elite / Élite (masculin)","Pool","Let's Go!!!","CRO rimmer season","Thomas Déry","Vincent Bastrash","Tyler Babin","Nicholas Puopolo",21,15
"tc qual qc 2022","Men's Elite / Élite (masculin)","Pool","Wasabi","Les Cowboys","Marc Etienne McLaughlin","Vincent Mathieu","Félix Arbour-Loyer","Guillaume Arbour-Loyer",21,15
"tc qual qc 2022","Men's Elite / Élite (masculin)","Pool","Sub-Zero","miniclip.com","Olivier Aglot","Gabriel Monfette","Julien Paquette","Élie Pilon",21,16
"tc qual qc 2022","Men's Elite / Élite (masculin)","Pool","Wesburn","Swinging Sloths","Eddy Leung","Ivan Zeng","Logan Snair","Shane Soto",21,23
"tc qual qc 2022","Men's Elite / Élite (masculin)","Pool","The Prince","PB & J","Maxime Prince","Samuel Prince","Peter Lam","Bryan Fonseca",21,14
"tc qual qc 2022","Men's Elite / Élite (masculin)","Pool","Simply's Back","Happy Endings","Guillaume Jomphe","Olivier Laurin","Alexandre Lamarre","Karl Pominville",21,11
"tc qual qc 2022","Men's Elite / Élite (masculin)","Pool","Swamp Donkeys","Mario & Luigi","Etienne Cote","Emerson Dean","Vincent Mailloux","Jean-Philippe Miller-Dussault",21,11
"tc qual qc 2022","Men's Elite / Élite (masculin)","Pool","Average Joe’s","CRO K6","Ben Pernfuss","Chris Brown","Adrian Garcea","Eric Reinke",21,16
"tc qual qc 2022","Men's Elite / Élite (masculin)","Pool","Let's Go!!!","Wesburn","Thomas Déry","Vincent Bastrash","Eddy Leung","Ivan Zeng",21,18
"tc qual qc 2022","Men's Elite / Élite (masculin)","Pool","Wasabi","Sub-Zero","Marc Etienne McLaughlin","Vincent Mathieu","Olivier Aglot","Gabriel Monfette",21,17
"tc qual qc 2022","Men's Elite / Élite (masculin)","Pool","miniclip.com","Swinging Sloths","Julien Paquette","Élie Pilon","Logan Snair","Shane Soto",21,17
"tc qual qc 2022","Men's Elite / Élite (masculin)","Pool","Les Cowboys","CRO rimmer season","Félix Arbour-Loyer","Guillaume Arbour-Loyer","Tyler Babin","Nicholas Puopolo",18,21
"tc qual qc 2022","Men's Elite / Élite (masculin)","Pool","The Prince","Average Joe’s","Maxime Prince","Samuel Prince","Ben Pernfuss","Chris Brown",21,17
"tc qual qc 2022","Men's Elite / Élite (masculin)","Pool","Simply's Back","Swamp Donkeys","Guillaume Jomphe","Olivier Laurin","Etienne Cote","Emerson Dean",15,21
"tc qual qc 2022","Men's Elite / Élite (masculin)","Pool","Mario & Luigi","CRO K6","Vincent Mailloux","Jean-Philippe Miller-Dussault","Adrian Garcea","Eric Reinke",18,21
"tc qual qc 2022","Men's Elite / Élite (masculin)","Pool","Happy Endings","PB & J","Alexandre Lamarre","Karl Pominville","Peter Lam","Bryan Fonseca",21,16
"tc qual qc 2022","Men's Elite / Élite (masculin)","Pool","Let's Go!!!","Les Cowboys","Thomas Déry","Vincent Bastrash","Félix Arbour-Loyer","Guillaume Arbour-Loyer",21,12
"tc qual qc 2022","Men's Elite / Élite (masculin)","Pool","Wasabi","Swinging Sloths","Marc Etienne McLaughlin","Vincent Mathieu","Logan Snair","Shane Soto",21,13
"tc qual qc 2022","Men's Elite / Élite (masculin)","Pool","Sub-Zero","CRO rimmer season","Olivier Aglot","Gabriel Monfette","Tyler Babin","Nicholas Puopolo",21,16
"tc qual qc 2022","Men's Elite / Élite (masculin)","Pool","miniclip.com","Wesburn","Julien Paquette","Élie Pilon","Eddy Leung","Ivan Zeng",17,21
"tc qual qc 2022","Men's Elite / Élite (masculin)","Pool","The Prince","Happy Endings","Maxime Prince","Samuel Prince","Alexandre Lamarre","Karl Pominville",21,16
"tc qual qc 2022","Men's Elite / Élite (masculin)","Pool","Simply's Back","CRO K6","Guillaume Jomphe","Olivier Laurin","Adrian Garcea","Eric Reinke",21,12
