"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"tc selection 2024","Men's Elite","Pool","Hold my beer","Pigeons","Vincent Mathieu","Guillaume Bilodeau","Nicolas Leroux","Xavier Lambert",21,13
"tc selection 2024","Men's Elite","Pool","ARC Road Runner","🌲 BHAD Boys","Keaton Kirchner","Spencer Longfellow","Nethaniel Gabriel","Joey Renaud",21,17
"tc selection 2024","Men's Elite","Pool","Guillemette / Paradis","Chenier/Hassan","Lou Paradis","Simon Guillemette","William Chenier","Adam Hassan",21,19
"tc selection 2024","Men's Elite","Pool","The Prince","Short and Sweet","Maxime Prince","Samuel Prince","Pierre-Luc Robitaille","Olivier Bernard",21,11
"tc selection 2024","Men's Elite","Pool","CRO rimmer season","Stinky Goofies","Tyler Babin","Nicholas Puopolo","Chris Loubert","Guillaume Boilard",21,16
"tc selection 2024","Men's Elite","Pool","spot on","Falcon Punch","Nick Wideman","Will Ries","Luc Vincent Guay","William Garant",21,9
"tc selection 2024","Men's Elite","Pool","Copy & Paste","Collard/Soetemans","Eddy Leung","Chris Brown","Andrew Collard","Derek Soetemans",21,5
"tc selection 2024","Men's Elite","Pool","Gains","Quick Hands","Anthony St-Martin","Jé Gagnon","Jordan Meredith","Joël Laliberté",21,14
"tc selection 2024","Men's Elite","Pool","NEM Meticulous","Wavy","Brock Leibold","Ben Pernfuss","Jared Ang","brandon farronato",21,17
"tc selection 2024","Men's Elite","Pool","Wild","Impeccable💎","Emerson Dean","Olivier Laurin","Charles Desgens","Pierre-André Gaumond",21,13
"tc selection 2024","Men's Elite","Pool","Coast to coast","PB & GAVIN","Elijah Kim","Thomas Déry","Gavin De Moura","Bryan Fonseca",21,9
"tc selection 2024","Men's Elite","Pool","bonk","CRO Indi Partners","Leonardo Tullo","Reilly Paquette","Austin Ha","Joshua Hachey",18,21
"tc selection 2024","Men's Elite","Pool","Hold my beer","🌲 BHAD Boys","Vincent Mathieu","Guillaume Bilodeau","Nethaniel Gabriel","Joey Renaud",21,18
"tc selection 2024","Men's Elite","Pool","ARC Road Runner","Guillemette / Paradis","Keaton Kirchner","Spencer Longfellow","Lou Paradis","Simon Guillemette",31,29
"tc selection 2024","Men's Elite","Pool","Chenier/Hassan","Pigeons","William Chenier","Adam Hassan","Nicolas Leroux","Xavier Lambert",21,13
"tc selection 2024","Men's Elite","Pool","The Prince","Stinky Goofies","Maxime Prince","Samuel Prince","Chris Loubert","Guillaume Boilard",21,10
"tc selection 2024","Men's Elite","Pool","CRO rimmer season","spot on","Tyler Babin","Nicholas Puopolo","Nick Wideman","Will Ries",21,14
"tc selection 2024","Men's Elite","Pool","Falcon Punch","Short and Sweet","Luc Vincent Guay","William Garant","Pierre-Luc Robitaille","Olivier Bernard",21,17
"tc selection 2024","Men's Elite","Pool","Copy & Paste","Quick Hands","Eddy Leung","Chris Brown","Jordan Meredith","Joël Laliberté",21,10
"tc selection 2024","Men's Elite","Pool","Gains","NEM Meticulous","Anthony St-Martin","Jé Gagnon","Brock Leibold","Ben Pernfuss",21,7
"tc selection 2024","Men's Elite","Pool","Wavy","Collard/Soetemans","Jared Ang","brandon farronato","Andrew Collard","Derek Soetemans",21,11
"tc selection 2024","Men's Elite","Pool","Wild","PB & GAVIN","Emerson Dean","Olivier Laurin","Gavin De Moura","Bryan Fonseca",21,12
"tc selection 2024","Men's Elite","Pool","Coast to coast","bonk","Elijah Kim","Thomas Déry","Leonardo Tullo","Reilly Paquette",21,10
"tc selection 2024","Men's Elite","Pool","CRO Indi Partners","Impeccable💎","Austin Ha","Joshua Hachey","Charles Desgens","Pierre-André Gaumond",17,21
"tc selection 2024","Men's Elite","Pool","Hold my beer","Chenier/Hassan","Vincent Mathieu","Guillaume Bilodeau","William Chenier","Adam Hassan",24,22
"tc selection 2024","Men's Elite","Pool","ARC Road Runner","Pigeons","Keaton Kirchner","Spencer Longfellow","Nicolas Leroux","Xavier Lambert",21,11
"tc selection 2024","Men's Elite","Pool","Guillemette / Paradis","🌲 BHAD Boys","Lou Paradis","Simon Guillemette","Nethaniel Gabriel","Joey Renaud",21,18
