"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"thoroughbredcupusar","Open","Pool","Itsy Bitsy Spider","Macroball","Ryan Marino","Clifford Amadeo LeVeque","Jacob U'Wren","Kai Zafren",21,12
"thoroughbredcupusar","Open","Pool","Cut serve cut serve cut serve","Double Support Meta","Aleks Essen","Izayah Gibson","Joe Duvic","Mike Hamilton",21,10
"thoroughbredcupusar","Open","Pool","Just geekin","Super Big Boys","Gabriel Skaggs","Zeke Friedeman","Michael Verst","Nate Verst",21,7
"thoroughbredcupusar","Open","Pool","Golden-Dongs","Pacers in 7","Matt Sak","Ethan Ivey","Jacob Hoff","Vimal Chetty",21,8
"thoroughbredcupusar","Open","Pool","Slammoed","Spike Tuah","Nathan Warner","Lance Markowitz","Jack Van Riper","Drew Davis",21,12
"thoroughbredcupusar","Open","Pool","horn and friends","Test","Ryan Hornbeck","Wesley Elliott","Josiah McKinney","Kentucky Roundnet Association",21,1
"thoroughbredcupusar","Open","Pool","Good News","Spikeology 101","Logan Graham","Evan Talley","Heather Verst","Judah Verst",21,9
"thoroughbredcupusar","Open","Pool","groovy","Crossfire","Micah Rawalt","Sal Guagenti","eddie francis","Connor Wallace",21,15
"thoroughbredcupusar","Open","Pool","Itsy Bitsy Spider","Double Support Meta","Ryan Marino","Clifford Amadeo LeVeque","Joe Duvic","Mike Hamilton",21,13
"thoroughbredcupusar","Open","Pool","Hoopers at Heart","Macroball","Nick Evanko","Josiah McKinney","Jacob U'Wren","Kai Zafren",21,15
"thoroughbredcupusar","Open","Pool","Just geekin","Pacers in 7","Gabriel Skaggs","Zeke Friedeman","Jacob Hoff","Vimal Chetty",21,4
"thoroughbredcupusar","Open","Pool","Golden-Dongs","Slammoed","Matt Sak","Ethan Ivey","Nathan Warner","Lance Markowitz",13,21
"thoroughbredcupusar","Open","Pool","Spike Tuah","Super Big Boys","Jack Van Riper","Drew Davis","Michael Verst","Nate Verst",21,7
"thoroughbredcupusar","Open","Pool","horn and friends","Spikeology 101","Ryan Hornbeck","Wesley Elliott","Heather Verst","Judah Verst",21,5
"thoroughbredcupusar","Open","Pool","Good News","groovy","Logan Graham","Evan Talley","Micah Rawalt","Sal Guagenti",19,21
"thoroughbredcupusar","Open","Pool","Crossfire","Test","eddie francis","Connor Wallace","Josiah McKinney","Kentucky Roundnet Association",21,6
"thoroughbredcupusar","Open","Pool","Itsy Bitsy Spider","Hoopers at Heart","Ryan Marino","Clifford Amadeo LeVeque","Nick Evanko","Josiah McKinney",17,21
"thoroughbredcupusar","Open","Pool","Cut serve cut serve cut serve","Macroball","Aleks Essen","Izayah Gibson","Jacob U'Wren","Kai Zafren",21,15
"thoroughbredcupusar","Open","Pool","Just geekin","Spike Tuah","Gabriel Skaggs","Zeke Friedeman","Jack Van Riper","Drew Davis",21,10
"thoroughbredcupusar","Open","Pool","Golden-Dongs","Super Big Boys","Matt Sak","Ethan Ivey","Michael Verst","Nate Verst",21,13
"thoroughbredcupusar","Open","Pool","Slammoed","Pacers in 7","Nathan Warner","Lance Markowitz","Jacob Hoff","Vimal Chetty",21,4
"thoroughbredcupusar","Open","Pool","horn and friends","Crossfire","Ryan Hornbeck","Wesley Elliott","eddie francis","Connor Wallace",21,15
"thoroughbredcupusar","Open","Pool","Good News","Test","Logan Graham","Evan Talley","Josiah McKinney","Kentucky Roundnet Association",21,13
"thoroughbredcupusar","Open","Pool","groovy","Spikeology 101","Micah Rawalt","Sal Guagenti","Heather Verst","Judah Verst",21,6
"thoroughbredcupusar","Open","Pool","Cut serve cut serve cut serve","Hoopers at Heart","Aleks Essen","Izayah Gibson","Nick Evanko","Josiah McKinney",21,17
"thoroughbredcupusar","Open","Pool","Double Support Meta","Macroball","Joe Duvic","Mike Hamilton","Jacob U'Wren","Kai Zafren",21,15
"thoroughbredcupusar","Open","Pool","Just geekin","Slammoed","Gabriel Skaggs","Zeke Friedeman","Nathan Warner","Lance Markowitz",25,23
"thoroughbredcupusar","Open","Pool","Golden-Dongs","Spike Tuah","Matt Sak","Ethan Ivey","Jack Van Riper","Drew Davis",21,17
"thoroughbredcupusar","Open","Pool","Pacers in 7","Super Big Boys","Jacob Hoff","Vimal Chetty","Michael Verst","Nate Verst",21,8
"thoroughbredcupusar","Open","Pool","horn and friends","groovy","Ryan Hornbeck","Wesley Elliott","Micah Rawalt","Sal Guagenti",15,21
"thoroughbredcupusar","Open","Pool","Good News","Crossfire","Logan Graham","Evan Talley","eddie francis","Connor Wallace",15,21
"thoroughbredcupusar","Open","Pool","Spikeology 101","Test","Heather Verst","Judah Verst","Josiah McKinney","Kentucky Roundnet Association",25,24
"thoroughbredcupusar","Open","Pool","Itsy Bitsy Spider","Cut serve cut serve cut serve","Ryan Marino","Clifford Amadeo LeVeque","Aleks Essen","Izayah Gibson",21,16
"thoroughbredcupusar","Open","Pool","Hoopers at Heart","Double Support Meta","Nick Evanko","Josiah McKinney","Joe Duvic","Mike Hamilton",21,13
"thoroughbredcupusar","Open","Pool","Just geekin","Golden-Dongs","Gabriel Skaggs","Zeke Friedeman","Matt Sak","Ethan Ivey",21,2
"thoroughbredcupusar","Open","Pool","Slammoed","Super Big Boys","Nathan Warner","Lance Markowitz","Michael Verst","Nate Verst",21,3
"thoroughbredcupusar","Open","Pool","Spike Tuah","Pacers in 7","Jack Van Riper","Drew Davis","Jacob Hoff","Vimal Chetty",21,15
"thoroughbredcupusar","Open","Pool","horn and friends","Good News","Ryan Hornbeck","Wesley Elliott","Logan Graham","Evan Talley",21,19
"thoroughbredcupusar","Open","Pool","groovy","Test","Micah Rawalt","Sal Guagenti","Josiah McKinney","Kentucky Roundnet Association",21,5
"thoroughbredcupusar","Open","Pool","Crossfire","Spikeology 101","eddie francis","Connor Wallace","Heather Verst","Judah Verst",21,9
"thoroughbredcupusar","Open","Round of 32","Test","Super Big Boys","Josiah McKinney","Kentucky Roundnet Association","Michael Verst","Nate Verst",0,1
"thoroughbredcupusar","Open","Round of 16","Itsy Bitsy Spider","Super Big Boys","Ryan Marino","Clifford Amadeo LeVeque","Michael Verst","Nate Verst",21,4
"thoroughbredcupusar","Open","Round of 16","Itsy Bitsy Spider","Super Big Boys","Ryan Marino","Clifford Amadeo LeVeque","Michael Verst","Nate Verst",21,10
"thoroughbredcupusar","Open","Round of 16","Cut serve cut serve cut serve","Spikeology 101","Aleks Essen","Izayah Gibson","Heather Verst","Judah Verst",1,0
"thoroughbredcupusar","Open","Round of 16","Cut serve cut serve cut serve","Spikeology 101","Aleks Essen","Izayah Gibson","Heather Verst","Judah Verst",1,0
"thoroughbredcupusar","Open","Round of 16","Hoopers at Heart","Pacers in 7","Nick Evanko","Josiah McKinney","Jacob Hoff","Vimal Chetty",21,14
"thoroughbredcupusar","Open","Round of 16","Hoopers at Heart","Pacers in 7","Nick Evanko","Josiah McKinney","Jacob Hoff","Vimal Chetty",21,13
"thoroughbredcupusar","Open","Round of 16","Double Support Meta","Spike Tuah","Joe Duvic","Mike Hamilton","Jack Van Riper","Drew Davis",21,12
"thoroughbredcupusar","Open","Round of 16","Double Support Meta","Spike Tuah","Joe Duvic","Mike Hamilton","Jack Van Riper","Drew Davis",21,8
"thoroughbredcupusar","Open","Round of 16","Macroball","Good News","Jacob U'Wren","Kai Zafren","Logan Graham","Evan Talley",21,18
"thoroughbredcupusar","Open","Round of 16","Macroball","Good News","Jacob U'Wren","Kai Zafren","Logan Graham","Evan Talley",21,15
"thoroughbredcupusar","Open","Round of 16","Just geekin","Golden-Dongs","Gabriel Skaggs","Zeke Friedeman","Matt Sak","Ethan Ivey",21,18
"thoroughbredcupusar","Open","Round of 16","Just geekin","Golden-Dongs","Gabriel Skaggs","Zeke Friedeman","Matt Sak","Ethan Ivey",21,16
"thoroughbredcupusar","Open","Round of 16","groovy","Crossfire","Micah Rawalt","Sal Guagenti","eddie francis","Connor Wallace",0,1
"thoroughbredcupusar","Open","Round of 16","groovy","Crossfire","Micah Rawalt","Sal Guagenti","eddie francis","Connor Wallace",0,1
"thoroughbredcupusar","Open","Round of 16","Slammoed","horn and friends","Nathan Warner","Lance Markowitz","Ryan Hornbeck","Wesley Elliott",21,15
"thoroughbredcupusar","Open","Round of 16","Slammoed","horn and friends","Nathan Warner","Lance Markowitz","Ryan Hornbeck","Wesley Elliott",21,16
"thoroughbredcupusar","Open","Quarter-final","Itsy Bitsy Spider","Slammoed","Ryan Marino","Clifford Amadeo LeVeque","Nathan Warner","Lance Markowitz",21,14
"thoroughbredcupusar","Open","Quarter-final","Itsy Bitsy Spider","Slammoed","Ryan Marino","Clifford Amadeo LeVeque","Nathan Warner","Lance Markowitz",21,13
"thoroughbredcupusar","Open","Quarter-final","Cut serve cut serve cut serve","Crossfire","Aleks Essen","Izayah Gibson","eddie francis","Connor Wallace",21,17
"thoroughbredcupusar","Open","Quarter-final","Cut serve cut serve cut serve","Crossfire","Aleks Essen","Izayah Gibson","eddie francis","Connor Wallace",21,5
"thoroughbredcupusar","Open","Quarter-final","Hoopers at Heart","Just geekin","Nick Evanko","Josiah McKinney","Gabriel Skaggs","Zeke Friedeman",21,16
"thoroughbredcupusar","Open","Quarter-final","Hoopers at Heart","Just geekin","Nick Evanko","Josiah McKinney","Gabriel Skaggs","Zeke Friedeman",27,25
"thoroughbredcupusar","Open","Quarter-final","Double Support Meta","Macroball","Joe Duvic","Mike Hamilton","Jacob U'Wren","Kai Zafren",21,14
"thoroughbredcupusar","Open","Quarter-final","Double Support Meta","Macroball","Joe Duvic","Mike Hamilton","Jacob U'Wren","Kai Zafren",21,13
"thoroughbredcupusar","Open","P9: Quarter-final","Golden-Dongs","Pacers in 7","Matt Sak","Ethan Ivey","Jacob Hoff","Vimal Chetty",19,21
