"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"ugasfac","Expert","Pool","Too Much Jamz","Luh Power","Sean Caufield","Andrew Yancey","Carson Kurdys","Hudson Powers",21,6
"ugasfac","Expert","Pool","boner alert","Memory Lanes","Jackson Smith","Isaac Mixon","Cole Solomon","Joseph Motto",21,17
"ugasfac","Expert","Pool","Hindsight","PB&J","Peyton Stack","Noah Luskus","Joseph Gibson","Paul Berrey",21,8
"ugasfac","Expert","Pool","And-One Mixtape","Green Turkey and Ham(ilton)","Owen Bass","Braedan Thomas","McKenna McKean","Savannah Obert",21,16
"ugasfac","Expert","Pool","Pull Day","lefty flip","Lane Morris","Justin Goldman","Austin Smith","Will Blass",18,21
"ugasfac","Expert","Pool","Cocoa Butter Kisses","THE OLD GUYS","Grant Marshall","Brendan Ferreira","Jake Scharff","Ben Jones",21,5
"ugasfac","Expert","Pool","Kloehn/Savage","Barbershop","Connar Kloehn","Ben Savage","Jacob Stewart","Wyatt Koth",21,15
"ugasfac","Expert","Pool","Zen","Set Fire 🔥","Ben Landes","Zeke Beckford","Eli Canon","Garret Chaffins",21,17
"ugasfac","Expert","Pool","Golden Millers","Premier = Retirement","Harrison Baisden","Nate von der Sitt","Matthew Waisner","Adam Prudhomme",21,8
"ugasfac","Expert","Pool","Walmart Creamy","Blind Date ","Jeremy Lee","Colton Olvey","Levi Campbell","Jake Kelley",21,20
"ugasfac","Expert","Pool","Devious Little Goblins ","Lunar","Spencer Sexton","Austin Niles","Daniel Titherington","Anthony Schenk",21,11
"ugasfac","Expert","Pool","Too Much Jamz","Memory Lanes","Sean Caufield","Andrew Yancey","Cole Solomon","Joseph Motto",21,14
"ugasfac","Expert","Pool","Steady Mobbin","Luh Power","Parker Mckinney","Bradley Clark","Carson Kurdys","Hudson Powers",21,16
"ugasfac","Expert","Pool","Hindsight","Green Turkey and Ham(ilton)","Peyton Stack","Noah Luskus","McKenna McKean","Savannah Obert",21,10
"ugasfac","Expert","Pool","And-One Mixtape","Pull Day","Owen Bass","Braedan Thomas","Lane Morris","Justin Goldman",21,19
"ugasfac","Expert","Pool","lefty flip","PB&J","Austin Smith","Will Blass","Joseph Gibson","Paul Berrey",21,16
"ugasfac","Expert","Pool","Cocoa Butter Kisses","Barbershop","Grant Marshall","Brendan Ferreira","Jacob Stewart","Wyatt Koth",21,18
"ugasfac","Expert","Pool","Kloehn/Savage","Zen","Connar Kloehn","Ben Savage","Ben Landes","Zeke Beckford",15,21
"ugasfac","Expert","Pool","Set Fire 🔥","THE OLD GUYS","Eli Canon","Garret Chaffins","Jake Scharff","Ben Jones",21,15
"ugasfac","Expert","Pool","Golden Millers","Blind Date ","Harrison Baisden","Nate von der Sitt","Levi Campbell","Jake Kelley",21,18
"ugasfac","Expert","Pool","Walmart Creamy","Devious Little Goblins ","Jeremy Lee","Colton Olvey","Spencer Sexton","Austin Niles",18,21
"ugasfac","Expert","Pool","Lunar","Premier = Retirement","Daniel Titherington","Anthony Schenk","Matthew Waisner","Adam Prudhomme",21,16
"ugasfac","Expert","Pool","Too Much Jamz","Steady Mobbin","Sean Caufield","Andrew Yancey","Parker Mckinney","Bradley Clark",21,9
"ugasfac","Expert","Pool","boner alert","Luh Power","Jackson Smith","Isaac Mixon","Carson Kurdys","Hudson Powers",20,21
"ugasfac","Expert","Pool","Hindsight","lefty flip","Peyton Stack","Noah Luskus","Austin Smith","Will Blass",21,11
