"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"usa-can-2025","Open 2.0-3.0","Pool","Happy 2 be here","Thing 1 and thing 2","Samantha Crawford","Jacob Sim","Alejandro Serna","Daniel Ospina",7,21
"usa-can-2025","Open 2.0-3.0","Pool","Scotchies ","Pasta La vista","Mason Hansen","katie evans","Luca Benanti","Michael Giordano",21,15
"usa-can-2025","Open 2.0-3.0","Pool","Happy 2 be here","Pasta La vista","Samantha Crawford","Jacob Sim","Luca Benanti","Michael Giordano",15,21
"usa-can-2025","Open 2.0-3.0","Pool","Scotchies ","Thing 1 and thing 2","Mason Hansen","katie evans","Alejandro Serna","Daniel Ospina",13,21
"usa-can-2025","Open 2.0-3.0","Pool","Happy 2 be here","Scotchies ","Samantha Crawford","Jacob Sim","Mason Hansen","katie evans",6,21
"usa-can-2025","Open 2.0-3.0","Pool","Pasta La vista","Thing 1 and thing 2","Luca Benanti","Michael Giordano","Alejandro Serna","Daniel Ospina",9,21
"usa-can-2025","Open 2.0-3.0","Quarter-final","Pasta La vista","Happy 2 be here","Luca Benanti","Michael Giordano","Samantha Crawford","Jacob Sim",21,18
"usa-can-2025","Open 2.0-3.0","Quarter-final","Pasta La vista","Happy 2 be here","Luca Benanti","Michael Giordano","Samantha Crawford","Jacob Sim",1,0
"usa-can-2025","Open 2.0-3.0","Semi-final","Thing 1 and thing 2","Pasta La vista","Alejandro Serna","Daniel Ospina","Luca Benanti","Michael Giordano",21,13
"usa-can-2025","Open 2.0-3.0","Semi-final","Thing 1 and thing 2","Pasta La vista","Alejandro Serna","Daniel Ospina","Luca Benanti","Michael Giordano",21,10
"usa-can-2025","Open 2.0-3.0","Semi-final","Scotchies ","Here to Slay ","Mason Hansen","katie evans","Emma Wosik","Anjali Patel",19,21
"usa-can-2025","Open 2.0-3.0","Semi-final","Scotchies ","Here to Slay ","Mason Hansen","katie evans","Emma Wosik","Anjali Patel",9,21
"usa-can-2025","Open 2.0-3.0","Final","Thing 1 and thing 2","Here to Slay ","Alejandro Serna","Daniel Ospina","Emma Wosik","Anjali Patel",21,16
"usa-can-2025","Open 2.0-3.0","Final","Thing 1 and thing 2","Here to Slay ","Alejandro Serna","Daniel Ospina","Emma Wosik","Anjali Patel",21,12
"usa-can-2025","Open 2.0-3.0","P3: Final","Scotchies ","Pasta La vista","Mason Hansen","katie evans","Luca Benanti","Michael Giordano",16,21
"usa-can-2025","Open 2.0-3.0","P3: Final","Scotchies ","Pasta La vista","Mason Hansen","katie evans","Luca Benanti","Michael Giordano",21,16
"usa-can-2025","Open 2.0-3.0","P3: Final","Scotchies ","Pasta La vista","Mason Hansen","katie evans","Luca Benanti","Michael Giordano",17,21
