"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"usar2024east","5.0+ Open","Pool","Rogue","Quick Draw","Thomas Hamilton","Ryan Marino","Pat Marinich","Caleb White",21,14
"usar2024east","5.0+ Open","Pool","Hall Pass","Throwing For Content","Thomas Hoffman","Charlie Camarena","Josh Hutko","Riley Nassour",21,16
"usar2024east","5.0+ Open","Pool","Coffin Flop","Apricot’s Army","Ryan Gross","Matthew Cole","Tyler Keener","Jake Hurst",21,12
"usar2024east","5.0+ Open","Pool","LL Handsy","Tubby","Jake Mottershead","Matt Spolarich","Sam Mccune","Dustin Grant",21,17
"usar2024east","5.0+ Open","Pool","Mermaid Sparkle","Half Premier","Christian Bennett","Noah Luskus","Noah Vasington","Michael Catuccio",21,16
"usar2024east","5.0+ Open","Pool","Swiss Cheese Defense","Naan Violence ","Tyler Fernandez","Lucas Pruett","Amaan Jaweed","Maxwell Riseman",21,16
"usar2024east","5.0+ Open","Pool","GWR Fat Free","Sugar Rush","A.j. Martin","Calvin Smith","Kyle Fowler","Jacob Narayan",21,17
"usar2024east","5.0+ Open","Pool","Profit Boost","Freakuency Shift","Justin Shaytar","Kieran Rose","Prady Vijayakumar","Seth Cutler",21,15
"usar2024east","5.0+ Open","Pool","New Kid in Town","Weakest Car Seat Headrest Enjoyers","Andrew Greer","Tommy Drake","Jared Dean Katz","Nic Albornoz",21,16
"usar2024east","5.0+ Open","Pool","Slytherin","WOMP WOMP!","Matthew Burrows","Zac Vance","Dalton Gilder","Brandon Stokes",21,15
"usar2024east","5.0+ Open","Pool","Gen Z","Fresh Cuts","Gabriel Finocchi","Connor Prelich","Mike Hamilton","Ethan Westfall",21,12
"usar2024east","5.0+ Open","Pool","Sparky Sparky Boom Men","Ryder/Brown","Sunny Gu","Connor Nelson","Declan Brown","Drew Ryder",21,8
"usar2024east","5.0+ Open","Pool","LL Open Lanes","Parked and wrecked","Josh DiDonato","Mike Garrett","Nathan Montgomery","Samuel Corey",22,20
"usar2024east","5.0+ Open","Pool","Rogue","Throwing For Content","Thomas Hamilton","Ryan Marino","Josh Hutko","Riley Nassour",21,13
"usar2024east","5.0+ Open","Pool","Weather boys","Quick Draw","Joey Maichen","Charles Tipton","Pat Marinich","Caleb White",21,17
"usar2024east","5.0+ Open","Pool","Coffin Flop","Tubby","Ryan Gross","Matthew Cole","Sam Mccune","Dustin Grant",21,10
"usar2024east","5.0+ Open","Pool","Bruh moment","Apricot’s Army","Garrett Blanchard","Jacob Arzaga","Tyler Keener","Jake Hurst",21,14
"usar2024east","5.0+ Open","Pool","Mermaid Sparkle","Naan Violence ","Christian Bennett","Noah Luskus","Amaan Jaweed","Maxwell Riseman",21,11
"usar2024east","5.0+ Open","Pool","Swiss Cheese Defense","GWR Fat Free","Tyler Fernandez","Lucas Pruett","A.j. Martin","Calvin Smith",21,16
"usar2024east","5.0+ Open","Pool","Sugar Rush","Half Premier","Kyle Fowler","Jacob Narayan","Noah Vasington","Michael Catuccio",21,14
"usar2024east","5.0+ Open","Pool","Profit Boost","Weakest Car Seat Headrest Enjoyers","Justin Shaytar","Kieran Rose","Jared Dean Katz","Nic Albornoz",21,16
"usar2024east","5.0+ Open","Pool","New Kid in Town","Slytherin","Andrew Greer","Tommy Drake","Matthew Burrows","Zac Vance",15,21
"usar2024east","5.0+ Open","Pool","WOMP WOMP!","Freakuency Shift","Dalton Gilder","Brandon Stokes","Prady Vijayakumar","Seth Cutler",21,19
