"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"usar2025midwest","5.0 Open Bronze+","Pool","Abrams / Cote","Party Fowl","Dan Abrams","Etienne Cote","Kyle Fowler","Cole Maddox",15,9
"usar2025midwest","5.0 Open Bronze+","Pool","Rogue","J.A.R.V.I.S.","Thomas Hamilton","Ryan Marino","Josh Fragiacomo","Connor Nelson",15,7
"usar2025midwest","5.0 Open Bronze+","Pool","Somewhere between the mountain & the Ant","East River Monsoon ","Gabe Finocchi","Ryan Gross","Kieran Rose","Henry Pilliod",17,19
"usar2025midwest","5.0 Open Bronze+","Pool","Snarl","Buford and Baljeet","Ben Savage","Dawson Morgan","Gabe Packevicz","Manish Nagireddy",15,5
"usar2025midwest","5.0 Open Bronze+","Pool","Man or Muppet","Presidential Industry","Aleks Essen","Jackson Wood","Hampton Chappell","Austin Niles",15,12
"usar2025midwest","5.0 Open Bronze+","Pool","200 Pump","Duo Mobile","Andrew Greer","Zach Snover","Sean Caufield","Eli Canon",15,10
"usar2025midwest","5.0 Open Bronze+","Pool","Reed-iculously Jacked","Scooby Snacks","Reed Drouare","Jack Drouare","Nate von der Sitt","Colin Hobart",5,15
"usar2025midwest","5.0 Open Bronze+","Pool","FreeELO","GOATGENE","Nick Evanko","Clifford Amadeo LeVeque","Wesley Tunelius","Brian Lin",15,1
"usar2025midwest","5.0 Open Bronze+","Pool","bomboclat","Old n’ Broken","Ravi Kandula","Joey Reynolds","Bennett Anderson","Jon Moe",15,13
"usar2025midwest","5.0 Open Bronze+","Pool","No Pressure","what.the.flick?","Alex Newton","Josh Hutko","Taaron Rudzitis","Joren Rudzitis",15,5
"usar2025midwest","5.0 Open Bronze+","Pool","Titan Machine Marketing Scheme","I love hot teachers","Neal Bergman","Chris Wilkins","Mike Hamilton","Kolton Knight",15,9
"usar2025midwest","5.0 Open Bronze+","Pool","Abrams / Cote","J.A.R.V.I.S.","Dan Abrams","Etienne Cote","Josh Fragiacomo","Connor Nelson",20,18
"usar2025midwest","5.0 Open Bronze+","Pool","Rogue","Somewhere between the mountain & the Ant","Thomas Hamilton","Ryan Marino","Gabe Finocchi","Ryan Gross",15,6
"usar2025midwest","5.0 Open Bronze+","Pool","East River Monsoon ","Party Fowl","Kieran Rose","Henry Pilliod","Kyle Fowler","Cole Maddox",10,15
"usar2025midwest","5.0 Open Bronze+","Pool","Snarl","Presidential Industry","Ben Savage","Dawson Morgan","Hampton Chappell","Austin Niles",15,8
