"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"usar2025northeast","4.5+ Women's","Pool","Dolan/Phan","Too old for this","Katheleen Phan","Rachel Dolan","Karah Hui","Holly Yu",24,25
"usar2025northeast","4.5+ Women's","Pool","Carry Set","just want to be loved","Malia Wanderer","Abigale Lamontagne","Kalin Morgan","Joanna Gould",14,21
"usar2025northeast","4.5+ Women's","Pool","Meowdy Purrtners","Chica Chica BOOM!","Tess Dolan","Tiff Ding","Chau Nguyen","Erica Weiler",21,6
"usar2025northeast","4.5+ Women's","Pool","Collab of the century","Big L","Raylyn Tarquinio","Hannah Radell","Lia Maag","Liliko Uchida",21,16
"usar2025northeast","4.5+ Women's","Pool","Stef/Belvedere","DIGGS","Stef Ding","Bel Belvedere","Megan Dwire","Kelsey Higgins",21,6
"usar2025northeast","4.5+ Women's","Pool","C-list spikers","TBD","Cailley Biagini","Christine Chang","Hui Ying Stradiot","Erin Riley",12,21
"usar2025northeast","4.5+ Women's","Pool","Dolan/Phan","just want to be loved","Katheleen Phan","Rachel Dolan","Kalin Morgan","Joanna Gould",10,21
"usar2025northeast","4.5+ Women's","Pool","Carry Set","Too old for this","Malia Wanderer","Abigale Lamontagne","Karah Hui","Holly Yu",21,13
"usar2025northeast","4.5+ Women's","Pool","Meowdy Purrtners","Big L","Tess Dolan","Tiff Ding","Lia Maag","Liliko Uchida",21,12
"usar2025northeast","4.5+ Women's","Pool","Collab of the century","Chica Chica BOOM!","Raylyn Tarquinio","Hannah Radell","Chau Nguyen","Erica Weiler",21,7
"usar2025northeast","4.5+ Women's","Pool","Stef/Belvedere","TBD","Stef Ding","Bel Belvedere","Hui Ying Stradiot","Erin Riley",21,12
"usar2025northeast","4.5+ Women's","Pool","C-list spikers","DIGGS","Cailley Biagini","Christine Chang","Megan Dwire","Kelsey Higgins",21,16
"usar2025northeast","4.5+ Women's","Pool","Dolan/Phan","Carry Set","Katheleen Phan","Rachel Dolan","Malia Wanderer","Abigale Lamontagne",18,21
"usar2025northeast","4.5+ Women's","Pool","just want to be loved","Too old for this","Kalin Morgan","Joanna Gould","Karah Hui","Holly Yu",21,16
"usar2025northeast","4.5+ Women's","Pool","Meowdy Purrtners","Collab of the century","Tess Dolan","Tiff Ding","Raylyn Tarquinio","Hannah Radell",21,13
"usar2025northeast","4.5+ Women's","Pool","Big L","Chica Chica BOOM!","Lia Maag","Liliko Uchida","Chau Nguyen","Erica Weiler",21,10
"usar2025northeast","4.5+ Women's","Pool","Stef/Belvedere","C-list spikers","Stef Ding","Bel Belvedere","Cailley Biagini","Christine Chang",21,14
"usar2025northeast","4.5+ Women's","Pool","TBD","DIGGS","Hui Ying Stradiot","Erin Riley","Megan Dwire","Kelsey Higgins",21,6
"usar2025northeast","4.5+ Women's","Round of 16","Meowdy Purrtners","DIGGS","Tess Dolan","Tiff Ding","Megan Dwire","Kelsey Higgins",21,7
"usar2025northeast","4.5+ Women's","Round of 16","Meowdy Purrtners","DIGGS","Tess Dolan","Tiff Ding","Megan Dwire","Kelsey Higgins",21,7
"usar2025northeast","4.5+ Women's","Round of 16","Stef/Belvedere","Chica Chica BOOM!","Stef Ding","Bel Belvedere","Chau Nguyen","Erica Weiler",21,9
"usar2025northeast","4.5+ Women's","Round of 16","Stef/Belvedere","Chica Chica BOOM!","Stef Ding","Bel Belvedere","Chau Nguyen","Erica Weiler",21,14
"usar2025northeast","4.5+ Women's","Round of 16","Collab of the century","C-list spikers","Raylyn Tarquinio","Hannah Radell","Cailley Biagini","Christine Chang",19,21
"usar2025northeast","4.5+ Women's","Round of 16","Collab of the century","C-list spikers","Raylyn Tarquinio","Hannah Radell","Cailley Biagini","Christine Chang",21,12
"usar2025northeast","4.5+ Women's","Round of 16","Collab of the century","C-list spikers","Raylyn Tarquinio","Hannah Radell","Cailley Biagini","Christine Chang",21,15
"usar2025northeast","4.5+ Women's","Round of 16","TBD","Big L","Hui Ying Stradiot","Erin Riley","Lia Maag","Liliko Uchida",21,16
"usar2025northeast","4.5+ Women's","Round of 16","TBD","Big L","Hui Ying Stradiot","Erin Riley","Lia Maag","Liliko Uchida",11,21
"usar2025northeast","4.5+ Women's","Round of 16","TBD","Big L","Hui Ying Stradiot","Erin Riley","Lia Maag","Liliko Uchida",22,20
"usar2025northeast","4.5+ Women's","Quarter-final","just want to be loved","TBD","Kalin Morgan","Joanna Gould","Hui Ying Stradiot","Erin Riley",21,11
"usar2025northeast","4.5+ Women's","Quarter-final","just want to be loved","TBD","Kalin Morgan","Joanna Gould","Hui Ying Stradiot","Erin Riley",21,14
