"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"usar2025west","5.0 Open Bronze+","Pool","NEU Top Dogs","LER","Dan Abrams","Connor Nelson","Kyler Cote","Tyler Stokes",21,9
"usar2025west","5.0 Open Bronze+","Pool","Cummings/Woolley","Party Fowl","Caleb Cummings","Jake Woolley","Cole Maddox","Kyle Fowler",21,18
"usar2025west","5.0 Open Bronze+","Pool","Drawing Dead","Naz Reid","Tyler Fernandez","Kieran Rose","Nathan Robertt","Kyan Kornfeld",22,24
"usar2025west","5.0 Open Bronze+","Pool","spot on","Sam and Bryce","Nick Wideman","Will Ries","Bryce Jacobsen","Sam Clarke",21,17
"usar2025west","5.0 Open Bronze+","Pool","Ok fire!","Imposters","David Gonzales","Luke Pennington","James Lamkin","Reece Greer",14,21
"usar2025west","5.0 Open Bronze+","Pool","Trey's Padres","GOATGENE","Blake Van Den Top","Solomon Berry","Michael Capobianco","Wesley Tunelius",21,14
"usar2025west","5.0 Open Bronze+","Pool","Tranzit","Walkie-Talkie","Bradley Clark","Peyton Stack","Jake Young","Jai Parera",17,21
"usar2025west","5.0 Open Bronze+","Pool","NEU Top Dogs","Party Fowl","Dan Abrams","Connor Nelson","Cole Maddox","Kyle Fowler",20,22
"usar2025west","5.0 Open Bronze+","Pool","Cummings/Woolley","Drawing Dead","Caleb Cummings","Jake Woolley","Tyler Fernandez","Kieran Rose",16,21
"usar2025west","5.0 Open Bronze+","Pool","Naz Reid","LER","Nathan Robertt","Kyan Kornfeld","Kyler Cote","Tyler Stokes",21,13
"usar2025west","5.0 Open Bronze+","Pool","spot on","Imposters","Nick Wideman","Will Ries","James Lamkin","Reece Greer",21,12
"usar2025west","5.0 Open Bronze+","Pool","Schpam It","Sam and Bryce","Josh Cain","Rafi Moldovsky","Bryce Jacobsen","Sam Clarke",21,17
"usar2025west","5.0 Open Bronze+","Pool","Trey's Padres","Walkie-Talkie","Blake Van Den Top","Solomon Berry","Jake Young","Jai Parera",21,23
