"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"usar25nationals","3.0-3.5 Open Intermediate-Advanced","Pool","Fwangloooww","Kyle + Sebastian","Lindsey Johanson","Grayson Szarko-Berkhout","Seba Araya Castillo","Kyle Ling",18,21
"usar25nationals","3.0-3.5 Open Intermediate-Advanced","Pool","Ricky Bobby","Wilson & Krishay SBU","Ronin Harper","david riedel","Krishay Matneja","Wilson Wuchen",21,11
"usar25nationals","3.0-3.5 Open Intermediate-Advanced","Pool","Testudo's dream","Yip Yip","Joseph Kunitz","Caden Unger","Ben Steuerman","Tommy Dale",21,12
"usar25nationals","3.0-3.5 Open Intermediate-Advanced","Pool","6238","Mark & Aaron SBU","Joseph Vaisman","Ryan Cheriathundam","Mark Vadnais","Aaron Zeiler",17,21
"usar25nationals","3.0-3.5 Open Intermediate-Advanced","Pool","Fwangloooww","Wilson & Krishay SBU","Lindsey Johanson","Grayson Szarko-Berkhout","Krishay Matneja","Wilson Wuchen",21,9
"usar25nationals","3.0-3.5 Open Intermediate-Advanced","Pool","Ricky Bobby","Kyle + Sebastian","Ronin Harper","david riedel","Seba Araya Castillo","Kyle Ling",19,21
"usar25nationals","3.0-3.5 Open Intermediate-Advanced","Pool","Testudo's dream","Mark & Aaron SBU","Joseph Kunitz","Caden Unger","Mark Vadnais","Aaron Zeiler",21,13
"usar25nationals","3.0-3.5 Open Intermediate-Advanced","Pool","6238","Yip Yip","Joseph Vaisman","Ryan Cheriathundam","Ben Steuerman","Tommy Dale",21,18
"usar25nationals","3.0-3.5 Open Intermediate-Advanced","Pool","Fwangloooww","Ricky Bobby","Lindsey Johanson","Grayson Szarko-Berkhout","Ronin Harper","david riedel",18,21
"usar25nationals","3.0-3.5 Open Intermediate-Advanced","Pool","Wilson & Krishay SBU","Kyle + Sebastian","Krishay Matneja","Wilson Wuchen","Seba Araya Castillo","Kyle Ling",11,21
"usar25nationals","3.0-3.5 Open Intermediate-Advanced","Pool","Testudo's dream","6238","Joseph Kunitz","Caden Unger","Joseph Vaisman","Ryan Cheriathundam",21,10
"usar25nationals","3.0-3.5 Open Intermediate-Advanced","Pool","Mark & Aaron SBU","Yip Yip","Mark Vadnais","Aaron Zeiler","Ben Steuerman","Tommy Dale",17,21
"usar25nationals","3.0-3.5 Open Intermediate-Advanced","Quarter-final","Testudo's dream","Wilson & Krishay SBU","Joseph Kunitz","Caden Unger","Krishay Matneja","Wilson Wuchen",15,3
"usar25nationals","3.0-3.5 Open Intermediate-Advanced","Quarter-final","Testudo's dream","Wilson & Krishay SBU","Joseph Kunitz","Caden Unger","Krishay Matneja","Wilson Wuchen",15,7
"usar25nationals","3.0-3.5 Open Intermediate-Advanced","Quarter-final","Kyle + Sebastian","6238","Seba Araya Castillo","Kyle Ling","Joseph Vaisman","Ryan Cheriathundam",17,21
