"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"usarraleigh2025","Premier 5.0+","Pool","NEM Seazonal","fault.exe","Zach Snover","Jacob Summers","Caleb Cottle","Zack Glew",21,9
"usarraleigh2025","Premier 5.0+","Pool","Clip Farm","House Divided ","Polk Denmark","Andrew Greer","Mason Dancausse","Brent Summers",21,6
"usarraleigh2025","Premier 5.0+","Pool","Inspection","Knicks in 6","Jake Dooley","John Buchanan","Sean Brown","Noah Kopetic",21,17
"usarraleigh2025","Premier 5.0+","Pool","Yum Yum Shop","Disqualified","Brandon Stokes","Dalton Gilder","Sam Bunze","Jacob Narayan",24,22
"usarraleigh2025","Premier 5.0+","Pool","NEM Seazonal","House Divided ","Zach Snover","Jacob Summers","Mason Dancausse","Brent Summers",21,10
"usarraleigh2025","Premier 5.0+","Pool","Clip Farm","Disqualified","Polk Denmark","Andrew Greer","Sam Bunze","Jacob Narayan",21,11
"usarraleigh2025","Premier 5.0+","Pool","Inspection","Yum Yum Shop","Jake Dooley","John Buchanan","Brandon Stokes","Dalton Gilder",24,25
"usarraleigh2025","Premier 5.0+","Pool","Knicks in 6","fault.exe","Sean Brown","Noah Kopetic","Caleb Cottle","Zack Glew",20,22
"usarraleigh2025","Premier 5.0+","Pool","NEM Seazonal","Knicks in 6","Zach Snover","Jacob Summers","Sean Brown","Noah Kopetic",21,12
"usarraleigh2025","Premier 5.0+","Pool","Clip Farm","Inspection","Polk Denmark","Andrew Greer","Jake Dooley","John Buchanan",21,19
"usarraleigh2025","Premier 5.0+","Pool","Yum Yum Shop","fault.exe","Brandon Stokes","Dalton Gilder","Caleb Cottle","Zack Glew",21,13
"usarraleigh2025","Premier 5.0+","Pool","Disqualified","House Divided ","Sam Bunze","Jacob Narayan","Mason Dancausse","Brent Summers",21,11
"usarraleigh2025","Premier 5.0+","Pool","NEM Seazonal","Disqualified","Zach Snover","Jacob Summers","Sam Bunze","Jacob Narayan",21,18
"usarraleigh2025","Premier 5.0+","Pool","Clip Farm","fault.exe","Polk Denmark","Andrew Greer","Caleb Cottle","Zack Glew",21,12
"usarraleigh2025","Premier 5.0+","Pool","Inspection","House Divided ","Jake Dooley","John Buchanan","Mason Dancausse","Brent Summers",21,6
"usarraleigh2025","Premier 5.0+","Pool","Yum Yum Shop","Knicks in 6","Brandon Stokes","Dalton Gilder","Sean Brown","Noah Kopetic",20,22
"usarraleigh2025","Premier 5.0+","Pool","NEM Seazonal","Yum Yum Shop","Zach Snover","Jacob Summers","Brandon Stokes","Dalton Gilder",21,16
"usarraleigh2025","Premier 5.0+","Pool","Clip Farm","Knicks in 6","Polk Denmark","Andrew Greer","Sean Brown","Noah Kopetic",21,8
"usarraleigh2025","Premier 5.0+","Pool","Inspection","Disqualified","Jake Dooley","John Buchanan","Sam Bunze","Jacob Narayan",23,21
"usarraleigh2025","Premier 5.0+","Pool","House Divided ","fault.exe","Mason Dancausse","Brent Summers","Caleb Cottle","Zack Glew",8,21
"usarraleigh2025","Premier 5.0+","Pool","NEM Seazonal","Inspection","Zach Snover","Jacob Summers","Jake Dooley","John Buchanan",21,13
"usarraleigh2025","Premier 5.0+","Pool","Clip Farm","Yum Yum Shop","Polk Denmark","Andrew Greer","Brandon Stokes","Dalton Gilder",21,19
"usarraleigh2025","Premier 5.0+","Pool","Disqualified","fault.exe","Sam Bunze","Jacob Narayan","Caleb Cottle","Zack Glew",21,8
"usarraleigh2025","Premier 5.0+","Pool","Knicks in 6","House Divided ","Sean Brown","Noah Kopetic","Mason Dancausse","Brent Summers",21,16
"usarraleigh2025","Premier 5.0+","Pool","NEM Seazonal","Clip Farm","Zach Snover","Jacob Summers","Polk Denmark","Andrew Greer",21,17
"usarraleigh2025","Premier 5.0+","Pool","Inspection","fault.exe","Jake Dooley","John Buchanan","Caleb Cottle","Zack Glew",21,10
"usarraleigh2025","Premier 5.0+","Pool","Yum Yum Shop","House Divided ","Brandon Stokes","Dalton Gilder","Mason Dancausse","Brent Summers",21,13
"usarraleigh2025","Premier 5.0+","Pool","Disqualified","Knicks in 6","Sam Bunze","Jacob Narayan","Sean Brown","Noah Kopetic",21,15
"usarraleigh2025","Premier 5.0+","Quarter-final","NEM Seazonal","House Divided ","Zach Snover","Jacob Summers","Mason Dancausse","Brent Summers",21,11
"usarraleigh2025","Premier 5.0+","Quarter-final","NEM Seazonal","House Divided ","Zach Snover","Jacob Summers","Mason Dancausse","Brent Summers",21,17
"usarraleigh2025","Premier 5.0+","Quarter-final","Clip Farm","fault.exe","Polk Denmark","Andrew Greer","Caleb Cottle","Zack Glew",21,9
"usarraleigh2025","Premier 5.0+","Quarter-final","Clip Farm","fault.exe","Polk Denmark","Andrew Greer","Caleb Cottle","Zack Glew",21,18
"usarraleigh2025","Premier 5.0+","Quarter-final","Inspection","Knicks in 6","Jake Dooley","John Buchanan","Sean Brown","Noah Kopetic",21,12
"usarraleigh2025","Premier 5.0+","Quarter-final","Inspection","Knicks in 6","Jake Dooley","John Buchanan","Sean Brown","Noah Kopetic",19,32
"usarraleigh2025","Premier 5.0+","Quarter-final","Inspection","Knicks in 6","Jake Dooley","John Buchanan","Sean Brown","Noah Kopetic",21,14
"usarraleigh2025","Premier 5.0+","Quarter-final","Yum Yum Shop","Disqualified","Brandon Stokes","Dalton Gilder","Sam Bunze","Jacob Narayan",2,1
"usarraleigh2025","Premier 5.0+","Quarter-final","Yum Yum Shop","Disqualified","Brandon Stokes","Dalton Gilder","Sam Bunze","Jacob Narayan",21,1
"usarraleigh2025","Premier 5.0+","Semi-final","NEM Seazonal","Yum Yum Shop","Zach Snover","Jacob Summers","Brandon Stokes","Dalton Gilder",19,21
"usarraleigh2025","Premier 5.0+","Semi-final","NEM Seazonal","Yum Yum Shop","Zach Snover","Jacob Summers","Brandon Stokes","Dalton Gilder",21,14
"usarraleigh2025","Premier 5.0+","Semi-final","NEM Seazonal","Yum Yum Shop","Zach Snover","Jacob Summers","Brandon Stokes","Dalton Gilder",21,16
"usarraleigh2025","Premier 5.0+","Semi-final","Clip Farm","Inspection","Polk Denmark","Andrew Greer","Jake Dooley","John Buchanan",14,21
"usarraleigh2025","Premier 5.0+","Semi-final","Clip Farm","Inspection","Polk Denmark","Andrew Greer","Jake Dooley","John Buchanan",21,12
"usarraleigh2025","Premier 5.0+","Semi-final","Clip Farm","Inspection","Polk Denmark","Andrew Greer","Jake Dooley","John Buchanan",21,16
"usarraleigh2025","Premier 5.0+","P5: Semi-final","Disqualified","House Divided ","Sam Bunze","Jacob Narayan","Mason Dancausse","Brent Summers",25,22
"usarraleigh2025","Premier 5.0+","P5: Semi-final","Knicks in 6","fault.exe","Sean Brown","Noah Kopetic","Caleb Cottle","Zack Glew",2,1
"usarraleigh2025","Premier 5.0+","Final","NEM Seazonal","Clip Farm","Zach Snover","Jacob Summers","Polk Denmark","Andrew Greer",21,14
"usarraleigh2025","Premier 5.0+","Final","NEM Seazonal","Clip Farm","Zach Snover","Jacob Summers","Polk Denmark","Andrew Greer",18,21
"usarraleigh2025","Premier 5.0+","Final","NEM Seazonal","Clip Farm","Zach Snover","Jacob Summers","Polk Denmark","Andrew Greer",12,21
"usarraleigh2025","Premier 5.0+","P3: Final","Inspection","Yum Yum Shop","Jake Dooley","John Buchanan","Brandon Stokes","Dalton Gilder",21,14
