"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"wheeling24","Expert(4.5+)","Pool","Chorn on the Cob","vg_sr","Clifford Amadeo LeVeque","Chris Wilkins","Vishwesswaran Gopal","Rakesh Selvaraj",21,0
"wheeling24","Expert(4.5+)","Pool","24 and Me","Righty Tighty Lefty Loosey","Louie Simbajon","Joey Reynolds","Jeremy Illut","Daniel Gutierrez",21,13
"wheeling24","Expert(4.5+)","Pool","Brown Boys","headband homies","Andrew Perez","Kenny Velu","Andrea Schwarz","Matthew Greathouse",21,13
"wheeling24","Expert(4.5+)","Pool","Bow Bow Bow","Natural Shooters","Neal Bergman","Mitch Kelley","Luke Nemec","Emmanuel Nodal",21,7
"wheeling24","Expert(4.5+)","Pool","Revised Bastio","broken schnoz","Colin Hobart","Gavin Broekema","Sam Greathouse","Drew Schwarz",21,11
"wheeling24","Expert(4.5+)","Pool","Ws Only","Ankle biters","Will Stiefbold","Wyatt Semke","Tahseen Robbani","Jason Inumerable",17,21
"wheeling24","Expert(4.5+)","Pool","Chorn on the Cob","Righty Tighty Lefty Loosey","Clifford Amadeo LeVeque","Chris Wilkins","Jeremy Illut","Daniel Gutierrez",21,17
"wheeling24","Expert(4.5+)","Pool","24 and Me","Brown Boys","Louie Simbajon","Joey Reynolds","Andrew Perez","Kenny Velu",21,18
"wheeling24","Expert(4.5+)","Pool","headband homies","vg_sr","Andrea Schwarz","Matthew Greathouse","Vishwesswaran Gopal","Rakesh Selvaraj",21,0
"wheeling24","Expert(4.5+)","Pool","Bow Bow Bow","broken schnoz","Neal Bergman","Mitch Kelley","Sam Greathouse","Drew Schwarz",21,13
"wheeling24","Expert(4.5+)","Pool","Revised Bastio","Ws Only","Colin Hobart","Gavin Broekema","Will Stiefbold","Wyatt Semke",21,15
"wheeling24","Expert(4.5+)","Pool","Ankle biters","Natural Shooters","Tahseen Robbani","Jason Inumerable","Luke Nemec","Emmanuel Nodal",21,18
"wheeling24","Expert(4.5+)","Pool","Chorn on the Cob","headband homies","Clifford Amadeo LeVeque","Chris Wilkins","Andrea Schwarz","Matthew Greathouse",21,13
"wheeling24","Expert(4.5+)","Pool","24 and Me","vg_sr","Louie Simbajon","Joey Reynolds","Vishwesswaran Gopal","Rakesh Selvaraj",21,0
"wheeling24","Expert(4.5+)","Pool","Brown Boys","Righty Tighty Lefty Loosey","Andrew Perez","Kenny Velu","Jeremy Illut","Daniel Gutierrez",21,18
"wheeling24","Expert(4.5+)","Pool","Bow Bow Bow","Ankle biters","Neal Bergman","Mitch Kelley","Tahseen Robbani","Jason Inumerable",21,10
"wheeling24","Expert(4.5+)","Pool","Revised Bastio","Natural Shooters","Colin Hobart","Gavin Broekema","Luke Nemec","Emmanuel Nodal",21,12
"wheeling24","Expert(4.5+)","Pool","Ws Only","broken schnoz","Will Stiefbold","Wyatt Semke","Sam Greathouse","Drew Schwarz",18,21
"wheeling24","Expert(4.5+)","Pool","Chorn on the Cob","Brown Boys","Clifford Amadeo LeVeque","Chris Wilkins","Andrew Perez","Kenny Velu",21,14
